[DRA | EN | NT | Matthew | Chapter 10 | Verse 1] And having called his twelve disciples together, he gave them power over unclean spirits, to cast them out, and to heal all manner of diseases, and all manner of infirmities.
[DRA | EN | NT | Matthew | Chapter 10 | Verse 2] And the names of the twelve apostles are these: The first, Simon who is called Peter, and Andrew his brother,
[DRA | EN | NT | Matthew | Chapter 10 | Verse 3] James the son of Zebedee, and John his brother, Philip and Bartholomew, Thomas and Matthew the publican, and James the son of Alpheus, and Thaddeus,
[DRA | EN | NT | Matthew | Chapter 10 | Verse 4] Simon the Cananean, and Judas Iscariot, who also betrayed him.
[DRA | EN | NT | Matthew | Chapter 10 | Verse 5] These twelve Jesus sent: commanding them, saying: Go ye not into the way of the Gentiles, and into the city of the Samaritans enter ye not.
[DRA | EN | NT | Matthew | Chapter 10 | Verse 6] But go ye rather to the lost sheep of the house of Israel.
[DRA | EN | NT | Matthew | Chapter 10 | Verse 7] And going, preach, saying: The kingdom of heaven is at hand.
[DRA | EN | NT | Matthew | Chapter 10 | Verse 8] Heal the sick, raise the dead, cleanse the lepers, cast out devils: freely have you received, freely give.
[DRA | EN | NT | Matthew | Chapter 10 | Verse 9] Do not possess gold, nor silver, nor money in your purses:
[DRA | EN | NT | Matthew | Chapter 10 | Verse 10] Nor scrip for your journey, nor two coats, nor shoes, nor a staff; for the workman is worthy of his meat.
[DRA | EN | NT | Matthew | Chapter 10 | Verse 11] And into whatsoever city or town you shall enter, inquire who in it is worthy, and there abide till you go thence.
[DRA | EN | NT | Matthew | Chapter 10 | Verse 12] And when you come into the house, salute it, saying: Peace be to this house.
[DRA | EN | NT | Matthew | Chapter 10 | Verse 13] And if that house be worthy, your peace shall come upon it; but if it be not worthy, your peace shall return to you.
[DRA | EN | NT | Matthew | Chapter 10 | Verse 14] And whosoever shall not receive you, nor hear your words: going forth out of that house or city shake off the dust from your feet.
[DRA | EN | NT | Matthew | Chapter 10 | Verse 15] Amen I say to you, it shall be more tolerable for the land of Sodom and Gomorrha in the day of judgment, than for that city.
[DRA | EN | NT | Matthew | Chapter 10 | Verse 16] Behold I send you as sheep in the midst of wolves. Be ye therefore wise as serpents and simple as doves.
