[DRA | EN | NT | Matthew | Chapter 26 | Verse 1] And it came to pass, when Jesus had ended all these words, he said to his disciples:
[DRA | EN | NT | Matthew | Chapter 26 | Verse 2] You know that after two days shall be the pasch, and the son of man shall be delivered up to be crucified:
[DRA | EN | NT | Matthew | Chapter 26 | Verse 3] Then were gathered together the chief priests and ancients of the people into the court of the high priest, who was called Caiphas:
[DRA | EN | NT | Matthew | Chapter 26 | Verse 4] And they consulted together, that by subtilty they might apprehend Jesus, and put him to death.
[DRA | EN | NT | Matthew | Chapter 26 | Verse 5] But they said: Not on the festival day, lest perhaps there should be a tumult among the people.
[DRA | EN | NT | Matthew | Chapter 26 | Verse 6] And when Jesus was in Bethania, in the house of Simon the leper,
[DRA | EN | NT | Matthew | Chapter 26 | Verse 7] There came to him a woman having an alabaster box of precious ointment, and poured it on his head as he was at table.
[DRA | EN | NT | Matthew | Chapter 26 | Verse 8] And the disciples seeing it, had indignation, saying: To what purpose is this waste?
[DRA | EN | NT | Matthew | Chapter 26 | Verse 9] For this might have been sold for much, and given to the poor.
[DRA | EN | NT | Matthew | Chapter 26 | Verse 10] And Jesus knowing it, said to them: Why do you trouble this woman? for she hath wrought a good work upon me.
[DRA | EN | NT | Matthew | Chapter 26 | Verse 11] For the poor you have always with you: but me you have not always.
[DRA | EN | NT | Matthew | Chapter 26 | Verse 12] For she in pouring this ointment upon my body, hath done it for my burial.
[DRA | EN | NT | Matthew | Chapter 26 | Verse 13] Amen I say to you, wheresoever this gospel shall be preached in the whole world, that also which she hath done, shall be told for a memory of her.
[DRA | EN | NT | Matthew | Chapter 26 | Verse 14] Then went one of the twelve, who was called Judas Iscariot, to the chief priests,
[DRA | EN | NT | Matthew | Chapter 26 | Verse 15] And said to them: What will you give me, and I will deliver him unto you? But they appointed him thirty pieces of silver.
[DRA | EN | NT | Matthew | Chapter 26 | Verse 16] And from thenceforth he sought opportunity to betray him.
[DRA | EN | NT | Matthew | Chapter 26 | Verse 17] And on the first day of the Azymes, the disciples came to Jesus, saying: Where wilt thou that we prepare for thee to eat the pasch?
[DRA | EN | NT | Matthew | Chapter 26 | Verse 18] But Jesus said: Go ye into the city to a certain man, and say to him: the master saith, My time is near at hand, with thee I make the pasch with my disciples.
[DRA | EN | NT | Matthew | Chapter 26 | Verse 19] And the disciples did as Jesus appointed to them, and they prepared the pasch.
[DRA | EN | NT | Matthew | Chapter 26 | Verse 20] But when it was evening, he sat down with his twelve disciples.
[DRA | EN | NT | Matthew | Chapter 26 | Verse 21] And whilst they were eating, he said: Amen I say to you, that one of you is about to betray me.
[DRA | EN | NT | Matthew | Chapter 26 | Verse 22] And they being very much troubled, began every one to say: Is it I, Lord?
[DRA | EN | NT | Matthew | Chapter 26 | Verse 23] But he answering, said: He that dippeth his hand with me in the dish, he shall betray me.
[DRA | EN | NT | Matthew | Chapter 26 | Verse 24] The Son of man indeed goeth, as it is written of him: but woe to that man by whom the Son of man shall be betrayed: it were better for him, if that man had not been born.
