[DRA | EN | NT | Matthew | Chapter 23 | Verse 1] Then Jesus spoke to the multitudes and to his disciples,
[DRA | EN | NT | Matthew | Chapter 23 | Verse 2] Saying: The scribes and the Pharisees have sitten on the chair of Moses.
[DRA | EN | NT | Matthew | Chapter 23 | Verse 3] All things therefore whatsoever they shall say to you, observe and do: but according to their works do ye not; for they say, and do not.
[DRA | EN | NT | Matthew | Chapter 23 | Verse 4] For they bind heavy and insupportable burdens, and lay them on men’s shoulders; but with a finger of their own they will not move them.
[DRA | EN | NT | Matthew | Chapter 23 | Verse 5] And all their works they do for to be seen of men. For they make their phylacteries broad, and enlarge their fringes.
[DRA | EN | NT | Matthew | Chapter 23 | Verse 6] And they love the first places at feasts, and the first chairs in the synagogues,
[DRA | EN | NT | Matthew | Chapter 23 | Verse 7] And salutations in the market place, and to be called by men, Rabbi.
[DRA | EN | NT | Matthew | Chapter 23 | Verse 8] But be not you called Rabbi. For one is your master; and all you are brethren.
[DRA | EN | NT | Matthew | Chapter 23 | Verse 9] And call none your father upon earth; for one is your father, who is in heaven.
[DRA | EN | NT | Matthew | Chapter 23 | Verse 10] Neither be ye called masters; for one is you master, Christ.
[DRA | EN | NT | Matthew | Chapter 23 | Verse 11] He that is the greatest among you shall be your servant.
[DRA | EN | NT | Matthew | Chapter 23 | Verse 12] And whosoever shall exalt himself shall be humbled: and he that shall humble himself shall be exalted.
[DRA | EN | NT | Matthew | Chapter 23 | Verse 13] But woe to you scribes and Pharisees, hypocrites; because you shut the kingdom of heaven against men, for you yourselves do not enter in; and those that are going in, you suffer not to enter.
[DRA | EN | NT | Matthew | Chapter 23 | Verse 14] Woe to you scribes and Pharisees, hypocrites: because you devour the houses of widows, praying long prayers. For this you shall receive the greater judgment.
[DRA | EN | NT | Matthew | Chapter 23 | Verse 15] Woe to you scribes and Pharisees, hypocrites; because you go round about the sea and the land to make one proselyte; and when he is made, you make him the child of hell twofold more than yourselves.
[DRA | EN | NT | Matthew | Chapter 23 | Verse 16] Woe to you blind guides, that say, Whosoever shall swear by the temple, it is nothing; but he that shall swear by the gold of the temple, is a debtor.
[DRA | EN | NT | Matthew | Chapter 23 | Verse 17] Ye foolish and blind; for whether is greater, the gold, or the temple that sanctifieth the gold?
[DRA | EN | NT | Matthew | Chapter 23 | Verse 18] And whosoever shall swear by the altar, it is nothing; but whosoever shall swear by the gift that is upon it, is a debtor.
[DRA | EN | NT | Matthew | Chapter 23 | Verse 19] Ye blind: for whether is greater, the gift, or the altar that sanctifieth the gift?
[DRA | EN | NT | Matthew | Chapter 23 | Verse 20] He therefore that sweareth by the altar, sweareth by it, and by all things that are upon it:
[DRA | EN | NT | Matthew | Chapter 23 | Verse 21] And whosoever shall swear by temple, sweareth by it, and by him that dwelleth in it:
[DRA | EN | NT | Matthew | Chapter 23 | Verse 22] And he that sweareth by heaven, sweareth by the throne of God, and by him that sitteth thereon.
[DRA | EN | NT | Matthew | Chapter 23 | Verse 23] Woe to you scribes and Pharisees, hypocrites; because you tithe mint, and anise, and cummin, and have left the weightier things of the law; judgment, and mercy, and faith. These things you ought to have done, and not to leave those undone.
[DRA | EN | NT | Matthew | Chapter 23 | Verse 24] Blind guides, who strain out a gnat, and swallow a camel.
[DRA | EN | NT | Matthew | Chapter 23 | Verse 25] Woe to you scribes and Pharisees, hypocrites; because you make clean the outside of the cup and of the dish, but within you are full of rapine and uncleanness.
[DRA | EN | NT | Matthew | Chapter 23 | Verse 26] Thou blind Pharisee, first make clean the inside of the cup and of the dish, that the outside may become clean.
[DRA | EN | NT | Matthew | Chapter 23 | Verse 27] Woe to you scribes and Pharisees, hypocrites; because you are like to whited sepulchres, which outwardly appear to men beautiful, but within are full of dead men’s bones, and of all filthiness.
[DRA | EN | NT | Matthew | Chapter 23 | Verse 28] So you also outwardly indeed appear to men just; but inwardly you are full of hypocrisy and iniquity.
[DRA | EN | NT | Matthew | Chapter 23 | Verse 29] Woe to you scribes and Pharisees, hypocrites; that build the sepulchres of the prophets, and adorn the monuments of the just,
[DRA | EN | NT | Matthew | Chapter 23 | Verse 30] And say: If we had been in the days of our Fathers, we would not have been partakers with them in the blood of the prophets.
[DRA | EN | NT | Matthew | Chapter 23 | Verse 31] Wherefore you are witnesses against yourselves, that you are the sons of them that killed the prophets.
[DRA | EN | NT | Matthew | Chapter 23 | Verse 32] Fill ye up then the measure of your fathers.
[DRA | EN | NT | Matthew | Chapter 23 | Verse 33] You serpents, generation of vipers, how will you flee from the judgment of hell?
[DRA | EN | NT | Matthew | Chapter 23 | Verse 34] Therefore behold I send to you prophets, and wise men, and scribes: and some of them you will put to death and crucify, and some you will scourge in your synagogues, and persecute from city to city:
[DRA | EN | NT | Matthew | Chapter 23 | Verse 35] That upon you may come all the just blood that hath been shed upon the earth, from the blood of Abel the just, even unto the blood of Zacharias the son of Barachias, whom you killed between the temple and the altar.
[DRA | EN | NT | Matthew | Chapter 23 | Verse 36] Amen I say to you, all these things shall come upon this generation.
[DRA | EN | NT | Matthew | Chapter 23 | Verse 37] Jerusalem, Jerusalem, thou that killest the prophets, and stonest them that are sent unto thee, how often would I have gathered together thy children, as the hen doth gather her chickens under her wings, and thou wouldest not?
[DRA | EN | NT | Matthew | Chapter 23 | Verse 38] Behold, you house shall be left to you, desolate.
[DRA | EN | NT | Matthew | Chapter 23 | Verse 39] For I say to you, you shall not see me henceforth till you say: Blessed is he that cometh in the name of the Lord.
