[DRA | EN | NT | Matthew | Chapter 13 | Verse 1] The same day Jesus going out of the house, sat by the sea side.
[DRA | EN | NT | Matthew | Chapter 13 | Verse 2] And great multitudes were gathered unto him, so that he went up into a boat and sat: and all the multitude stood on the shore.
[DRA | EN | NT | Matthew | Chapter 13 | Verse 3] And he spoke to them many things in parables, saying: Behold the sower went forth to sow.
[DRA | EN | NT | Matthew | Chapter 13 | Verse 4] And whilst he soweth some fell by the way side, and the birds of the air came and ate them up.
[DRA | EN | NT | Matthew | Chapter 13 | Verse 5] And other some fell upon stony ground, where they had not much earth: and they sprung up immediately, because they had no deepness of earth.
[DRA | EN | NT | Matthew | Chapter 13 | Verse 6] And when the sun was up they were scorched: and because they had not root, they withered away.
[DRA | EN | NT | Matthew | Chapter 13 | Verse 7] And others fell among thorns: and the thorns grew up and choked them.
[DRA | EN | NT | Matthew | Chapter 13 | Verse 8] And others fell upon good ground: and they brought forth fruit, some an hundredfold, some sixtyfold, and some thirtyfold.
[DRA | EN | NT | Matthew | Chapter 13 | Verse 9] He that hath ears to hear, let him hear.
[DRA | EN | NT | Matthew | Chapter 13 | Verse 10] And his disciples came and said to him: Why speakest thou to them in parables?
[DRA | EN | NT | Matthew | Chapter 13 | Verse 11] Who answered and said to them: Because to you it is given to know the mysteries of the kingdom of heaven: but to them it is not given.
[DRA | EN | NT | Matthew | Chapter 13 | Verse 12] For he that hath, to him shall be given, and he shall abound: but he that hath not, from him shall be taken away that also which he hath.
[DRA | EN | NT | Matthew | Chapter 13 | Verse 13] Therefore do I speak to them in parables: because seeing they see not, and hearing they hear not, neither do they understand.
[DRA | EN | NT | Matthew | Chapter 13 | Verse 14] And the prophecy of Isaias is fulfilled in them, who saith: By hearing you shall hear, and shall not understand: and seeing you shall see, and shall not perceive.
[DRA | EN | NT | Matthew | Chapter 13 | Verse 15] For the heart of this people is grown gross, and with their ears they have been dull of hearing, and their eyes they have shut: lest at any time they should see with their eyes, and hear with their ears, and understand with their heart, and be converted, and I should heal them.
[DRA | EN | NT | Matthew | Chapter 13 | Verse 16] But blessed are your eyes, because they see, and your ears, because they hear.
[DRA | EN | NT | Matthew | Chapter 13 | Verse 17] For, amen, I say to you, many prophets and just men have desired to see the things that you see, and have not seen them, and to hear the things that you hear and have not heard them.
[DRA | EN | NT | Matthew | Chapter 13 | Verse 18] Hear you therefore the parable of the sower.
[DRA | EN | NT | Matthew | Chapter 13 | Verse 19] When any one heareth the word of the kingdom, and understandeth it not, there cometh the wicked one, and catcheth away that which was sown in his heart: this is he that received the seed by the way side.
[DRA | EN | NT | Matthew | Chapter 13 | Verse 20] And he that received the seed upon stony ground, is he that heareth the word, and immediately receiveth it with joy.
[DRA | EN | NT | Matthew | Chapter 13 | Verse 21] Yet hath he not root in himself, but is only for a time: and when there ariseth tribulation and persecution because of the word, he is presently scandalized.
[DRA | EN | NT | Matthew | Chapter 13 | Verse 22] And he that received the seed among thorns, is he that heareth the word, and the care of this world and the deceitfulness of riches choketh up the word, and he becometh fruitless.
[DRA | EN | NT | Matthew | Chapter 13 | Verse 23] But he that received the seed upon good ground, is he that heareth the word, and understandeth, and beareth fruit, and yieldeth the one an hundredfold, and another sixty, and another thirty.
[DRA | EN | NT | Matthew | Chapter 13 | Verse 24] Another parable he proposed to them, saying: The kingdom of heaven is likened to a man that sowed good seeds in his field.
[DRA | EN | NT | Matthew | Chapter 13 | Verse 25] But while men were asleep, his enemy came and oversowed cockle among the wheat and went his way.
[DRA | EN | NT | Matthew | Chapter 13 | Verse 26] And when the blade was sprung up, and had brought forth fruit, then appeared also the cockle.
[DRA | EN | NT | Matthew | Chapter 13 | Verse 27] And the servants of the goodman of the house coming said to him: Sir, didst thou not sow good seed in thy field? whence then hath it cockle?
[DRA | EN | NT | Matthew | Chapter 13 | Verse 28] And he said to them: An enemy hath done this. And the servants said to him: Wilt thou that we go and gather it up?
[DRA | EN | NT | Matthew | Chapter 13 | Verse 29] And he said: No, lest perhaps gathering up the cockle, you root up the wheat also together with it.
[DRA | EN | NT | Matthew | Chapter 13 | Verse 30] Suffer both to grow until the harvest, and in the time of the harvest I will say to the reapers: Gather up first the cockle, and bind it into bundles to burn, but the wheat gather ye into my barn.
[DRA | EN | NT | Matthew | Chapter 13 | Verse 31] Another parable he proposed unto them, saying: The kingdom of heaven is like to a grain of mustard seed, which a man took and sowed in his field.
[DRA | EN | NT | Matthew | Chapter 13 | Verse 32] Which is the least indeed of all seeds; but when it is grown up, it is greater than all herbs, and becometh a tree, so that the birds of the air come, and dwell in the branches thereof.
[DRA | EN | NT | Matthew | Chapter 13 | Verse 33] Another parable he spoke to them: The kingdom of heaven is like to leaven, which a woman took and hid in three measures of meal, until the whole was leavened.
[DRA | EN | NT | Matthew | Chapter 13 | Verse 34] All these things Jesus spoke in parables to the multitudes: and without parables he did not speak to them.
[DRA | EN | NT | Matthew | Chapter 13 | Verse 35] That it might be fulfilled which was spoken by the prophet, saying: I will open my mouth in parables, I will utter things hidden from the foundation of the world.
[DRA | EN | NT | Matthew | Chapter 13 | Verse 36] Then having sent away the multitudes, he came into the house, and his disciples came to him, saying: Expound to us the parable of the cockle of the field.
[DRA | EN | NT | Matthew | Chapter 13 | Verse 37] Who made answer and said to them: He that soweth the good seed, is the Son of man.
[DRA | EN | NT | Matthew | Chapter 13 | Verse 38] And the field, is the world. And the good seed are the children of the kingdom. And the cockle, are the children of the wicked one.
[DRA | EN | NT | Matthew | Chapter 13 | Verse 39] And the enemy that sowed them, is the devil. But the harvest is the end of the world. And the reapers are the angels.
[DRA | EN | NT | Matthew | Chapter 13 | Verse 40] Even as cockle therefore is gathered up, and burnt with fire: so shall it be at the end of the world.
[DRA | EN | NT | Matthew | Chapter 13 | Verse 41] The Son of man shall send his angels, and they shall gather out of his kingdom all scandals, and them that work iniquity.
[DRA | EN | NT | Matthew | Chapter 13 | Verse 42] And shall cast them into the furnace of fire: there shall be weeping and gnashing of teeth.
[DRA | EN | NT | Matthew | Chapter 13 | Verse 43] Then shall the just shine as the sun, in the kingdom of their Father. He that hath ears to hear, let him hear.
