[DRA | EN | NT | Luke | Chapter 10 | Verse 1] And after these things the Lord appointed also other seventy-two: and he sent them two and two before his face into every city and place whither he himself was to come.
[DRA | EN | NT | Luke | Chapter 10 | Verse 2] And he said to them: The harvest indeed is great, but the labourers are few. Pray ye therefore the Lord of the harvest, that he send labourers into his harvest.
[DRA | EN | NT | Luke | Chapter 10 | Verse 3] Go: Behold I send you as lambs among wolves.
[DRA | EN | NT | Luke | Chapter 10 | Verse 4] Carry neither purse, nor scrip, nor shoes; and salute no man by the way.
[DRA | EN | NT | Luke | Chapter 10 | Verse 5] Into whatsoever house you enter, first say: Peace be to this house.
[DRA | EN | NT | Luke | Chapter 10 | Verse 6] And if the son of peace be there, your peace shall rest upon him; but if not, it shall return to you.
[DRA | EN | NT | Luke | Chapter 10 | Verse 7] And in the same house, remain, eating and drinking such things as they have: for the labourer is worthy of his hire. Remove not from house to house.
[DRA | EN | NT | Luke | Chapter 10 | Verse 8] And into what city soever you enter, and they receive you, eat such things as are set before you.
[DRA | EN | NT | Luke | Chapter 10 | Verse 9] And heal the sick that are therein, and say to them: The kingdom of God is come nigh unto you.
[DRA | EN | NT | Luke | Chapter 10 | Verse 10] But into whatsoever city you enter, and they receive you not, going forth into the streets thereof, say:
[DRA | EN | NT | Luke | Chapter 10 | Verse 11] Even the very dust of your city that cleaveth to us, we wipe off against you. Yet know this, that the kingdom of God is at hand.
[DRA | EN | NT | Luke | Chapter 10 | Verse 12] I say to you, it shall be more tolerable at that day for Sodom, than for that city.
[DRA | EN | NT | Luke | Chapter 10 | Verse 13] Woe to thee, Corozain, woe to thee, Bethsaida. For if in Tyre and Sidon had been wrought the mighty works that have been wrought in you, they would have done penance long ago, sitting in sackcloth and ashes.
[DRA | EN | NT | Luke | Chapter 10 | Verse 14] But it shall be more tolerable for Tyre and Sidon at the judgement, than for you.
[DRA | EN | NT | Luke | Chapter 10 | Verse 15] And thou, Capharnaum, which art exalted unto heaven, thou shalt be thrust down to hell.
[DRA | EN | NT | Luke | Chapter 10 | Verse 16] He that heareth you, heareth me; and he that despiseth you, despiseth me; and he that despiseth me, despiseth him that sent me.
[DRA | EN | NT | Luke | Chapter 10 | Verse 17] And the seventy-two returned with joy, saying: Lord, the devils also are subject to us in thy name.
[DRA | EN | NT | Luke | Chapter 10 | Verse 18] And he said to them: I saw Satan like lightening falling from heaven.
[DRA | EN | NT | Luke | Chapter 10 | Verse 19] Behold, I have given you power to tread upon serpents and scorpions, and upon all the power of the enemy: and nothing shall hurt you.
[DRA | EN | NT | Luke | Chapter 10 | Verse 20] But yet rejoice not in this, that spirits are subject unto you; but rejoice in this, that your names are written in heaven.
