[DRA | EN | NT | Luke | Chapter 20 | Verse 1] And it came to pass, that on one of the days, as he was teaching the people in the temple, and preaching the gospel, the chief priests and the scribes, with the ancients, met together,
[DRA | EN | NT | Luke | Chapter 20 | Verse 2] And spoke to him, saying: Tell us, by what authority dost thou these things? or, Who is he that hath given thee this authority?
[DRA | EN | NT | Luke | Chapter 20 | Verse 3] And Jesus answering, said to them: I will also ask you one thing. Answer me:
[DRA | EN | NT | Luke | Chapter 20 | Verse 4] The baptism of John, was it from heaven, or of men?
[DRA | EN | NT | Luke | Chapter 20 | Verse 5] But they thought within themselves, saying: If we shall say, From heaven: he will say: Why then did you not believe him?
[DRA | EN | NT | Luke | Chapter 20 | Verse 6] But if we say, Of men, the whole people will stone us: for they are persuaded that John was a prophet.
[DRA | EN | NT | Luke | Chapter 20 | Verse 7] And they answered, that they knew not whence it was.
[DRA | EN | NT | Luke | Chapter 20 | Verse 8] And Jesus said to them: Neither do I tell thee by what authority I do these things.
[DRA | EN | NT | Luke | Chapter 20 | Verse 9] And he began to speak to the people this parable: A certain man planted a vineyard, and let it out to husbandmen: and he was abroad for a long time.
[DRA | EN | NT | Luke | Chapter 20 | Verse 10] And at the season he sent a servant to the husbandmen, that they should give him of the fruit of the vineyard. Who, beating him, sent him away empty.
[DRA | EN | NT | Luke | Chapter 20 | Verse 11] And again he sent another servant. But they beat him also, and treating him reproachfully, sent him away empty.
[DRA | EN | NT | Luke | Chapter 20 | Verse 12] And again he sent the third: and they wounded him also, and cast him out.
[DRA | EN | NT | Luke | Chapter 20 | Verse 13] Then the lord of the vineyard said: What shall I do? I will send my beloved son: it may be, when they see him, they will reverence him.
[DRA | EN | NT | Luke | Chapter 20 | Verse 14] Whom when the husbandmen saw, they thought within themselves, saying: This is the heir, let us kill him, that the inheritance may be ours.
[DRA | EN | NT | Luke | Chapter 20 | Verse 15] So casting him out of the vineyard, they killed him. What therefore will the lord of the vineyard do to them?
[DRA | EN | NT | Luke | Chapter 20 | Verse 16] He will come, and will destroy these husbandmen, and will give the vineyard to others. Which they hearing, said to him: God forbid.
[DRA | EN | NT | Luke | Chapter 20 | Verse 17] But he looking on them, said: What is this then that is written, The stone, which the builders rejected, the same is become the head of the corner?
[DRA | EN | NT | Luke | Chapter 20 | Verse 18] Whosoever shall fall upon that stone, shall be bruised: and upon whomsoever it shall fall, it will grind him to powder.
[DRA | EN | NT | Luke | Chapter 20 | Verse 19] And the chief priests and the scribes sought to lay hands on him the same hour: but they feared the people, for they knew that he spoke this parable to them.
