[DRA | EN | NT | Luke | Chapter 19 | Verse 1] And entering in, he walked through Jericho.
[DRA | EN | NT | Luke | Chapter 19 | Verse 2] And behold, there was a man named Zacheus, who was the chief of the publicans, and he was rich.
[DRA | EN | NT | Luke | Chapter 19 | Verse 3] And he sought to see Jesus who he was, and he could not for the crowd, because he was low of stature.
[DRA | EN | NT | Luke | Chapter 19 | Verse 4] And running before, he climbed up into a sycamore tree, that he might see him; for he was to pass that way.
[DRA | EN | NT | Luke | Chapter 19 | Verse 5] And when Jesus was come to the place, looking up, he saw him, and said to him: Zacheus, make haste and come down; for this day I must abide in thy house.
[DRA | EN | NT | Luke | Chapter 19 | Verse 6] And he made haste and came down; and received him with joy.
[DRA | EN | NT | Luke | Chapter 19 | Verse 7] And when all saw it, they murmured, saying, that he was gone to be a guest with a man that was a sinner.
[DRA | EN | NT | Luke | Chapter 19 | Verse 8] But Zacheus standing, said to the Lord: Behold, Lord, the half of my goods I give to the poor; and if I have wronged any man of any thing, I restore him fourfold.
[DRA | EN | NT | Luke | Chapter 19 | Verse 9] Jesus said to him: This day is salvation come to this house, because he also is a son of Abraham.
[DRA | EN | NT | Luke | Chapter 19 | Verse 10] For the Son of man is come to seek and to save that which was lost.
[DRA | EN | NT | Luke | Chapter 19 | Verse 11] As they were hearing these things, he added and spoke a parable, because he was nigh to Jerusalem, and because they thought that the kingdom of God should immediately be manifested.
[DRA | EN | NT | Luke | Chapter 19 | Verse 12] He said therefore: A certain nobleman went into a far country, to receive for himself a kingdom, and to return.
[DRA | EN | NT | Luke | Chapter 19 | Verse 13] And calling his ten servants, he gave them ten pounds, and said to them: Trade till I come.
[DRA | EN | NT | Luke | Chapter 19 | Verse 14] But his citizens hated him: and they sent an embassage after him, saying: We will not have this man to reign over us.
[DRA | EN | NT | Luke | Chapter 19 | Verse 15] And it came to pass, that he returned, having received the kingdom: and he commanded his servants to be called, to whom he had given the money, that he might know how much every man had gained by trading.
[DRA | EN | NT | Luke | Chapter 19 | Verse 16] And the first came, saying: Lord, thy pound hath gained ten pounds.
[DRA | EN | NT | Luke | Chapter 19 | Verse 17] And he said to him: Well done, thou good servant, because thou hast been faithful in a little, thou shalt have power over ten cities.
[DRA | EN | NT | Luke | Chapter 19 | Verse 18] And the second came, saying: Lord, thy pound hath gained five pounds.
[DRA | EN | NT | Luke | Chapter 19 | Verse 19] And he said to him: Be thou also over five cities.
[DRA | EN | NT | Luke | Chapter 19 | Verse 20] And another came, saying: Lord, behold here is thy pound, which I have kept laid up in a napkin;
[DRA | EN | NT | Luke | Chapter 19 | Verse 21] For I feared thee, because thou art an austere man: thou takest up what thou didst not lay down, and thou reapest that which thou didst not sow.
[DRA | EN | NT | Luke | Chapter 19 | Verse 22] He saith to him: Out of thy own mouth I judge thee, thou wicked servant. Thou knewest that I was an austere man, taking up what I laid not down, and reaping that which I did not sow:
[DRA | EN | NT | Luke | Chapter 19 | Verse 23] And why then didst thou not give my money into the bank, that at my coming, I might have exacted it with usury?
[DRA | EN | NT | Luke | Chapter 19 | Verse 24] And he said to them that stood by: Take the pound away from him, and give it to him that hath ten pounds.
[DRA | EN | NT | Luke | Chapter 19 | Verse 25] And they said to him: Lord, he hath ten pounds.
[DRA | EN | NT | Luke | Chapter 19 | Verse 26] But I say to you, that to every one that hath shall be given, and he shall abound: and from him that hath not, even that which he hath, shall be taken from him.
[DRA | EN | NT | Luke | Chapter 19 | Verse 27] But as for those my enemies, who would not have me reign over them, bring them hither, and kill them before me.
[DRA | EN | NT | Luke | Chapter 19 | Verse 28] And having said these things, he went before, going up to Jerusalem.
[DRA | EN | NT | Luke | Chapter 19 | Verse 29] And it came to pass, when he was come nigh to Bethphage and Bethania, unto the mount called Olivet, he sent two of his disciples,
[DRA | EN | NT | Luke | Chapter 19 | Verse 30] Saying: Go into the town which is over against you, at your entering into which you shall find the colt of an ass tied, on which no man ever hath sitten: loose him, and bring him hither.
[DRA | EN | NT | Luke | Chapter 19 | Verse 31] And if any man shall ask you: Why do you loose him? you shall say thus unto him: Because the Lord hath need of his service.
[DRA | EN | NT | Luke | Chapter 19 | Verse 32] And they that were sent, went their way, and found the colt standing, as he had said unto them.
[DRA | EN | NT | Luke | Chapter 19 | Verse 33] And as they were loosing the colt, the owners thereof said to them: Why loose you the colt?
[DRA | EN | NT | Luke | Chapter 19 | Verse 34] But they said: Because the Lord hath need of him.
[DRA | EN | NT | Luke | Chapter 19 | Verse 35] And they brought him to Jesus. And casting their garments on the colt, they set Jesus thereon.
