[DRA | EN | NT | Luke | Chapter 1 | Verse 1] Forasmuch as many have taken in hand to set forth in order a narration of the things that have been accomplished among us;
[DRA | EN | NT | Luke | Chapter 1 | Verse 2] According as they have delivered them unto us, who from the beginning were eyewitnesses and ministers of the word:
[DRA | EN | NT | Luke | Chapter 1 | Verse 3] It seemed good to me also, having diligently attained to all things from the beginning, to write to thee in order, most excellent Theophilus,
[DRA | EN | NT | Luke | Chapter 1 | Verse 4] That thou mayest know the verity of those words in which thou hast been instructed.
[DRA | EN | NT | Luke | Chapter 1 | Verse 5] There was in the days of Herod, the king of Judea, a certain priest named Zachary, of the course of Abia; and his wife was of the daughters of Aaron, and her name Elizabeth.
[DRA | EN | NT | Luke | Chapter 1 | Verse 6] And they were both just before God, walking in all the commandments and justifications of the Lord without blame.
[DRA | EN | NT | Luke | Chapter 1 | Verse 7] And they had no son, for that Elizabeth was barren, and they both were well advanced in years.
[DRA | EN | NT | Luke | Chapter 1 | Verse 8] And it came to pass, when he executed the priestly function in the order of his course before God,
[DRA | EN | NT | Luke | Chapter 1 | Verse 9] According to the custom of the priestly office, it was his lot to offer incense, going into the temple of the Lord.
[DRA | EN | NT | Luke | Chapter 1 | Verse 10] And all the multitude of the people was praying without, at the hour of incense.
[DRA | EN | NT | Luke | Chapter 1 | Verse 11] And there appeared to him an angel of the Lord, standing on the right side of the alter of incense.
[DRA | EN | NT | Luke | Chapter 1 | Verse 12] And Zachary seeing him, was troubled, and fear fell upon him.
[DRA | EN | NT | Luke | Chapter 1 | Verse 13] But the angel said to him: Fear not, Zachary, for thy prayer is heard; and thy wife Elizabeth shall bear thee a son, and thou shalt call his name John:
[DRA | EN | NT | Luke | Chapter 1 | Verse 14] And thou shalt have joy and gladness, and many shall rejoice in his nativity.
[DRA | EN | NT | Luke | Chapter 1 | Verse 15] For he shall be great before the Lord; and shall drink no wine nor strong drink: and he shall be filled with the Holy Ghost, even from his mother’s womb.
[DRA | EN | NT | Luke | Chapter 1 | Verse 16] And he shall convert many of the children of Israel to the Lord their God.
[DRA | EN | NT | Luke | Chapter 1 | Verse 17] And he shall go before him in the spirit and power of Elias; that he may turn the hearts of the fathers unto the children, and the incredulous to the wisdom of the just, to prepare unto the Lord a perfect people.
[DRA | EN | NT | Luke | Chapter 1 | Verse 18] And Zachary said to the angel: Whereby shall I know this? for I am an old man, and my wife is advanced in years.
[DRA | EN | NT | Luke | Chapter 1 | Verse 19] And the angel answering, said to him: I am Gabriel, who stand before God: and am sent to speak to thee, and to bring thee these good tidings.
[DRA | EN | NT | Luke | Chapter 1 | Verse 20] And behold, thou shalt be dumb, and shalt not be able to speak until the day wherein these things shall come to pass, because thou hast not believed my words, which shall be fulfilled in their time.
[DRA | EN | NT | Luke | Chapter 1 | Verse 21] And the people were waiting for Zachary; and they wondered that he tarried so long in the temple.
[DRA | EN | NT | Luke | Chapter 1 | Verse 22] And when he came out, he could not speak to them: and they understood that he had seen a vision in the temple. And he made signs to them, and remained dumb.
[DRA | EN | NT | Luke | Chapter 1 | Verse 23] And it came to pass, after the days of his office were accomplished, he departed to his own house.
[DRA | EN | NT | Luke | Chapter 1 | Verse 24] And after those days, Elizabeth his wife conceived, and hid herself five months, saying:
[DRA | EN | NT | Luke | Chapter 1 | Verse 25] Thus hath the Lord dealt with me in the days wherein he hath had regard to take away my reproach among men.
[DRA | EN | NT | Luke | Chapter 1 | Verse 26] And in the sixth month, the angel Gabriel was sent from God into a city of Galilee, called Nazareth,
[DRA | EN | NT | Luke | Chapter 1 | Verse 27] To a virgin espoused to a man whose name was Joseph, of the house of David; and the virgin’s name was Mary.
[DRA | EN | NT | Luke | Chapter 1 | Verse 28] And the angel being come in, said unto her: Hail, full of grace, the Lord is with thee: blessed art thou among women.
[DRA | EN | NT | Luke | Chapter 1 | Verse 29] Who having heard, was troubled at his saying, and thought with herself what manner of salutation this should be.
[DRA | EN | NT | Luke | Chapter 1 | Verse 30] And the angel said to her: Fear not, Mary, for thou hast found grace with God.
[DRA | EN | NT | Luke | Chapter 1 | Verse 31] Behold thou shalt conceive in thy womb, and shalt bring forth a son; and thou shalt call his name Jesus.
[DRA | EN | NT | Luke | Chapter 1 | Verse 32] He shall be great, and shall be called the Son of the most High; and the Lord God shall give unto him the throne of David his father; and he shall reign in the house of Jacob for ever.
[DRA | EN | NT | Luke | Chapter 1 | Verse 33] And of his kingdom there shall be no end.
[DRA | EN | NT | Luke | Chapter 1 | Verse 34] And Mary said to the angel: How shall this be done, because I know not man?
[DRA | EN | NT | Luke | Chapter 1 | Verse 35] And the angel answering, said to her: The Holy Ghost shall come upon thee, and the power of the most High shall overshadow thee. And therefore also the Holy which shall be born of thee shall be called the Son of God.
[DRA | EN | NT | Luke | Chapter 1 | Verse 36] And behold thy cousin Elizabeth, she also hath conceived a son in her old age; and this is the sixth month with her that is called barren:
[DRA | EN | NT | Luke | Chapter 1 | Verse 37] Because no word shall be impossible with God.
[DRA | EN | NT | Luke | Chapter 1 | Verse 38] And Mary said: Behold the handmaid of the Lord; be it done to me according to thy word. And the angel departed from her.
[DRA | EN | NT | Luke | Chapter 1 | Verse 39] And Mary rising up in those days, went into the hill country with haste into a city of Juda.
[DRA | EN | NT | Luke | Chapter 1 | Verse 40] And she entered into the house of Zachary, and saluted Elizabeth.
[DRA | EN | NT | Luke | Chapter 1 | Verse 41] And it came to pass, that when Elizabeth heard the salutation of Mary, the infant leaped in her womb. And Elizabeth was filled with the Holy Ghost:
[DRA | EN | NT | Luke | Chapter 1 | Verse 42] And she cried out with a loud voice, and said: Blessed art thou among women, and blessed is the fruit of thy womb.
[DRA | EN | NT | Luke | Chapter 1 | Verse 43] And whence is this to me, that the mother of my Lord should come to me?
[DRA | EN | NT | Luke | Chapter 1 | Verse 44] For behold as soon as the voice of thy salutation sounded in my ears, the infant in my womb leaped for joy.
[DRA | EN | NT | Luke | Chapter 1 | Verse 45] And blessed art thou that hast believed, because those things shall be accomplished that were spoken to thee by the Lord.
[DRA | EN | NT | Luke | Chapter 1 | Verse 46] And Mary said: My soul doth magnify the Lord.
[DRA | EN | NT | Luke | Chapter 1 | Verse 47] And my spirit hath rejoiced in God my Saviour.
[DRA | EN | NT | Luke | Chapter 1 | Verse 48] Because he hath regarded the humility of his handmaid; for behold from henceforth all generations shall call me blessed.
[DRA | EN | NT | Luke | Chapter 1 | Verse 49] Because he that is mighty, hath done great things to me; and holy is his name.
[DRA | EN | NT | Luke | Chapter 1 | Verse 50] And his mercy is from generation unto generations, to them that fear him.
[DRA | EN | NT | Luke | Chapter 1 | Verse 51] He hath shewed might in his arm: he hath scattered the proud in the conceit of their heart.
[DRA | EN | NT | Luke | Chapter 1 | Verse 52] He hath put down the mighty from their seat, and hath exalted the humble.
[DRA | EN | NT | Luke | Chapter 1 | Verse 53] He hath filled the hungry with good things; and the rich he hath sent empty away.
[DRA | EN | NT | Luke | Chapter 1 | Verse 54] He hath received Israel his servant, being mindful of his mercy:
