[IRV | BN | NT | Matthew | Chapter 24 | Verse 1] পরে যীশু ঈশ্বরের গৃহ থেকে বের হয়ে নিজের রাস্তায় চলেছেন, এমন দিনের তাঁর শিষ্যেরা তাঁকে মন্দিরের গাঁথনিগুলি দেখানোর জন্য কাছে গেলেন।
[IRV | BN | NT | Matthew | Chapter 24 | Verse 2] কিন্তু তিনি তাঁদের বললেন, “তোমরা কি এই সব দেখছ না? আমি তোমাদের সত্যি বলছি, এই মন্দিরের একটা পাথর অন্য পাথরের উপরে থাকবে না, সব কিছুই ধ্বংস হবে।”
[IRV | BN | NT | Matthew | Chapter 24 | Verse 3] পরে তিনি জৈতুন পর্বতের উপরে বসলে শিষ্যেরা গোপনে তাঁর কাছে এসে বললেন, “আমাদেরকে বলুন দেখি, এই সব ঘটনা কখন ঘটবে? আর আপনার আবার ফিরে আসার এবং যুগ শেষ হওয়ার চিহ্ন কি?”
[IRV | BN | NT | Matthew | Chapter 24 | Verse 4] যীশু এর উত্তরে তাঁদের বললেন, “সাবধান হও, কেউ যেন তোমাদের না ঠকায়।”
[IRV | BN | NT | Matthew | Chapter 24 | Verse 5] কারণ অনেকেই আমার নাম ধরে আসবে, বলবে, আমিই সেই খ্রীষ্ট, আর অনেক লোককে ঠকাবে।
[IRV | BN | NT | Matthew | Chapter 24 | Verse 6] আর তোমরা যুদ্ধের কথাও যুদ্ধের গুজব শুনবে, দেখো, অস্থির হয়ো না, কারণ এসব অবশ্যই ঘটবে, কিন্তু তখনও এর শেষ নয়।
[IRV | BN | NT | Matthew | Chapter 24 | Verse 7] কারণ এক জাতি অন্য জাতির বিরুদ্ধে ও এক রাজ্যে অন্য রাজ্যের বিরুদ্ধে উঠবে। জায়গায় জায়গায় ভূমিকম্প ও দূর্ভিক্ষ হবে।
[IRV | BN | NT | Matthew | Chapter 24 | Verse 8] কিন্তু এই সবই যন্ত্রণা আরম্ভ মাত্র।
[IRV | BN | NT | Matthew | Chapter 24 | Verse 9] সেই দিনের লোকেরা কষ্ট দেবার জন্য তোমাদের সমর্পণ করবে, ও তোমাদের বধ করবে, আর আমার নামের জন্য সমস্ত জাতি তোমাদের ঘৃণা করবে।
[IRV | BN | NT | Matthew | Chapter 24 | Verse 10] আর সেই দিন অনেকে বিশ্বাস ছেড়ে চলে যাবে, একজন অন্য জনকে শত্রুর হাতে সমর্পণ করবে, একে অন্যকে ঘৃণা করবে।
[IRV | BN | NT | Matthew | Chapter 24 | Verse 11] আর অনেক ভণ্ড ভাববাদী আসবে এবং অনেককে ভোলাবে।
[IRV | BN | NT | Matthew | Chapter 24 | Verse 12] আর অধর্ম্ম বৃদ্ধি হওয়াতে অধিকাংশ লোকের প্রেম শীতল হয়ে যাবে।
[IRV | BN | NT | Matthew | Chapter 24 | Verse 13] কিন্তু যে কেউ শেষ পর্যন্ত স্থির থাকবে, সে উদ্ধার পাবে।
[IRV | BN | NT | Matthew | Chapter 24 | Verse 14] আবার সব জাতির কাছে সাক্ষ্য দাওয়ার জন্য রাজ্যের এই সুসমাচার সমস্ত জগতে প্রচার করা হবে, আর তখন শেষ দিন উপস্থিত হবে।
[IRV | BN | NT | Matthew | Chapter 24 | Verse 15] অতএব যখন তোমরা দেখবে, ধ্বংসের যে ঘৃণার জিনিসের বিষয়ে দানিয়েল ভাববাদী বলেছেন, যা পবিত্র স্থানে দাঁড়িয়ে আছে, যে ব্যক্তি এই বিষয়ে পড়ে সে বুঝুক,
[IRV | BN | NT | Matthew | Chapter 24 | Verse 16] তখন যারা যিহূদিয়াতে থাকে, তারা পাহাড়ি অঞ্চলে পালিয়ে যাক,
[IRV | BN | NT | Matthew | Chapter 24 | Verse 17] যে কেউ ছাদের উপরে থাকে, সে ঘর থেকে জিনিসপত্র নাওয়ার জন্য নীচে না নামুক,
[IRV | BN | NT | Matthew | Chapter 24 | Verse 18] আর যে কেউ ক্ষেতে থাকে, সে তার পোশাক নাওয়ার জন্য পেছনে ফিরে না যাক।
[IRV | BN | NT | Matthew | Chapter 24 | Verse 19] হায়, সেই দিনের গর্ভবতী এবং যাদের কোলে দুধের বাচ্চা তাদের খুবই কষ্ট হবে!
[IRV | BN | NT | Matthew | Chapter 24 | Verse 20] আর প্রার্থনা কর, যেন তোমাদের শীতকালে কিম্বা বিশ্রামবারে পালাতে না হয়।
[IRV | BN | NT | Matthew | Chapter 24 | Verse 21] কারণ সেদিন এমন মহাসংকট উপস্থিত হবে, যা জগতের আরম্ভ থেকে এ পর্যন্ত কখনও হয়নি, আর কখনও হবেও না।
[IRV | BN | NT | Matthew | Chapter 24 | Verse 22] আর সেই দিনের সংখ্যা যদি কমিয়ে দেওয়া না হত, তবে কোন মানুষই উদ্ধার পেত না, কিন্তু যারা মনোনীত তাদের জন্য সেই দিনের সংখ্যা কমিয়ে দেওয়া হবে।
[IRV | BN | NT | Matthew | Chapter 24 | Verse 23] তখন যদি কেউ তোমাদের বলে, দেখ, সেই খ্রীষ্ট এখানে, কিম্বা ওখানে, তোমরা বিশ্বাস কর না।
[IRV | BN | NT | Matthew | Chapter 24 | Verse 24] কারণ ভণ্ড খ্রীষ্টেরা ও ভণ্ড ভাববাদীরা উঠবে এবং এমন মহান মহান চিহ্ন ও আশ্চর্য্য আশ্চর্য্য কাজ দেখাবে যে, যদি হতে পারে, তবে মনোনীতদেরও ভোলাবে।
[IRV | BN | NT | Matthew | Chapter 24 | Verse 25] দেখ, আমি আগেই তোমাদের বললাম।
[IRV | BN | NT | Matthew | Chapter 24 | Verse 26] অতএব লোকে যদি তোমাদের বলে, দেখ, তিনি মরূপ্রান্তে, তোমরা বাইরে যেও না, দেখ, তিনি গোপন ঘরে, তোমরা বিশ্বাস করো না।
