[OEB | EN | NT | 2 Timothy | Chapter 1 | Verse 1] From Paul who, by the will of God, is an apostle of Christ Jesus, charged to proclaim the life that comes from union with Christ Jesus,
[OEB | EN | NT | 2 Timothy | Chapter 1 | Verse 2] to Timothy, my dear child: may God, the Father, and Christ Jesus, our Lord, bless you, and be merciful to you, and give you peace.
[OEB | EN | NT | 2 Timothy | Chapter 1 | Verse 3] I am thankful to God, whom I serve, as my ancestors did, with a clear conscience, when I remember you, as I never fail to do, in my prayers – night and day alike,
[OEB | EN | NT | 2 Timothy | Chapter 1 | Verse 4] as I think of your tears, longing to see you, that my happiness may be completed,
[OEB | EN | NT | 2 Timothy | Chapter 1 | Verse 5] now that I have been reminded of the sincere faith that you have shown. That faith was seen first in your grandmother Lois and your mother Eunice, and is now, I am convinced, in you also.
[OEB | EN | NT | 2 Timothy | Chapter 1 | Verse 6] And that is my reason for reminding you to stir into flame that gift of God, which is yours through your ordination at my hands.
[OEB | EN | NT | 2 Timothy | Chapter 1 | Verse 7] For the Spirit which God gave us was not a spirit of cowardice, but a spirit of power, love, and self-control.
[OEB | EN | NT | 2 Timothy | Chapter 1 | Verse 8] Do not, therefore, be ashamed of the testimony which we have to bear to our Lord, or of me imprisoned for his sake; but join with me in suffering for the good news, as far as God enables you.
[OEB | EN | NT | 2 Timothy | Chapter 1 | Verse 9] It was God who saved us, and from him we received our solemn call – not as a reward for anything that we had done, but in fulfilment of his own loving purpose. For that love was extended to us, through Christ Jesus, before time began,
[OEB | EN | NT | 2 Timothy | Chapter 1 | Verse 10] and has now been made apparent through the appearing of our Saviour, Christ Jesus; who has made an end of death, and has brought life and immortality to light by that good news,
[OEB | EN | NT | 2 Timothy | Chapter 1 | Verse 11] of which I was myself appointed a herald, apostle, and teacher.
[OEB | EN | NT | 2 Timothy | Chapter 1 | Verse 12] That is why I am undergoing these sufferings; yet I feel no shame, for I know in whom I have put my faith, and am convinced that he is able to guard what I have entrusted to him until that day.
[OEB | EN | NT | 2 Timothy | Chapter 1 | Verse 13] Keep before you, as an example of sound teaching, all that you learnt from me as you listened with that faith and love which come from union with Christ Jesus.
[OEB | EN | NT | 2 Timothy | Chapter 1 | Verse 14] Guard by the help of the Holy Spirit, who is within us, the glorious trust that has been committed to you.
[OEB | EN | NT | 2 Timothy | Chapter 1 | Verse 15] You know, of course, that all our friends in Roman Asia turned their backs on me, including Phygellus and Hermogenes.
[OEB | EN | NT | 2 Timothy | Chapter 1 | Verse 16] May the Lord show mercy to the household of Onesiphorus; for he often cheered me and was not ashamed of my chains.
[OEB | EN | NT | 2 Timothy | Chapter 1 | Verse 17] On the contrary, when he arrived in Rome, he sought eagerly for me until he found me.
[OEB | EN | NT | 2 Timothy | Chapter 1 | Verse 18] The Lord grant that he may find mercy at the hands of the Lord on that day. The many services that he rendered at Ephesus you have the best means of knowing.
