[OEB | EN | NT | 2 Timothy | Chapter 4 | Verse 1] I solemnly charge you – in the sight of God and of Christ Jesus, who will one day judge the living and the dead – I charge you by his appearing and by his kingdom:
[OEB | EN | NT | 2 Timothy | Chapter 4 | Verse 2] Proclaim the message, be ready in season and out of season, convince, rebuke, encourage, never failing to instruct with forbearance.
[OEB | EN | NT | 2 Timothy | Chapter 4 | Verse 3] For a time will come when people will not tolerate sound teaching. They will follow their own wishes, and, in their itching for novelty, procure themselves a crowd of teachers.
[OEB | EN | NT | 2 Timothy | Chapter 4 | Verse 4] They will turn a deaf ear to the truth, and give their attention to legends instead.
[OEB | EN | NT | 2 Timothy | Chapter 4 | Verse 5] But you, Timothy, must always be temperate. Face hardships; do the work of a missionary; discharge all the duties of your office.
[OEB | EN | NT | 2 Timothy | Chapter 4 | Verse 6] As for me, my life blood is already being poured out; the time of my departure is close at hand.
[OEB | EN | NT | 2 Timothy | Chapter 4 | Verse 7] I have run the great race; I have finished the course; I have kept the faith.
[OEB | EN | NT | 2 Timothy | Chapter 4 | Verse 8] And now the crown of righteousness awaits me, which the Lord, the just judge, will give me on that day – and not only to me, but to all who have loved his appearing.
[OEB | EN | NT | 2 Timothy | Chapter 4 | Verse 9] Do your utmost to come to me soon,
[OEB | EN | NT | 2 Timothy | Chapter 4 | Verse 10] for Demas, in his love for the world, has deserted me. He has gone to Thessalonica, Crescens to Galatia, and Titus to Dalmatia.
[OEB | EN | NT | 2 Timothy | Chapter 4 | Verse 11] There is no one but Luke with me. Pick up Mark on your way, and bring him with you, for he is useful to me in my work.
[OEB | EN | NT | 2 Timothy | Chapter 4 | Verse 12] I have sent Tychicus to Ephesus.
[OEB | EN | NT | 2 Timothy | Chapter 4 | Verse 13] Bring with you, when you come, the cloak which I left at Troas with Carpus, and the books, especially the parchments.
[OEB | EN | NT | 2 Timothy | Chapter 4 | Verse 14] Alexander, the coppersmith, showed much ill feeling towards me. The Lord will give him what his actions deserve.
[OEB | EN | NT | 2 Timothy | Chapter 4 | Verse 15] You must also be on your guard against him, for he is strongly opposed to our teaching.
[OEB | EN | NT | 2 Timothy | Chapter 4 | Verse 16] At my first trial no one stood by me. They all deserted me. May it never be counted against them!
[OEB | EN | NT | 2 Timothy | Chapter 4 | Verse 17] But the Lord came to my help and strengthened me, in order that, through me, the proclamation should be made so widely that all the Gentiles should hear it; and I was rescued out of the lion’s mouth.
[OEB | EN | NT | 2 Timothy | Chapter 4 | Verse 18] The Lord will rescue me from all evil, and bring me safe into his Heavenly kingdom. All glory to him for ever and ever! Amen.
[OEB | EN | NT | 2 Timothy | Chapter 4 | Verse 19] Give my greeting to Prisca and Aquila, and to the household of Onesiphorus.
[OEB | EN | NT | 2 Timothy | Chapter 4 | Verse 20] Erastus remained at Corinth, and I left Thophimus ill at Miletus.
[OEB | EN | NT | 2 Timothy | Chapter 4 | Verse 21] Do your utmost to come before winter. Eubulus, Pudens, Linus and Claudia send you their greetings, and so do the rest of the Lord’s followers.
[OEB | EN | NT | 2 Timothy | Chapter 4 | Verse 22] May the Lord be with your soul. God bless you all.
