[BSB | EN | NT | Matthew | Chapter 27 | Verse 1] When morning came, all the chief priests and elders of the people conspired against Jesus to put Him to death.
[BSB | EN | NT | Matthew | Chapter 27 | Verse 2] They bound Him, led Him away, and handed Him over to Pilate the governor.
[BSB | EN | NT | Matthew | Chapter 27 | Verse 3] When Judas, who had betrayed Him, saw that Jesus was condemned, he was filled with remorse and returned the thirty pieces of silver to the chief priests and elders.
[BSB | EN | NT | Matthew | Chapter 27 | Verse 4] “I have sinned by betraying innocent blood,” he said. “What is that to us?” they replied. “You bear the responsibility.”
[BSB | EN | NT | Matthew | Chapter 27 | Verse 5] So Judas threw the silver into the temple and left. Then he went away and hanged himself.
[BSB | EN | NT | Matthew | Chapter 27 | Verse 6] The chief priests picked up the pieces of silver and said, “It is unlawful to put this into the treasury, since it is blood money.”
[BSB | EN | NT | Matthew | Chapter 27 | Verse 7] After conferring together, they used the money to buy the potter’s field as a burial place for foreigners.
[BSB | EN | NT | Matthew | Chapter 27 | Verse 8] That is why it has been called the Field of Blood to this day.
[BSB | EN | NT | Matthew | Chapter 27 | Verse 9] Then what was spoken through Jeremiah the prophet was fulfilled: “They took the thirty pieces of silver, the price set on Him by the people of Israel,
[BSB | EN | NT | Matthew | Chapter 27 | Verse 10] and they gave them for the potter’s field, as the Lord had commanded me.”
[BSB | EN | NT | Matthew | Chapter 27 | Verse 11] Meanwhile Jesus stood before the governor, who questioned Him: “Are You the King of the Jews?” “You have said so,” Jesus replied.
[BSB | EN | NT | Matthew | Chapter 27 | Verse 12] And when He was accused by the chief priests and elders, He gave no answer.
[BSB | EN | NT | Matthew | Chapter 27 | Verse 13] Then Pilate asked Him, “Do You not hear how many charges they are bringing against You?”
[BSB | EN | NT | Matthew | Chapter 27 | Verse 14] But Jesus gave no answer, not even to a single charge, much to the governor’s amazement.
[BSB | EN | NT | Matthew | Chapter 27 | Verse 15] Now it was the governor’s custom at the feast to release to the crowd a prisoner of their choosing.
[BSB | EN | NT | Matthew | Chapter 27 | Verse 16] At that time they were holding a notorious prisoner named Barabbas.
[BSB | EN | NT | Matthew | Chapter 27 | Verse 17] So when the crowd had assembled, Pilate asked them, “Which one do you want me to release to you: Barabbas, or Jesus who is called Christ?”
[BSB | EN | NT | Matthew | Chapter 27 | Verse 18] For he knew it was out of envy that they had handed Jesus over to him.
[BSB | EN | NT | Matthew | Chapter 27 | Verse 19] While Pilate was sitting on the judgment seat, his wife sent him this message: “Have nothing to do with that innocent man, for I have suffered terribly in a dream today because of Him.”
[BSB | EN | NT | Matthew | Chapter 27 | Verse 20] But the chief priests and elders persuaded the crowds to ask for Barabbas and to have Jesus put to death.
[BSB | EN | NT | Matthew | Chapter 27 | Verse 21] “Which of the two do you want me to release to you?” asked the governor. “Barabbas,” they replied.
[BSB | EN | NT | Matthew | Chapter 27 | Verse 22] “What then should I do with Jesus who is called Christ?” Pilate asked. They all answered, “Crucify Him!”
[BSB | EN | NT | Matthew | Chapter 27 | Verse 23] “Why?” asked Pilate. “What evil has He done?” But they shouted all the louder, “Crucify Him!”
[BSB | EN | NT | Matthew | Chapter 27 | Verse 24] When Pilate saw that he was accomplishing nothing, but that instead a riot was breaking out, he took water and washed his hands before the crowd. “I am innocent of this man’s blood,” he said. “You bear the responsibility.”
[BSB | EN | NT | Matthew | Chapter 27 | Verse 25] All the people answered, “His blood be on us and on our children!”
[BSB | EN | NT | Matthew | Chapter 27 | Verse 26] So Pilate released Barabbas to them. But he had Jesus flogged, and handed Him over to be crucified.
[BSB | EN | NT | Matthew | Chapter 27 | Verse 27] Then the governor’s soldiers took Jesus into the Praetorium and gathered the whole company around Him.
[BSB | EN | NT | Matthew | Chapter 27 | Verse 28] They stripped Him and put a scarlet robe on Him.
[BSB | EN | NT | Matthew | Chapter 27 | Verse 29] And they twisted together a crown of thorns and set it on His head. They put a staff in His right hand and knelt down before Him to mock Him, saying, “Hail, King of the Jews!”
[BSB | EN | NT | Matthew | Chapter 27 | Verse 30] Then they spit on Him and took the staff and struck Him on the head repeatedly.
[BSB | EN | NT | Matthew | Chapter 27 | Verse 31] After they had mocked Him, they removed the robe and put His own clothes back on Him. Then they led Him away to crucify Him.
[BSB | EN | NT | Matthew | Chapter 27 | Verse 32] Along the way they found a man from Cyrene, named Simon, and they forced him to carry the cross of Jesus.
[BSB | EN | NT | Matthew | Chapter 27 | Verse 33] And when they came to a place called Golgotha, which means The Place of the Skull,
[BSB | EN | NT | Matthew | Chapter 27 | Verse 34] they offered Him wine to drink, mixed with gall; but after tasting it, He refused to drink it.
[BSB | EN | NT | Matthew | Chapter 27 | Verse 35] When they had crucified Him, they divided up His garments by casting lots.
[BSB | EN | NT | Matthew | Chapter 27 | Verse 36] And sitting down, they kept watch over Him there.
[BSB | EN | NT | Matthew | Chapter 27 | Verse 37] Above His head they posted the written charge against Him: THIS IS JESUS, THE KING OF THE JEWS.
[BSB | EN | NT | Matthew | Chapter 27 | Verse 38] Two robbers were crucified with Him, one on His right hand and the other on His left.
[BSB | EN | NT | Matthew | Chapter 27 | Verse 39] And those who passed by heaped abuse on Him, shaking their heads
[BSB | EN | NT | Matthew | Chapter 27 | Verse 40] and saying, “You who are going to destroy the temple and rebuild it in three days, save Yourself! If You are the Son of God, come down from the cross!”
[BSB | EN | NT | Matthew | Chapter 27 | Verse 41] In the same way, the chief priests, scribes, and elders mocked Him, saying,
[BSB | EN | NT | Matthew | Chapter 27 | Verse 42] “He saved others, but He cannot save Himself. He is the King of Israel! Let Him come down now from the cross, and we will believe in Him.
[BSB | EN | NT | Matthew | Chapter 27 | Verse 43] He trusts in God. Let God deliver Him now if He wants Him. For He said, ‘I am the Son of God.’”
[BSB | EN | NT | Matthew | Chapter 27 | Verse 44] In the same way, even the robbers who were crucified with Him berated Him.
[BSB | EN | NT | Matthew | Chapter 27 | Verse 45] From the sixth hour until the ninth hour darkness came over all the land.
[BSB | EN | NT | Matthew | Chapter 27 | Verse 46] About the ninth hour Jesus cried out in a loud voice, “Eli, Eli, lema sabachthani?” which means, “My God, My God, why have You forsaken Me?”
[BSB | EN | NT | Matthew | Chapter 27 | Verse 47] When some of those standing there heard this, they said, “He is calling Elijah.”
[BSB | EN | NT | Matthew | Chapter 27 | Verse 48] One of them quickly ran and brought a sponge. He filled it with sour wine, put it on a reed, and held it up for Jesus to drink.
[BSB | EN | NT | Matthew | Chapter 27 | Verse 49] But the others said, “Leave Him alone. Let us see if Elijah comes to save Him.”
[BSB | EN | NT | Matthew | Chapter 27 | Verse 50] When Jesus had cried out again in a loud voice, He yielded up His spirit.
[BSB | EN | NT | Matthew | Chapter 27 | Verse 51] At that moment the veil of the temple was torn in two from top to bottom. The earth quaked and the rocks were split.
[BSB | EN | NT | Matthew | Chapter 27 | Verse 52] The tombs broke open, and the bodies of many saints who had fallen asleep were raised.
[BSB | EN | NT | Matthew | Chapter 27 | Verse 53] After Jesus’ resurrection, when they had come out of the tombs, they entered the holy city and appeared to many people.
[BSB | EN | NT | Matthew | Chapter 27 | Verse 54] When the centurion and those with him who were guarding Jesus saw the earthquake and all that had happened, they were terrified and said, “Truly this was the Son of God.”
