[BSB | EN | NT | Matthew | Chapter 2 | Verse 1] After Jesus was born in Bethlehem in Judea, during the time of King Herod, Magi from the east arrived in Jerusalem,
[BSB | EN | NT | Matthew | Chapter 2 | Verse 2] asking, “Where is the One who has been born King of the Jews? We saw His star in the east and have come to worship Him.”
[BSB | EN | NT | Matthew | Chapter 2 | Verse 3] When King Herod heard this, he was disturbed, and all Jerusalem with him.
[BSB | EN | NT | Matthew | Chapter 2 | Verse 4] And when he had assembled all the chief priests and scribes of the people, he asked them where the Christ was to be born.
[BSB | EN | NT | Matthew | Chapter 2 | Verse 5] “In Bethlehem in Judea,” they replied, “for this is what the prophet has written:
[BSB | EN | NT | Matthew | Chapter 2 | Verse 6] ‘But you, Bethlehem, in the land of Judah, are by no means least among the rulers of Judah, for out of you will come a ruler who will be the shepherd of My people Israel.’”
[BSB | EN | NT | Matthew | Chapter 2 | Verse 7] Then Herod called the Magi secretly and learned from them the exact time the star had appeared.
[BSB | EN | NT | Matthew | Chapter 2 | Verse 8] And sending them to Bethlehem, he said: “Go and search carefully for the Child, and when you find Him, report to me, so that I too may go and worship Him.”
[BSB | EN | NT | Matthew | Chapter 2 | Verse 9] After they had heard the king, they went on their way, and the star they had seen in the east went ahead of them until it stood over the place where the Child was.
[BSB | EN | NT | Matthew | Chapter 2 | Verse 10] When they saw the star, they rejoiced with great delight.
[BSB | EN | NT | Matthew | Chapter 2 | Verse 11] On coming to the house, they saw the Child with His mother Mary, and they fell down and worshiped Him. Then they opened their treasures and presented Him with gifts of gold and frankincense and myrrh.
[BSB | EN | NT | Matthew | Chapter 2 | Verse 12] And having been warned in a dream not to return to Herod, they withdrew to their country by another route.
[BSB | EN | NT | Matthew | Chapter 2 | Verse 13] When the Magi had gone, an angel of the Lord appeared to Joseph in a dream. “Get up!” he said. “Take the Child and His mother and flee to Egypt. Stay there until I tell you, for Herod is going to search for the Child to kill Him.”
[BSB | EN | NT | Matthew | Chapter 2 | Verse 14] So he got up, took the Child and His mother by night, and withdrew to Egypt,
[BSB | EN | NT | Matthew | Chapter 2 | Verse 15] where he stayed until the death of Herod. This fulfilled what the Lord had spoken through the prophet: “Out of Egypt I called My Son.”
[BSB | EN | NT | Matthew | Chapter 2 | Verse 16] When Herod saw that he had been outwitted by the Magi, he was filled with rage. Sending orders, he put to death all the boys in Bethlehem and its vicinity who were two years old and under, according to the time he had learned from the Magi.
[BSB | EN | NT | Matthew | Chapter 2 | Verse 17] Then what was spoken through the prophet Jeremiah was fulfilled:
[BSB | EN | NT | Matthew | Chapter 2 | Verse 18] “A voice is heard in Ramah, weeping and great mourning, Rachel weeping for her children, and refusing to be comforted, because they are no more.”
[BSB | EN | NT | Matthew | Chapter 2 | Verse 19] After Herod died, an angel of the Lord appeared in a dream to Joseph in Egypt.
[BSB | EN | NT | Matthew | Chapter 2 | Verse 20] “Get up!” he said. “Take the Child and His mother and go to the land of Israel, for those seeking the Child’s life are now dead.”
[BSB | EN | NT | Matthew | Chapter 2 | Verse 21] So Joseph got up, took the Child and His mother, and went to the land of Israel.
[BSB | EN | NT | Matthew | Chapter 2 | Verse 22] But when he learned that Archelaus was reigning in Judea in place of his father Herod, he was afraid to go there. And having been warned in a dream, he withdrew to the district of Galilee,
[BSB | EN | NT | Matthew | Chapter 2 | Verse 23] and he went and lived in a town called Nazareth. So was fulfilled what was spoken through the prophets: “He will be called a Nazarene.”
