[BSB | EN | NT | Matthew | Chapter 25 | Verse 1] “At that time the kingdom of heaven will be like ten virgins who took their lamps and went out to meet the bridegroom.
[BSB | EN | NT | Matthew | Chapter 25 | Verse 2] Five of them were foolish, and five were wise.
[BSB | EN | NT | Matthew | Chapter 25 | Verse 3] The foolish ones took their lamps but did not take along any extra oil.
[BSB | EN | NT | Matthew | Chapter 25 | Verse 4] But the wise ones took oil in flasks along with their lamps.
[BSB | EN | NT | Matthew | Chapter 25 | Verse 5] When the bridegroom was delayed, they all became drowsy and fell asleep.
[BSB | EN | NT | Matthew | Chapter 25 | Verse 6] At midnight the cry rang out: ‘Here is the bridegroom! Come out to meet him!’
[BSB | EN | NT | Matthew | Chapter 25 | Verse 7] Then all the virgins woke up and trimmed their lamps.
[BSB | EN | NT | Matthew | Chapter 25 | Verse 8] The foolish ones said to the wise, ‘Give us some of your oil; our lamps are going out.’
[BSB | EN | NT | Matthew | Chapter 25 | Verse 9] ‘No,’ said the wise ones, ‘or there may not be enough for both us and you. Instead, go to those who sell oil and buy some for yourselves.’
[BSB | EN | NT | Matthew | Chapter 25 | Verse 10] But while they were on their way to buy it, the bridegroom arrived. Those who were ready went in with him to the wedding banquet, and the door was shut.
[BSB | EN | NT | Matthew | Chapter 25 | Verse 11] Later the other virgins arrived and said, ‘Lord, lord, open the door for us!’
[BSB | EN | NT | Matthew | Chapter 25 | Verse 12] But he replied, ‘Truly I tell you, I do not know you.’
[BSB | EN | NT | Matthew | Chapter 25 | Verse 13] Therefore keep watch, because you do not know the day or the hour.
[BSB | EN | NT | Matthew | Chapter 25 | Verse 14] For it is just like a man going on a journey, who called his servants and entrusted them with his possessions.
[BSB | EN | NT | Matthew | Chapter 25 | Verse 15] To one he gave five talents, to another two talents, and to another one talent—each according to his own ability. And he went on his journey.
[BSB | EN | NT | Matthew | Chapter 25 | Verse 16] The servant who had received the five talents went at once and put them to work and gained five more.
[BSB | EN | NT | Matthew | Chapter 25 | Verse 17] Likewise, the one with the two talents gained two more.
[BSB | EN | NT | Matthew | Chapter 25 | Verse 18] But the servant who had received the one talent went off, dug a hole in the ground, and hid his master’s money.
[BSB | EN | NT | Matthew | Chapter 25 | Verse 19] After a long time the master of those servants returned to settle accounts with them.
[BSB | EN | NT | Matthew | Chapter 25 | Verse 20] The servant who had received the five talents came and presented five more. ‘Master,’ he said, ‘you entrusted me with five talents. See, I have gained five more.’
[BSB | EN | NT | Matthew | Chapter 25 | Verse 21] His master replied, ‘Well done, good and faithful servant! You have been faithful with a few things; I will put you in charge of many things. Enter into the joy of your master!’
[BSB | EN | NT | Matthew | Chapter 25 | Verse 22] The servant who had received the two talents also came and said, ‘Master, you entrusted me with two talents. See, I have gained two more.’
[BSB | EN | NT | Matthew | Chapter 25 | Verse 23] His master replied, ‘Well done, good and faithful servant! You have been faithful with a few things; I will put you in charge of many things. Enter into the joy of your master!’
[BSB | EN | NT | Matthew | Chapter 25 | Verse 24] Finally, the servant who had received the one talent came and said, ‘Master, I knew that you are a hard man, reaping where you have not sown and gathering where you have not scattered seed.
[BSB | EN | NT | Matthew | Chapter 25 | Verse 25] So I was afraid and went out and hid your talent in the ground. See, you have what belongs to you.’
[BSB | EN | NT | Matthew | Chapter 25 | Verse 26] ‘You wicked, lazy servant!’ replied his master. ‘You knew that I reap where I have not sown and gather where I have not scattered seed.
[BSB | EN | NT | Matthew | Chapter 25 | Verse 27] Then you should have deposited my money with the bankers, and on my return I would have received it back with interest.
[BSB | EN | NT | Matthew | Chapter 25 | Verse 28] Therefore take the talent from him and give it to the one who has ten talents.
[BSB | EN | NT | Matthew | Chapter 25 | Verse 29] For everyone who has will be given more, and he will have an abundance. But the one who does not have, even what he has will be taken away from him.
[BSB | EN | NT | Matthew | Chapter 25 | Verse 30] And throw that worthless servant into the outer darkness, where there will be weeping and gnashing of teeth.’
[BSB | EN | NT | Matthew | Chapter 25 | Verse 31] When the Son of Man comes in His glory, and all the angels with Him, He will sit on His glorious throne.
[BSB | EN | NT | Matthew | Chapter 25 | Verse 32] All the nations will be gathered before Him, and He will separate the people one from another, as a shepherd separates the sheep from the goats.
[BSB | EN | NT | Matthew | Chapter 25 | Verse 33] He will place the sheep on His right and the goats on His left.
[BSB | EN | NT | Matthew | Chapter 25 | Verse 34] Then the King will say to those on His right, ‘Come, you who are blessed by My Father, inherit the kingdom prepared for you from the foundation of the world.
[BSB | EN | NT | Matthew | Chapter 25 | Verse 35] For I was hungry and you gave Me something to eat, I was thirsty and you gave Me something to drink, I was a stranger and you took Me in,
[BSB | EN | NT | Matthew | Chapter 25 | Verse 36] I was naked and you clothed Me, I was sick and you looked after Me, I was in prison and you visited Me.’
