[BSB | EN | NT | Matthew | Chapter 18 | Verse 1] At that time the disciples came to Jesus and asked, “Who then is the greatest in the kingdom of heaven?”
[BSB | EN | NT | Matthew | Chapter 18 | Verse 2] Jesus invited a little child to stand among them.
[BSB | EN | NT | Matthew | Chapter 18 | Verse 3] “Truly I tell you,” He said, “unless you change and become like little children, you will never enter the kingdom of heaven.
[BSB | EN | NT | Matthew | Chapter 18 | Verse 4] Therefore, whoever humbles himself like this little child is the greatest in the kingdom of heaven.
[BSB | EN | NT | Matthew | Chapter 18 | Verse 5] And whoever welcomes a little child like this in My name welcomes Me.
[BSB | EN | NT | Matthew | Chapter 18 | Verse 6] But if anyone causes one of these little ones who believe in Me to stumble, it would be better for him to have a large millstone hung around his neck and to be drowned in the depths of the sea.
[BSB | EN | NT | Matthew | Chapter 18 | Verse 7] Woe to the world for the causes of sin. These stumbling blocks must come, but woe to the man through whom they come!
[BSB | EN | NT | Matthew | Chapter 18 | Verse 8] If your hand or your foot causes you to sin, cut it off and throw it away. It is better for you to enter life crippled or lame than to have two hands and two feet and be thrown into the eternal fire.
[BSB | EN | NT | Matthew | Chapter 18 | Verse 9] And if your eye causes you to sin, gouge it out and throw it away. It is better for you to enter life with one eye than to have two eyes and be thrown into the fire of hell.
[BSB | EN | NT | Matthew | Chapter 18 | Verse 10] See that you do not look down on any of these little ones. For I tell you that their angels in heaven always see the face of My Father in heaven.
[BSB | EN | NT | Matthew | Chapter 18 | Verse 12] What do you think? If a man has a hundred sheep and one of them goes astray, will he not leave the ninety-nine on the hills and go out to search for the one that is lost?
[BSB | EN | NT | Matthew | Chapter 18 | Verse 13] And if he finds it, truly I tell you, he rejoices more over that one sheep than over the ninety-nine that did not go astray.
[BSB | EN | NT | Matthew | Chapter 18 | Verse 14] In the same way, your Father in heaven is not willing that any of these little ones should perish.
[BSB | EN | NT | Matthew | Chapter 18 | Verse 15] If your brother sins against you, go and confront him privately. If he listens to you, you have won your brother over.
[BSB | EN | NT | Matthew | Chapter 18 | Verse 16] But if he will not listen, take one or two others along, so that ‘every matter may be established by the testimony of two or three witnesses.’
[BSB | EN | NT | Matthew | Chapter 18 | Verse 17] If he refuses to listen to them, tell it to the church. And if he refuses to listen even to the church, regard him as you would a pagan or a tax collector.
[BSB | EN | NT | Matthew | Chapter 18 | Verse 18] Truly I tell you, whatever you bind on earth will be bound in heaven, and whatever you loose on earth will be loosed in heaven.
[BSB | EN | NT | Matthew | Chapter 18 | Verse 19] Again, I tell you truly that if two of you on the earth agree about anything you ask for, it will be done for you by My Father in heaven.
[BSB | EN | NT | Matthew | Chapter 18 | Verse 20] For where two or three gather together in My name, there am I with them.”
[BSB | EN | NT | Matthew | Chapter 18 | Verse 21] Then Peter came to Jesus and asked, “Lord, how many times shall I forgive my brother who sins against me? Up to seven times?”
[BSB | EN | NT | Matthew | Chapter 18 | Verse 22] Jesus answered, “I tell you, not just seven times, but seventy-seven times!
[BSB | EN | NT | Matthew | Chapter 18 | Verse 23] Because of this, the kingdom of heaven is like a king who wanted to settle accounts with his servants.
[BSB | EN | NT | Matthew | Chapter 18 | Verse 24] As he began the settlements, a debtor was brought to him owing ten thousand talents.
[BSB | EN | NT | Matthew | Chapter 18 | Verse 25] Since the man was unable to pay, the master ordered that he be sold to pay his debt, along with his wife and children and everything he owned.
[BSB | EN | NT | Matthew | Chapter 18 | Verse 26] Then the servant fell on his knees before him. ‘Have patience with me,’ he begged, ‘and I will pay back everything.’
[BSB | EN | NT | Matthew | Chapter 18 | Verse 27] His master had compassion on him, forgave his debt, and released him.
[BSB | EN | NT | Matthew | Chapter 18 | Verse 28] But when that servant went out, he found one of his fellow servants who owed him a hundred denarii. He grabbed him and began to choke him, saying, ‘Pay back what you owe me!’
[BSB | EN | NT | Matthew | Chapter 18 | Verse 29] So his fellow servant fell down and begged him, ‘Have patience with me, and I will pay you back.’
[BSB | EN | NT | Matthew | Chapter 18 | Verse 30] But he refused. Instead, he went and had the man thrown into prison until he could pay his debt.
[BSB | EN | NT | Matthew | Chapter 18 | Verse 31] When his fellow servants saw what had happened, they were greatly distressed, and they went and recounted all of this to their master.
[BSB | EN | NT | Matthew | Chapter 18 | Verse 32] Then the master summoned him and declared, ‘You wicked servant! I forgave all your debt because you begged me.
[BSB | EN | NT | Matthew | Chapter 18 | Verse 33] Shouldn’t you have had mercy on your fellow servant, just as I had on you?’
[BSB | EN | NT | Matthew | Chapter 18 | Verse 34] In anger his master turned him over to the jailers to be tortured, until he should repay all that he owed.
[BSB | EN | NT | Matthew | Chapter 18 | Verse 35] That is how My heavenly Father will treat each of you unless you forgive your brother from your heart.”
