[BSB | EN | NT | Matthew | Chapter 20 | Verse 1] “For the kingdom of heaven is like a landowner who went out early in the morning to hire workers for his vineyard.
[BSB | EN | NT | Matthew | Chapter 20 | Verse 2] He agreed to pay them a denarius for the day and sent them into his vineyard.
[BSB | EN | NT | Matthew | Chapter 20 | Verse 3] About the third hour he went out and saw others standing in the marketplace doing nothing.
[BSB | EN | NT | Matthew | Chapter 20 | Verse 4] ‘You also go into my vineyard,’ he said, ‘and I will pay you whatever is right.’
[BSB | EN | NT | Matthew | Chapter 20 | Verse 5] So they went. He went out again about the sixth hour and the ninth hour and did the same thing.
[BSB | EN | NT | Matthew | Chapter 20 | Verse 6] About the eleventh hour he went out and found still others standing around. ‘Why have you been standing here all day long doing nothing?’ he asked.
[BSB | EN | NT | Matthew | Chapter 20 | Verse 7] ‘Because no one has hired us,’ they answered. So he told them, ‘You also go into my vineyard.’
[BSB | EN | NT | Matthew | Chapter 20 | Verse 8] When evening came, the owner of the vineyard said to his foreman, ‘Call the workers and pay them their wages, starting with the last ones hired and moving on to the first.’
[BSB | EN | NT | Matthew | Chapter 20 | Verse 9] The workers who were hired about the eleventh hour came and each received a denarius.
[BSB | EN | NT | Matthew | Chapter 20 | Verse 10] So when the original workers came, they assumed they would receive more. But each of them also received a denarius.
[BSB | EN | NT | Matthew | Chapter 20 | Verse 11] On receiving their pay, they began to grumble against the landowner.
[BSB | EN | NT | Matthew | Chapter 20 | Verse 12] ‘These men who were hired last worked only one hour,’ they said, ‘and you have made them equal to us who have borne the burden and the scorching heat of the day.’
[BSB | EN | NT | Matthew | Chapter 20 | Verse 13] But he answered one of them, ‘Friend, I am not being unfair to you. Did you not agree with me on one denarius?
[BSB | EN | NT | Matthew | Chapter 20 | Verse 14] Take your pay and go. I want to give this last man the same as I gave you.
[BSB | EN | NT | Matthew | Chapter 20 | Verse 15] Do I not have the right to do as I please with what is mine? Or are you envious because I am generous?’
[BSB | EN | NT | Matthew | Chapter 20 | Verse 16] So the last will be first, and the first will be last.”
[BSB | EN | NT | Matthew | Chapter 20 | Verse 17] As Jesus was going up to Jerusalem, He took the twelve disciples aside and said,
[BSB | EN | NT | Matthew | Chapter 20 | Verse 18] “Look, we are going up to Jerusalem, and the Son of Man will be delivered over to the chief priests and scribes. They will condemn Him to death
[BSB | EN | NT | Matthew | Chapter 20 | Verse 19] and will deliver Him over to the Gentiles to be mocked and flogged and crucified. And on the third day He will be raised to life.”
[BSB | EN | NT | Matthew | Chapter 20 | Verse 20] Then the mother of Zebedee’s sons came to Jesus with her sons and knelt down to make a request of Him.
[BSB | EN | NT | Matthew | Chapter 20 | Verse 21] “What do you want?” He inquired. She answered, “Declare that in Your kingdom one of these two sons of mine may sit at Your right hand, and the other at Your left.”
[BSB | EN | NT | Matthew | Chapter 20 | Verse 22] “You do not know what you are asking,” Jesus replied. “Can you drink the cup I am going to drink?” “We can,” the brothers answered.
[BSB | EN | NT | Matthew | Chapter 20 | Verse 23] “You will indeed drink My cup,” Jesus said. “But to sit at My right or left is not Mine to grant. These seats belong to those for whom My Father has prepared them.”
[BSB | EN | NT | Matthew | Chapter 20 | Verse 24] When the ten heard about this, they were indignant with the two brothers.
[BSB | EN | NT | Matthew | Chapter 20 | Verse 25] But Jesus called them aside and said, “You know that the rulers of the Gentiles lord it over them, and their superiors exercise authority over them.
[BSB | EN | NT | Matthew | Chapter 20 | Verse 26] It shall not be this way among you. Instead, whoever wants to become great among you must be your servant,
[BSB | EN | NT | Matthew | Chapter 20 | Verse 27] and whoever wants to be first among you must be your slave—
[BSB | EN | NT | Matthew | Chapter 20 | Verse 28] just as the Son of Man did not come to be served, but to serve, and to give His life as a ransom for many.”
[BSB | EN | NT | Matthew | Chapter 20 | Verse 29] As they were leaving Jericho, a large crowd followed Him.
[BSB | EN | NT | Matthew | Chapter 20 | Verse 30] And there were two blind men sitting beside the road. When they heard that Jesus was passing by, they cried out, “Lord, Son of David, have mercy on us!”
[BSB | EN | NT | Matthew | Chapter 20 | Verse 31] The crowd admonished them to be silent, but they cried out all the louder, “Lord, Son of David, have mercy on us!”
[BSB | EN | NT | Matthew | Chapter 20 | Verse 32] Jesus stopped and called them. “What do you want Me to do for you?” He asked.
[BSB | EN | NT | Matthew | Chapter 20 | Verse 33] “Lord,” they answered, “let our eyes be opened.”
[BSB | EN | NT | Matthew | Chapter 20 | Verse 34] Moved with compassion, Jesus touched their eyes, and at once they received their sight and followed Him.
