[BSB | EN | NT | Matthew | Chapter 13 | Verse 1] That same day Jesus went out of the house and sat by the sea.
[BSB | EN | NT | Matthew | Chapter 13 | Verse 32] Although it is the smallest of all seeds, yet it grows into the largest of garden plants and becomes a tree, so that the birds of the air come and nest in its branches.”
[BSB | EN | NT | Matthew | Chapter 13 | Verse 33] He told them still another parable: “The kingdom of heaven is like leaven that a woman took and mixed into three measures of flour, until all of it was leavened.”
[BSB | EN | NT | Matthew | Chapter 13 | Verse 34] Jesus spoke all these things to the crowds in parables. He did not tell them anything without using a parable.
[BSB | EN | NT | Matthew | Chapter 13 | Verse 35] So was fulfilled what was spoken through the prophet: “I will open My mouth in parables; I will utter things hidden since the foundation of the world.”
[BSB | EN | NT | Matthew | Chapter 13 | Verse 36] Then Jesus dismissed the crowds and went into the house. His disciples came to Him and said, “Explain to us the parable of the weeds in the field.”
[BSB | EN | NT | Matthew | Chapter 13 | Verse 37] He replied, “The One who sows the good seed is the Son of Man.
[BSB | EN | NT | Matthew | Chapter 13 | Verse 38] The field is the world, and the good seed represents the sons of the kingdom. The weeds are the sons of the evil one,
[BSB | EN | NT | Matthew | Chapter 13 | Verse 39] and the enemy who sows them is the devil. The harvest is the end of the age, and the harvesters are angels.
[BSB | EN | NT | Matthew | Chapter 13 | Verse 40] As the weeds are collected and burned in the fire, so will it be at the end of the age.
[BSB | EN | NT | Matthew | Chapter 13 | Verse 41] The Son of Man will send out His angels, and they will weed out of His kingdom every cause of sin and all who practice lawlessness.
[BSB | EN | NT | Matthew | Chapter 13 | Verse 42] And they will throw them into the fiery furnace, where there will be weeping and gnashing of teeth.
[BSB | EN | NT | Matthew | Chapter 13 | Verse 43] Then the righteous will shine like the sun in the kingdom of their Father. He who has ears, let him hear.
[BSB | EN | NT | Matthew | Chapter 13 | Verse 44] The kingdom of heaven is like treasure hidden in a field. When a man found it, he hid it again, and in his joy he went and sold all he had and bought that field.
[BSB | EN | NT | Matthew | Chapter 13 | Verse 45] Again, the kingdom of heaven is like a merchant in search of fine pearls.
[BSB | EN | NT | Matthew | Chapter 13 | Verse 46] When he found one very precious pearl, he went away and sold all he had and bought it.
[BSB | EN | NT | Matthew | Chapter 13 | Verse 47] Once again, the kingdom of heaven is like a net that was cast into the sea and caught all kinds of fish.
[BSB | EN | NT | Matthew | Chapter 13 | Verse 48] When it was full, the men pulled it ashore. Then they sat down and sorted the good fish into containers, but threw the bad away.
[BSB | EN | NT | Matthew | Chapter 13 | Verse 49] So will it be at the end of the age: The angels will come and separate the wicked from the righteous,
[BSB | EN | NT | Matthew | Chapter 13 | Verse 50] and throw them into the fiery furnace, where there will be weeping and gnashing of teeth.
[BSB | EN | NT | Matthew | Chapter 13 | Verse 51] Have you understood all these things?” “Yes,” they answered.
[BSB | EN | NT | Matthew | Chapter 13 | Verse 52] Then He told them, “For this reason, every scribe who has been discipled in the kingdom of heaven is like a homeowner who brings out of his storeroom new treasures as well as old.”
[BSB | EN | NT | Matthew | Chapter 13 | Verse 53] When Jesus had finished these parables, He withdrew from that place.
[BSB | EN | NT | Matthew | Chapter 13 | Verse 54] Coming to His hometown, He taught the people in their synagogue, and they were astonished. “Where did this man get such wisdom and miraculous powers?” they asked.
[BSB | EN | NT | Matthew | Chapter 13 | Verse 55] “Isn’t this the carpenter’s son? Isn’t His mother’s name Mary, and aren’t His brothers James, Joseph, Simon, and Judas?
[BSB | EN | NT | Matthew | Chapter 13 | Verse 56] Aren’t all His sisters with us as well? Where then did this man get all these things?”
[BSB | EN | NT | Matthew | Chapter 13 | Verse 57] And they took offense at Him. But Jesus said to them, “Only in his hometown and in his own household is a prophet without honor.”
[BSB | EN | NT | Matthew | Chapter 13 | Verse 58] And He did not do many miracles there, because of their unbelief.
