[OEB | EN | OT | Psalms | Chapter 103 | Verse 1] O my soul, bless the Lord; and all that is in me, his holy name.
[OEB | EN | OT | Psalms | Chapter 103 | Verse 2] O my soul, bless the Lord; and forget not one of his benefits.
[OEB | EN | OT | Psalms | Chapter 103 | Verse 3] He pardons all your sins, he heals all your diseases.
[OEB | EN | OT | Psalms | Chapter 103 | Verse 4] He ransoms your life from the pit, he crowns you with kindness and pity.
[OEB | EN | OT | Psalms | Chapter 103 | Verse 5] He gives you your heart’s desire, renewing your youth like the eagle’s.
[OEB | EN | OT | Psalms | Chapter 103 | Verse 6] The Lord executes justice – and right for all who are wronged.
[OEB | EN | OT | Psalms | Chapter 103 | Verse 7] He revealed his ways to Moses, his acts to the children of Israel.
[OEB | EN | OT | Psalms | Chapter 103 | Verse 8] Full of pity and grace is the Lord, patient, and rich in kindness:
[OEB | EN | OT | Psalms | Chapter 103 | Verse 9] he will not always chide, nor cherish his anger forever.
[OEB | EN | OT | Psalms | Chapter 103 | Verse 10] Not after our sins has he dealt with us, nor requited us after our wickedness.
[OEB | EN | OT | Psalms | Chapter 103 | Verse 11] For high as the heavens o’er the earth is his love over those who fear him.
[OEB | EN | OT | Psalms | Chapter 103 | Verse 12] Far as is east from the west has he put our transgressions from us.
[OEB | EN | OT | Psalms | Chapter 103 | Verse 13] As a father pities his children, so the Lord pities those who fear him;
[OEB | EN | OT | Psalms | Chapter 103 | Verse 14] for well he knows our frame, he remembers that we are dust.
[OEB | EN | OT | Psalms | Chapter 103 | Verse 15] A person’s days are as grass; blossoms like a flower of the meadow.
[OEB | EN | OT | Psalms | Chapter 103 | Verse 16] At the breath of the wind it is gone, and the place thereof knows it no more.
[OEB | EN | OT | Psalms | Chapter 103 | Verse 17] But the love of the Lord is eternal, and his kindness to children’s children,
[OEB | EN | OT | Psalms | Chapter 103 | Verse 18] to those who keep his covenant and mindfully do his behests.
[OEB | EN | OT | Psalms | Chapter 103 | Verse 19] The Lord has set his throne in the heavens; the whole world is under his sway.
[OEB | EN | OT | Psalms | Chapter 103 | Verse 20] Bless the Lord, you angels of his, mighty heroes performing his word.
[OEB | EN | OT | Psalms | Chapter 103 | Verse 21] Bless the Lord, all you his hosts, you servants who do his will.
[OEB | EN | OT | Psalms | Chapter 103 | Verse 22] Bless the Lord, all you his works, far as his sway extends. O my soul, bless the Lord.
