[OEB | EN | OT | Psalms | Chapter 72 | Verse 1] Give the king, O God, your own spirit of justice your spirit of right to the son of the king,
[OEB | EN | OT | Psalms | Chapter 72 | Verse 2] that with right he may judge your people, and your downtrodden ones with justice.
[OEB | EN | OT | Psalms | Chapter 72 | Verse 3] May the mountains bear weal for the people, and the hills yield fruits of justice.
[OEB | EN | OT | Psalms | Chapter 72 | Verse 4] The weak may he help to their rights, may he save the sons of the needy and crush the oppressor in pieces.
[OEB | EN | OT | Psalms | Chapter 72 | Verse 5] May he live as long as the sun, while the moon shines – for ages and ages.
[OEB | EN | OT | Psalms | Chapter 72 | Verse 6] May he be like the rain on the meadow, like showers that water the earth.
[OEB | EN | OT | Psalms | Chapter 72 | Verse 7] In his days may justice flourish, and welfare abound, till the moon be no more.
[OEB | EN | OT | Psalms | Chapter 72 | Verse 8] May he reign from ocean to ocean, from the river to the ends of the earth.
[OEB | EN | OT | Psalms | Chapter 72 | Verse 9] May his foes bow down before him, his enemies lick the dust.
[OEB | EN | OT | Psalms | Chapter 72 | Verse 10] May tribute be rendered by kings of the isles and of Tarshish; may gifts be brought by the kings of Sheba and Seba.
[OEB | EN | OT | Psalms | Chapter 72 | Verse 11] May all kings fall prostrate before him, and all nations yield him their service.
[OEB | EN | OT | Psalms | Chapter 72 | Verse 12] For he saves the poor when he cries, the helpless and the downtrodden.
[OEB | EN | OT | Psalms | Chapter 72 | Verse 13] He pities the weak and the poor, he saves the lives of the poor.
[OEB | EN | OT | Psalms | Chapter 72 | Verse 14] He redeems them from wrong and from violence, for dear is their blood in his sight.
[OEB | EN | OT | Psalms | Chapter 72 | Verse 15] Long may he live; and may gold of Sheba be given him; prayer, too, be made for him ceaselessly, all the day long may men bless him.
[OEB | EN | OT | Psalms | Chapter 72 | Verse 16] May the land have abundance of corn, to the tops of the hills may it wave. May the fruit thereof flourish like Lebanon, may men spring from the city like grass of the earth.
[OEB | EN | OT | Psalms | Chapter 72 | Verse 17] May his name be blessed forever, may his fame endure as the sun. May all nations envy his blessedness, all tribes of the earth call him happy.
[OEB | EN | OT | Psalms | Chapter 72 | Verse 18] Blest be the Lord God, Israel’s God, who alone does wonders;
[OEB | EN | OT | Psalms | Chapter 72 | Verse 19] And blest be forever his glorious name. Let all the earth be filled with his glory. Amen and Amen.
[OEB | EN | OT | Psalms | Chapter 72 | Verse 20] Here end the prayers of David, son of Jesse.
