[OEB | EN | OT | Psalms | Chapter 35 | Verse 1] Contend, Lord, with those who contend with me, do battle with those who do battle with me.
[OEB | EN | OT | Psalms | Chapter 35 | Verse 2] Grasp shield and buckler, and rise up as my help.
[OEB | EN | OT | Psalms | Chapter 35 | Verse 3] Draw spear and battle-axe, confront those who pursue me. Assure me that you will help me.
[OEB | EN | OT | Psalms | Chapter 35 | Verse 4] Dishonour and shame be on those who are seeking my life! Defeat and confusion on those who are planning my hurt!
[OEB | EN | OT | Psalms | Chapter 35 | Verse 5] As chaff before wind may they be, with the Lord’s angel pursuing them.
[OEB | EN | OT | Psalms | Chapter 35 | Verse 6] Slippery and dark be their way, with his angel thrusting them on.
[OEB | EN | OT | Psalms | Chapter 35 | Verse 7] For they wantonly hid their net for me, and dug a pit to destroy me.
[OEB | EN | OT | Psalms | Chapter 35 | Verse 8] Upon them may ruin come unawares; may the net which they hid catch themselves, and into the pit may they fall.
[OEB | EN | OT | Psalms | Chapter 35 | Verse 9] Then I will exult in the Lord, and be joyful because of his help;
[OEB | EN | OT | Psalms | Chapter 35 | Verse 10] and all my being will say, ‘Who, O Lord, is like you, who save the helpless from those too strong for them, the poor and the helpless from those who despoil them?’
[OEB | EN | OT | Psalms | Chapter 35 | Verse 11] Violent witnesses rise, and ask of me things that I know not.
[OEB | EN | OT | Psalms | Chapter 35 | Verse 12] Evil for good they requite me, leaving me inwardly comfortless.
[OEB | EN | OT | Psalms | Chapter 35 | Verse 13] But when they were sick, I put on sackcloth, and chastened myself with fasting. I prayed with head bowed low,
[OEB | EN | OT | Psalms | Chapter 35 | Verse 14] as if for my friend or my brother. I went about bowed and in mourning, as one who laments his mother.
[OEB | EN | OT | Psalms | Chapter 35 | Verse 15] When I stumbled, they gleefully gathered, strangers gathered around me, and tore at me without ceasing,
[OEB | EN | OT | Psalms | Chapter 35 | Verse 16] impiously mocking and mocking, bearing their teeth at me.
[OEB | EN | OT | Psalms | Chapter 35 | Verse 17] How long, Lord, will you look on? Rescue me from their roaring, my precious life from the lions.
[OEB | EN | OT | Psalms | Chapter 35 | Verse 18] I will then give you thanks in the great congregation, and praise you before many people.
[OEB | EN | OT | Psalms | Chapter 35 | Verse 19] Suffer not those to rejoice over me who are falsely my foes, suffer not those who without cause abhor me to wink with the eye.
[OEB | EN | OT | Psalms | Chapter 35 | Verse 20] For it is not peace that they speak of those who are quiet in the land; but treacherous charges they plot.
[OEB | EN | OT | Psalms | Chapter 35 | Verse 21] With wide open mouths they shout, ‘Hurrah! Hurrah! With our own eyes we saw it.’
[OEB | EN | OT | Psalms | Chapter 35 | Verse 22] But you have seen, too, O Lord, keep not silence, O Lord, be not far from me.
[OEB | EN | OT | Psalms | Chapter 35 | Verse 23] Bestir you, awake, for my right my God, my Lord, for my cause.
[OEB | EN | OT | Psalms | Chapter 35 | Verse 24] You are just, Lord: win for me justice, let them not rejoice over me,
[OEB | EN | OT | Psalms | Chapter 35 | Verse 25] inwardly saying, ‘Hurrah! The desire of our hearts at last! Now we have swallowed him up.’
[OEB | EN | OT | Psalms | Chapter 35 | Verse 26] Shame and confusion together on those who rejoice at my hurt! Clothed with shame and dishonour be those who are haughty to me!
[OEB | EN | OT | Psalms | Chapter 35 | Verse 27] Let such as delight in my cause ring out their gladness, and say evermore, ‘Great is the Lord whose delight is the well-being of his servant.’
[OEB | EN | OT | Psalms | Chapter 35 | Verse 28] Then my tongue will tell of your justice, and all the day long of your praise.
