[OEB | EN | OT | Psalms | Chapter 88 | Verse 1] O Lord my God, I cry for help in the day-time, in the night my cry is before you;
[OEB | EN | OT | Psalms | Chapter 88 | Verse 2] let my prayer come into your presence, incline your ear to my cry.
[OEB | EN | OT | Psalms | Chapter 88 | Verse 3] For I am sated with sorrow, my life draws near to Sheol.
[OEB | EN | OT | Psalms | Chapter 88 | Verse 4] I am counted with those who go down to the pit; without strength am I.
[OEB | EN | OT | Psalms | Chapter 88 | Verse 5] My home is among the dead, like the slain that lie in the grave, whom you remember no more cut off as they are from your hand.
[OEB | EN | OT | Psalms | Chapter 88 | Verse 6] In the deepest pit you have put me, in shadows deep and dark.
[OEB | EN | OT | Psalms | Chapter 88 | Verse 7] Your wrath lies heavy upon me, waves of your anger roll over me. Selah
[OEB | EN | OT | Psalms | Chapter 88 | Verse 8] You have put my friends far from me, you have made them shun me. I am shut in, and cannot escape,
[OEB | EN | OT | Psalms | Chapter 88 | Verse 9] my eyes are wasted with sorrow. I call on you, Lord, every day, spreading my hands out to you.
[OEB | EN | OT | Psalms | Chapter 88 | Verse 10] For the dead can you work wonders? Can the shades rise again to praise you? Selah
[OEB | EN | OT | Psalms | Chapter 88 | Verse 11] Can your kindness be told in the grave, your faithfulness in the tomb?
[OEB | EN | OT | Psalms | Chapter 88 | Verse 12] Can your wonders be known in the darkness, or your help in the land of forgetfulness?
[OEB | EN | OT | Psalms | Chapter 88 | Verse 13] I cry for help to you, in the morning my prayer comes before you.
[OEB | EN | OT | Psalms | Chapter 88 | Verse 14] Why, O Lord, do you spurn me, and hide your face from me?
[OEB | EN | OT | Psalms | Chapter 88 | Verse 15] From my youth I am wretched and dying, I am numbed by the terrors I bear.
[OEB | EN | OT | Psalms | Chapter 88 | Verse 16] The fires of your wrath have passed over me, your terrors destroy me,
[OEB | EN | OT | Psalms | Chapter 88 | Verse 17] surging around me forever, hemming me in altogether.
[OEB | EN | OT | Psalms | Chapter 88 | Verse 18] Those who love me you put far from me; the dark is my only friend.
