[OEB | EN | OT | Psalms | Chapter 80 | Verse 1] Listen, Shepherd of Israel, who leads Joseph like a flock of sheep; from your throne on the cherubs shine forth
[OEB | EN | OT | Psalms | Chapter 80 | Verse 2] before Ephraim, Manasseh, and Benjamin. Stir up your mighty power, come to our help.
[OEB | EN | OT | Psalms | Chapter 80 | Verse 3] God, restore us: show us the light of your face, so we may be saved.
[OEB | EN | OT | Psalms | Chapter 80 | Verse 4] O Lord of hosts, how long is your anger to smoke, despite the prayer of your people?
[OEB | EN | OT | Psalms | Chapter 80 | Verse 5] You have fed them with bread of tears, you have made them drink tears by the measure.
[OEB | EN | OT | Psalms | Chapter 80 | Verse 6] The scorn of our neighbours you make us, the laughing-stock of our foes.
[OEB | EN | OT | Psalms | Chapter 80 | Verse 7] God of hosts, restore us: show us the light of your face, so we may be saved.
[OEB | EN | OT | Psalms | Chapter 80 | Verse 8] A vine out of Egypt you brought; you did drive out the nations, and plant her;
[OEB | EN | OT | Psalms | Chapter 80 | Verse 9] in the ground you did clear she struck root, and she filled all the land.
[OEB | EN | OT | Psalms | Chapter 80 | Verse 10] The shade of her covered the mountains, her branches the cedars of God.
[OEB | EN | OT | Psalms | Chapter 80 | Verse 11] She sent forth her shoots to the sea, and her branches as far as the River.
[OEB | EN | OT | Psalms | Chapter 80 | Verse 12] Why have you torn down her fences, and left her to be plucked at by all who pass by,
[OEB | EN | OT | Psalms | Chapter 80 | Verse 13] to be gnawed by the boar from the forest, and devoured by the beasts of the field?
[OEB | EN | OT | Psalms | Chapter 80 | Verse 14] O God of hosts, return: look down from heaven and see and visit this vine, and restore her
[OEB | EN | OT | Psalms | Chapter 80 | Verse 15] the vine which your right hand has planted.
[OEB | EN | OT | Psalms | Chapter 80 | Verse 16] She is burned with fire and cut down before your stern face they are perishing.
[OEB | EN | OT | Psalms | Chapter 80 | Verse 17] Support the one you have chosen, the one you have raised for yourself;
[OEB | EN | OT | Psalms | Chapter 80 | Verse 18] then from you we will never draw back. Preserve us, and we will call on your name.
[OEB | EN | OT | Psalms | Chapter 80 | Verse 19] Lord, God of hosts, restore us: Show us the light of your face, so we may be saved.
