[OEB | EN | OT | Psalms | Chapter 36 | Verse 1] Sin whispers within the heart of the wicked, who have no dread of God before their eyes.
[OEB | EN | OT | Psalms | Chapter 36 | Verse 2] It flatters them in their eyes that their sin will not be found out.
[OEB | EN | OT | Psalms | Chapter 36 | Verse 3] First, their speech becomes wicked and false, they give up acting wisely and well.
[OEB | EN | OT | Psalms | Chapter 36 | Verse 4] Then they plot deliberate wrong, take their stand on the wicked way, without the least shrinking from evil.
[OEB | EN | OT | Psalms | Chapter 36 | Verse 5] Your love, O Lord, touches the heavens, your faithfulness reaches the clouds.
[OEB | EN | OT | Psalms | Chapter 36 | Verse 6] Your justice is like the great mountains, your judgments are like the broad sea. Lord, you save people and animals.
[OEB | EN | OT | Psalms | Chapter 36 | Verse 7] How precious your love, O God! All may seek shelter in the shadow of your wings.
[OEB | EN | OT | Psalms | Chapter 36 | Verse 8] They feast on the fat of your house, they drink of your brook of delights.
[OEB | EN | OT | Psalms | Chapter 36 | Verse 9] For with you is the fountain of life, in the light that is yours we see light.
[OEB | EN | OT | Psalms | Chapter 36 | Verse 10] O continue your grace to the faithful, your love to the upright in heart.
[OEB | EN | OT | Psalms | Chapter 36 | Verse 11] Let no arrogant foot tread upon me, no wicked hand drive me to exile.
[OEB | EN | OT | Psalms | Chapter 36 | Verse 12] There the workers of wrong lie prostrate, thrust down to rise up no more.
