[OEB | EN | OT | Psalms | Chapter 7 | Verse 1] Lord my God, I take refuge in you. Deliver me, save me from all who pursue me;
[OEB | EN | OT | Psalms | Chapter 7 | Verse 2] or like lions they will tear me to pieces, and rend me, past hope of rescue.
[OEB | EN | OT | Psalms | Chapter 7 | Verse 3] Lord, my God, if my life has been such if my hands have been stained with guilt,
[OEB | EN | OT | Psalms | Chapter 7 | Verse 4] if friends I paid back with evil, if I plundered my foes without cause,
[OEB | EN | OT | Psalms | Chapter 7 | Verse 5] may the enemy chase and find me, trample my life to the ground, my honour leave in the dirt! Selah
[OEB | EN | OT | Psalms | Chapter 7 | Verse 6] Arise, Lord, in anger, against my foes rise in fury. Awake for my help: let justice be done.
[OEB | EN | OT | Psalms | Chapter 7 | Verse 7] Gather the nations about you, and sit on your lofty throne,
[OEB | EN | OT | Psalms | Chapter 7 | Verse 8] as the Lord, the judge of the peoples. Judge me, Lord, in my innocence and according to my integrity.
[OEB | EN | OT | Psalms | Chapter 7 | Verse 9] Put an end to the wrong of the wicked, protect the righteous. Searcher of hearts and minds, righteous God.
[OEB | EN | OT | Psalms | Chapter 7 | Verse 10] God is my shield: he saves the upright in heart.
[OEB | EN | OT | Psalms | Chapter 7 | Verse 11] God is a just judge, constant in righteous anger.
[OEB | EN | OT | Psalms | Chapter 7 | Verse 12] He will sharpen his sword without fail, his bow is bent and ready,
[OEB | EN | OT | Psalms | Chapter 7 | Verse 13] his deadly weapons are ready, his arrows he makes of flame.
[OEB | EN | OT | Psalms | Chapter 7 | Verse 14] The enemy who conceives evil; pregnant with mischief, giving birth to lies,
[OEB | EN | OT | Psalms | Chapter 7 | Verse 15] a pit they have made and dug; but into the hole that they made they will fall.
[OEB | EN | OT | Psalms | Chapter 7 | Verse 16] On their own heads their mischief comes back; on their own skulls their violence comes down.
[OEB | EN | OT | Psalms | Chapter 7 | Verse 17] I will give thanks to the Lord for his justice, and sing to the name of the Lord Most High.
