[OEB | EN | OT | Psalms | Chapter 108 | Verse 1] My heart is steadfast, O God, my heart is steadfast. I would sing, I would make music; awake, my soul.
[OEB | EN | OT | Psalms | Chapter 108 | Verse 2] Awake, harp and lyre; I would wake the dawn.
[OEB | EN | OT | Psalms | Chapter 108 | Verse 3] I would praise you among the peoples, O Lord; make music among the nations to you.
[OEB | EN | OT | Psalms | Chapter 108 | Verse 4] For great to heaven is your love, and your faithfulness to the clouds.
[OEB | EN | OT | Psalms | Chapter 108 | Verse 5] Be exalted, O God, o’er the heavens, and your glory o’er all the earth.
[OEB | EN | OT | Psalms | Chapter 108 | Verse 6] So those you love may be rescued, save by your right hand and answer us.
[OEB | EN | OT | Psalms | Chapter 108 | Verse 7] God did solemnly swear: ‘As victor will I divide Shechem, portion out the valley of Succoth.
[OEB | EN | OT | Psalms | Chapter 108 | Verse 8] Mine is Gilead, mine is Manasseh, Ephraim is my helmet, Judah my sceptre of rule,
[OEB | EN | OT | Psalms | Chapter 108 | Verse 9] Moab the pot that I wash in, on Edom I hurl my sandal, I shout o’er Philistia in triumph.’
[OEB | EN | OT | Psalms | Chapter 108 | Verse 10] O to be brought to the fortified city! O to be led into Edom!
[OEB | EN | OT | Psalms | Chapter 108 | Verse 11] Have you not spurned us, O God? You do not march forth with our armies.
[OEB | EN | OT | Psalms | Chapter 108 | Verse 12] Grant us help from the foe, for human help is worthless.
[OEB | EN | OT | Psalms | Chapter 108 | Verse 13] With God we shall yet do bravely, he himself will tread down our foes.
