[OEB | EN | OT | Psalms | Chapter 27 | Verse 1] The Lord is my light and my saviour; whom then should I fear? The Lord protects my life; whom then should I dread?
[OEB | EN | OT | Psalms | Chapter 27 | Verse 2] When the wicked drew near to assail me and eat up my flesh, it was those who distressed and opposed me who stumbled and fell.
[OEB | EN | OT | Psalms | Chapter 27 | Verse 3] Though against me a host should encamp, yet my heart would be fearless: though battle should rise up against me, still would I be trustful.
[OEB | EN | OT | Psalms | Chapter 27 | Verse 4] One thing have I asked of the Lord, and that do I long for – To live in the house of the Lord all the days of my life, to gaze on the grace of the Lord and inquire in his temple.
[OEB | EN | OT | Psalms | Chapter 27 | Verse 5] For he will hide me in his shelter in the day of misfortune. In his sheltering tent he hides me: he lifts me up on a rock.
[OEB | EN | OT | Psalms | Chapter 27 | Verse 6] And now that my head he has lifted above my encircling foes, I will march round the altar and sacrifice, shouting with joy, in his tent, making music and song to the Lord.
[OEB | EN | OT | Psalms | Chapter 27 | Verse 7] Hear, O Lord, my loud cry, and graciously answer me.
[OEB | EN | OT | Psalms | Chapter 27 | Verse 8] My heart has said to you, ‘Your face, O Lord, I seek.’
[OEB | EN | OT | Psalms | Chapter 27 | Verse 9] Hide not your face from me, reject not your servant in anger: for you have been my help. Abandon me not, nor forsake me, O God of my help:
[OEB | EN | OT | Psalms | Chapter 27 | Verse 10] for father and mother have left me; but the Lord will take me up.
[OEB | EN | OT | Psalms | Chapter 27 | Verse 11] Teach me your way, O Lord: lead me in an even path, because of my enemies.
[OEB | EN | OT | Psalms | Chapter 27 | Verse 12] Give me not up, O Lord, unto the rage of my foes; for against me have risen false witnesses, breathing out cruelty.
[OEB | EN | OT | Psalms | Chapter 27 | Verse 13] Firm is the faith I cherish, that I, in the land of the living, will yet see the goodness of God.
[OEB | EN | OT | Psalms | Chapter 27 | Verse 14] Let your heart be courageous and strong, and wait on the Lord.
