[OEB | EN | OT | Psalms | Chapter 50 | Verse 1] The Lord God has spoken: He summons the earth from sunrise to sunset.
[OEB | EN | OT | Psalms | Chapter 50 | Verse 2] From Zion, perfection of beauty, God’s glory shines forth.
[OEB | EN | OT | Psalms | Chapter 50 | Verse 3] Our God comes, he cannot keep silence, devouring fire is before him, and furious tempest around him.
[OEB | EN | OT | Psalms | Chapter 50 | Verse 4] He summons the heavens above and the earth to judge his people.
[OEB | EN | OT | Psalms | Chapter 50 | Verse 5] Gather to him his saints by covenant-sacrifice bound to him;
[OEB | EN | OT | Psalms | Chapter 50 | Verse 6] that the heavens may declare his justice, for a God of justice is he. Selah
[OEB | EN | OT | Psalms | Chapter 50 | Verse 7] ‘Hear, O my people, and I will speak, and protest to you, O Israel: I am the Lord, your God.
[OEB | EN | OT | Psalms | Chapter 50 | Verse 8] Not for your sacrifices will I reprove you your burnt-offerings are ever before me
[OEB | EN | OT | Psalms | Chapter 50 | Verse 9] Not a bullock will I take from your house, nor male goats out of your folds;
[OEB | EN | OT | Psalms | Chapter 50 | Verse 10] for all beasts of the forest are mine, and the kine on a thousand hills.
[OEB | EN | OT | Psalms | Chapter 50 | Verse 11] I know all the birds of the air, all that moves on the fields is mine.
[OEB | EN | OT | Psalms | Chapter 50 | Verse 12] Were I hungry, I would not tell you, for the world and its fulness are mine.
[OEB | EN | OT | Psalms | Chapter 50 | Verse 13] Am I such as to eat bulls’ flesh, or drink the blood of goats?
[OEB | EN | OT | Psalms | Chapter 50 | Verse 14] Offer to God a thank-offering, pay the Most High your vows.
[OEB | EN | OT | Psalms | Chapter 50 | Verse 15] Summon me in the day of distress, I will rescue you, so will you honour me.’
[OEB | EN | OT | Psalms | Chapter 50 | Verse 16] But to the wicked God says: ‘What right have you to talk of my statutes, or take my covenant into your mouth
[OEB | EN | OT | Psalms | Chapter 50 | Verse 17] while you yourself hate correction, and cast my words behind you?
[OEB | EN | OT | Psalms | Chapter 50 | Verse 18] When you see a thief, you run with them; with adulterers you keep company.
[OEB | EN | OT | Psalms | Chapter 50 | Verse 19] You let your mouth loose for evil, your tongue contrives deceit.
[OEB | EN | OT | Psalms | Chapter 50 | Verse 20] You shamefully speak of your kin, and slander your own mother’s son.
[OEB | EN | OT | Psalms | Chapter 50 | Verse 21] And because I kept silence at this, you did take me for one like yourself. But I will convict you and show you plainly.
[OEB | EN | OT | Psalms | Chapter 50 | Verse 22] ‘Now you who forget God, mark this, lest I rend you, past hope of deliverance.
[OEB | EN | OT | Psalms | Chapter 50 | Verse 23] Those who bring a thank-offering honour me; but to those: who follows my way, I will show the salvation of God.’
