[OEB | EN | OT | Psalms | Chapter 57 | Verse 1] Be gracious, O God, be gracious to me, for in you I take shelter. In your sheltering wings I take refuge, till ruin be over past.
[OEB | EN | OT | Psalms | Chapter 57 | Verse 2] I cry to the Most High God, to the God who accomplishes for me.
[OEB | EN | OT | Psalms | Chapter 57 | Verse 3] He will send me his succour from heaven, he will thrust away those who would trample me. Selah
[OEB | EN | OT | Psalms | Chapter 57 | Verse 4] In the midst of lions I lie, who devour human prey. Their teeth are spears and arrows, and their tongue is a sharpened sword.
[OEB | EN | OT | Psalms | Chapter 57 | Verse 5] Be exalted, God, o’er the heavens, and your glory o’er all the earth.
[OEB | EN | OT | Psalms | Chapter 57 | Verse 6] They set a net for my feet, but in it was their own foot caught. Before me they dug a pit, but they fell into it themselves. Selah
[OEB | EN | OT | Psalms | Chapter 57 | Verse 7] My heart is steadfast, O God, my heart is steadfast. I would sing, I would make music;
[OEB | EN | OT | Psalms | Chapter 57 | Verse 8] awake, my soul. Awake, harp and lyre; I would wake the dawn.
[OEB | EN | OT | Psalms | Chapter 57 | Verse 9] I would praise you among the peoples, O Lord, and make music among the nations to you;
[OEB | EN | OT | Psalms | Chapter 57 | Verse 10] for great to heaven is your love, and your faithfulness to the clouds.
[OEB | EN | OT | Psalms | Chapter 57 | Verse 11] Be exalted, God, o’er the heavens, and your glory o’er all the earth.
