[OEB | EN | OT | Psalms | Chapter 69 | Verse 1] Save me, O God; for the waters are threatening my life.
[OEB | EN | OT | Psalms | Chapter 69 | Verse 2] I am sunk in depths of mire, where ground there is none. I am come into deep deep waters, the flood overwhelms me.
[OEB | EN | OT | Psalms | Chapter 69 | Verse 3] I am weary of crying, my throat is parched, my eyes are wasted with waiting for God.
[OEB | EN | OT | Psalms | Chapter 69 | Verse 4] More than the hairs of my head are those who wantonly hate me. More than my bones in number are those who are falsely my foes. That which I never robbed, how am I then to restore?
[OEB | EN | OT | Psalms | Chapter 69 | Verse 5] O God, you know my folly, my guilt is not hidden from you.
[OEB | EN | OT | Psalms | Chapter 69 | Verse 6] Through me let not any be shamed, who wait for you, Lord God of hosts. Through me let not those be confounded who seek you, O God of Israel.
[OEB | EN | OT | Psalms | Chapter 69 | Verse 7] It’s in your cause that I have borne taunts, and my face has been covered with shame;
[OEB | EN | OT | Psalms | Chapter 69 | Verse 8] I became to my kindred a foreigner, to my mother’s sons a stranger.
[OEB | EN | OT | Psalms | Chapter 69 | Verse 9] It was zeal for your house that consumed me, and the insults they hurled at you fell upon me.
[OEB | EN | OT | Psalms | Chapter 69 | Verse 10] When I chastened myself with fasting, they took occasion to taunt me.
[OEB | EN | OT | Psalms | Chapter 69 | Verse 11] When I put on a garment of sackcloth, they made me the theme of a taunt-song.
[OEB | EN | OT | Psalms | Chapter 69 | Verse 12] Those who sit in the gate make sport of me in the music of drunken songs.
[OEB | EN | OT | Psalms | Chapter 69 | Verse 13] But I pray to you, Lord, for a time of favour. In your great love answer me; with your loyal help, save me
[OEB | EN | OT | Psalms | Chapter 69 | Verse 14] from sinking down in the mire. Lift me out of the deep deep waters,
[OEB | EN | OT | Psalms | Chapter 69 | Verse 15] that the rushing flood may not drown me, that the deep may not swallow me up, nor the pit close her mouth upon me.
[OEB | EN | OT | Psalms | Chapter 69 | Verse 16] Answer me, Lord, in your gracious kindness, turn to me in your great compassion.
[OEB | EN | OT | Psalms | Chapter 69 | Verse 17] Hide not your face from your servant, for I am in trouble; O answer me speedily.
[OEB | EN | OT | Psalms | Chapter 69 | Verse 18] Draw near to me, redeem me; because of my enemies, ransom me.
[OEB | EN | OT | Psalms | Chapter 69 | Verse 19] You know how I am insulted; in your sight are all my foes.
[OEB | EN | OT | Psalms | Chapter 69 | Verse 20] Insult has broken my heart, past cure are my shame and confusion. For pity I looked – there was none! And for comforters, but I found none.
[OEB | EN | OT | Psalms | Chapter 69 | Verse 21] Poison they gave me for food, and to slake my thirst they gave vinegar.
[OEB | EN | OT | Psalms | Chapter 69 | Verse 22] May their table, outspread, be a trap to them, and their peace-offerings be a snare.
[OEB | EN | OT | Psalms | Chapter 69 | Verse 23] May their eyes be darkened and blind, make them shake without ceasing.
[OEB | EN | OT | Psalms | Chapter 69 | Verse 24] Pour your indignation upon them, let your burning wrath overtake them.
[OEB | EN | OT | Psalms | Chapter 69 | Verse 25] May their camp be a desolation, in their tents be there none to live.
[OEB | EN | OT | Psalms | Chapter 69 | Verse 26] For those whom you struck, they persecute, and those whom you wounded, they pain yet more.
[OEB | EN | OT | Psalms | Chapter 69 | Verse 27] Charge them with sin upon sin, may they not be acquitted by you.
[OEB | EN | OT | Psalms | Chapter 69 | Verse 28] From the book of life be they blotted, may their names not be written with the righteous.
[OEB | EN | OT | Psalms | Chapter 69 | Verse 29] Lift me, O God, by your help above my pain and misery.
[OEB | EN | OT | Psalms | Chapter 69 | Verse 30] Then will I praise God in song and magnify him with thanksgiving,
[OEB | EN | OT | Psalms | Chapter 69 | Verse 31] which shall please the Lord better than ox, or than bullock with horns and hoofs.
[OEB | EN | OT | Psalms | Chapter 69 | Verse 32] The oppressed shall rejoice at the sight. You who seek after God, let your heart revive.
[OEB | EN | OT | Psalms | Chapter 69 | Verse 33] For the Lord listens to the poor, he does not despise his prisoners.
[OEB | EN | OT | Psalms | Chapter 69 | Verse 34] Let the heavens and the earth sing his praises, the seas, and all creatures that move in them.
[OEB | EN | OT | Psalms | Chapter 69 | Verse 35] For God will bring help to Zion, and build up the cities of Judah, his people shall live there in possession.
[OEB | EN | OT | Psalms | Chapter 69 | Verse 36] His servants’ children shall have it for heritage, and those who love him shall live therein.
