[OEB | EN | OT | Psalms | Chapter 116 | Verse 1] I love the Lord, for he hears my voice, my pleas for mercy.
[OEB | EN | OT | Psalms | Chapter 116 | Verse 2] For he has inclined his ear to me: I will call upon him as long as I live.
[OEB | EN | OT | Psalms | Chapter 116 | Verse 3] About me were snares of death, the anguish of Sheol was upon me: distress and sorrow were mine.
[OEB | EN | OT | Psalms | Chapter 116 | Verse 4] Then I called on the name of the Lord: ‘I beseech you, O Lord, deliver me.’
[OEB | EN | OT | Psalms | Chapter 116 | Verse 5] Gracious and just is the Lord, compassionate is our God.
[OEB | EN | OT | Psalms | Chapter 116 | Verse 6] The Lord preserves the simple; when I was drooping, he saved me.
[OEB | EN | OT | Psalms | Chapter 116 | Verse 7] Be at peace, my heart, once more, for the Lord has been good to you.
[OEB | EN | OT | Psalms | Chapter 116 | Verse 8] You have rescued me from death, my eyes from tears, my feet from stumbling.
[OEB | EN | OT | Psalms | Chapter 116 | Verse 9] Before the Lord I will walk in the land of the living.
[OEB | EN | OT | Psalms | Chapter 116 | Verse 10] I held fast my faith, though I said, ‘Ah me! I am sore afflicted,’
[OEB | EN | OT | Psalms | Chapter 116 | Verse 11] though in my alarm I said, ‘Everyone is a liar.’
[OEB | EN | OT | Psalms | Chapter 116 | Verse 12] What shall I render the Lord for all his bounty to me?
[OEB | EN | OT | Psalms | Chapter 116 | Verse 13] I will lift up the cup of salvation, and call on the name of the Lord.
[OEB | EN | OT | Psalms | Chapter 116 | Verse 14] I will pay my vows to the Lord in the presence of all his people.
[OEB | EN | OT | Psalms | Chapter 116 | Verse 15] Grave in the eyes of the Lord is the death of his loyal and loved ones.
[OEB | EN | OT | Psalms | Chapter 116 | Verse 16] Ah, Lord! I am your servant, your servant, child of your handmaid. You have loosened my bonds.
[OEB | EN | OT | Psalms | Chapter 116 | Verse 17] I will offer to you a thank-offering, and call on the name of the Lord.
[OEB | EN | OT | Psalms | Chapter 116 | Verse 18] I will pay my vows to the Lord in the presence of all his people,
[OEB | EN | OT | Psalms | Chapter 116 | Verse 19] in the courts of the house of the Lord, in the midst of you, O Jerusalem. Hallelujah.
