[OEB | EN | OT | Psalms | Chapter 95 | Verse 1] Come! Let us ring out our joy to the Lord, let us merrily shout to our rock of salvation.
[OEB | EN | OT | Psalms | Chapter 95 | Verse 2] Before his face let us come with thanks, with songs of praise let us shout to him.
[OEB | EN | OT | Psalms | Chapter 95 | Verse 3] For the Lord is a great God, king above all gods.
[OEB | EN | OT | Psalms | Chapter 95 | Verse 4] In his hand are the depths of the earth, the heights of the mountains are his.
[OEB | EN | OT | Psalms | Chapter 95 | Verse 5] The sea is his, for he made it: the dry land was formed by his hands.
[OEB | EN | OT | Psalms | Chapter 95 | Verse 6] Come! Let us worship and bow on our knees to the Lord our creator.
[OEB | EN | OT | Psalms | Chapter 95 | Verse 7] For he is our God; and we are the people he tends, the sheep in his care. If only you would heed his voice today:
[OEB | EN | OT | Psalms | Chapter 95 | Verse 8] ‘Do not harden your hearts as at Meribah, or at Massah, that day in the desert,
[OEB | EN | OT | Psalms | Chapter 95 | Verse 9] when your ancestors tempted and tried me, though they had seen my deeds.
[OEB | EN | OT | Psalms | Chapter 95 | Verse 10] ‘For forty years I was filled with loathing for that generation, so I said: “A people with wandering hearts are they, and ignorant of my ways.”
[OEB | EN | OT | Psalms | Chapter 95 | Verse 11] So I solemnly swore to them in my anger, that never would they enter my place of rest.’
