[OEB | EN | OT | Psalms | Chapter 49 | Verse 1] Hear this, you peoples all; attend, all you who live in the world
[OEB | EN | OT | Psalms | Chapter 49 | Verse 2] people of low degree and high, the rich and the poor together.
[OEB | EN | OT | Psalms | Chapter 49 | Verse 3] My mouth shall utter wisdom, the thoughts of a seeing heart.
[OEB | EN | OT | Psalms | Chapter 49 | Verse 4] I incline my ear to a proverb, on the lyre I will open my riddle.
[OEB | EN | OT | Psalms | Chapter 49 | Verse 5] Why should I be afraid in the days of misfortune, when circled by wicked and cunning foes,
[OEB | EN | OT | Psalms | Chapter 49 | Verse 6] who put their trust in their wealth, and boast of their boundless riches?
[OEB | EN | OT | Psalms | Chapter 49 | Verse 7] For assuredly no one can ransom themselves, or give to God the price of their life,
[OEB | EN | OT | Psalms | Chapter 49 | Verse 8] for the ransom of a life is costly, no payment is ever enough,
[OEB | EN | OT | Psalms | Chapter 49 | Verse 9] to keep them alive for ever and ever, so as never to see the pit at all.
[OEB | EN | OT | Psalms | Chapter 49 | Verse 10] But see it they will. Even wise people die, the fool and the brutish perish alike, and abandon their wealth to others.
[OEB | EN | OT | Psalms | Chapter 49 | Verse 11] The grave is their everlasting home, the place they shall live in for ever and ever, though after their own names they called whole lands.
[OEB | EN | OT | Psalms | Chapter 49 | Verse 12] Despite their wealth, they perish like dumb animals.
[OEB | EN | OT | Psalms | Chapter 49 | Verse 13] This is the fate of the confident fool, and the end of those who are pleased with their portion. Selah
[OEB | EN | OT | Psalms | Chapter 49 | Verse 14] Like sheep they descend to Sheol with Death for their shepherd; down they go straight to the grave, and their form wastes away in their home below.
[OEB | EN | OT | Psalms | Chapter 49 | Verse 15] But God will assuredly ransom my life from the hand of Sheol; for he will receive me. Selah
[OEB | EN | OT | Psalms | Chapter 49 | Verse 16] So be not afraid when someone grows rich, when the wealth of their house increases.
[OEB | EN | OT | Psalms | Chapter 49 | Verse 17] Not a shred of it all can they take when they die, wealth cannot follow them down.
[OEB | EN | OT | Psalms | Chapter 49 | Verse 18] Though they count themselves happy, when they are alive, and win praise from many for faring so well,
[OEB | EN | OT | Psalms | Chapter 49 | Verse 19] they must join their ancestors, who see the light nevermore.
[OEB | EN | OT | Psalms | Chapter 49 | Verse 20] The wealthy are without understanding, they perish like dumb animals.
