[OEB | EN | OT | Psalms | Chapter 90 | Verse 1] Lord, you have been a home to us one generation after another.
[OEB | EN | OT | Psalms | Chapter 90 | Verse 2] Before the mountains were born, or the earth and the world were brought forth, from everlasting to everlasting you are God.
[OEB | EN | OT | Psalms | Chapter 90 | Verse 3] You bring us back to the dust, you summon mortals to return.
[OEB | EN | OT | Psalms | Chapter 90 | Verse 4] For you see a thousand years as the passing of yesterday, as a watch in the night.
[OEB | EN | OT | Psalms | Chapter 90 | Verse 5] Your floods sweep them away; they are like a dream, or like grass which sprouts in the morning,
[OEB | EN | OT | Psalms | Chapter 90 | Verse 6] which blossoms and sprouts in the morning, but by evening is cut and withered.
[OEB | EN | OT | Psalms | Chapter 90 | Verse 7] For your anger consumes us, the heat of your wrath confounds us.
[OEB | EN | OT | Psalms | Chapter 90 | Verse 8] Our sins you have set before you, our secrets in the light of your face.
[OEB | EN | OT | Psalms | Chapter 90 | Verse 9] For through your wrath our days are declining, we bring our years to an end as a sigh.
[OEB | EN | OT | Psalms | Chapter 90 | Verse 10] The span of our life is seventy years, or, if we are strong, maybe eighty; yet is their breadth but empty toil, for swiftly they go, and we fly away.
[OEB | EN | OT | Psalms | Chapter 90 | Verse 11] Who lays to heart the power of your anger? Or who stands in reverent awe of your wrath?
[OEB | EN | OT | Psalms | Chapter 90 | Verse 12] O teach us to count our days so our minds may learn wisdom.
[OEB | EN | OT | Psalms | Chapter 90 | Verse 13] Return, O Lord; why so long? Relent on your servants.
[OEB | EN | OT | Psalms | Chapter 90 | Verse 14] Grant us your love to the full in the morning, that all our days we may shout for joy.
[OEB | EN | OT | Psalms | Chapter 90 | Verse 15] Make us glad for the days you have humbled us, for the evil years we have seen.
[OEB | EN | OT | Psalms | Chapter 90 | Verse 16] Let your servants see you in action, show your majesty to their children.
[OEB | EN | OT | Psalms | Chapter 90 | Verse 17] Let the grace of the Lord our God be upon us, uphold what our hands are striving to do.
