[OEB | EN | OT | Psalms | Chapter 147 | Verse 1] Hallelujah. It is good to sing praise to our God, for praise is sweet and seemly.
[OEB | EN | OT | Psalms | Chapter 147 | Verse 2] The Lord builds up Jerusalem, the outcasts of Israel he gathers.
[OEB | EN | OT | Psalms | Chapter 147 | Verse 3] He heals the broken in heart, and binds up their wounds.
[OEB | EN | OT | Psalms | Chapter 147 | Verse 4] He counts the numberless stars, he gives names to them all.
[OEB | EN | OT | Psalms | Chapter 147 | Verse 5] Great is our Lord, rich in power, and measureless is his wisdom.
[OEB | EN | OT | Psalms | Chapter 147 | Verse 6] The Lord lifts up the down-trodden, the wicked he brings to the ground.
[OEB | EN | OT | Psalms | Chapter 147 | Verse 7] Sing songs of thanks to the Lord, and play on the lyre to our God.
[OEB | EN | OT | Psalms | Chapter 147 | Verse 8] For he covers the sky with clouds, he prepares rain for the earth, makes grass to grow on the mountains.
[OEB | EN | OT | Psalms | Chapter 147 | Verse 9] He gives the cattle their food the young ravens when they cry.
[OEB | EN | OT | Psalms | Chapter 147 | Verse 10] His pleasure is not in the strength of the horse, his joy is not in the speed of a runner;
[OEB | EN | OT | Psalms | Chapter 147 | Verse 11] but the Lord has his pleasure in those who fear him, in those who wait for his kindness.
[OEB | EN | OT | Psalms | Chapter 147 | Verse 12] Praise the Lord, then, O Jerusalem: sing praise to your God, O Zion.
[OEB | EN | OT | Psalms | Chapter 147 | Verse 13] For he strengthens the bars of your gates, and blesses your children within you.
[OEB | EN | OT | Psalms | Chapter 147 | Verse 14] He brings peace to your borders, and choicest of wheat in abundance.
[OEB | EN | OT | Psalms | Chapter 147 | Verse 15] He sends his command to the earth: his word runs very swiftly.
[OEB | EN | OT | Psalms | Chapter 147 | Verse 16] Snow he gives like wool, frost he scatters like ashes.
[OEB | EN | OT | Psalms | Chapter 147 | Verse 17] He casts forth his ice like morsels: who can stand before his cold?
[OEB | EN | OT | Psalms | Chapter 147 | Verse 18] He sends forth his word, and melts them: his wind blows the waters flow.
[OEB | EN | OT | Psalms | Chapter 147 | Verse 19] He declares his word to Jacob, his statutes and judgments to Israel.
[OEB | EN | OT | Psalms | Chapter 147 | Verse 20] No other nation did he do this for, they know nothing of his judgments. Hallelujah.
