[OEB | EN | OT | Psalms | Chapter 74 | Verse 1] Why, O God, have you spurned us forever? Why smokes your wrath against the sheep of your pasture?
[OEB | EN | OT | Psalms | Chapter 74 | Verse 2] Remember the community you purchased of old to become by redemption the tribe of your heritage, Zion, the mountain you made your home.
[OEB | EN | OT | Psalms | Chapter 74 | Verse 3] Rouse yourself, visit its ruins complete. In the temple the foe has made havoc of all things.
[OEB | EN | OT | Psalms | Chapter 74 | Verse 4] Like lions your enemies roared through your house, replacing our symbols by signs of their own,
[OEB | EN | OT | Psalms | Chapter 74 | Verse 5] hacking, like woodsmen who lift axes on thickets of trees,
[OEB | EN | OT | Psalms | Chapter 74 | Verse 6] smashing with hatchets and hammers all of its carved work together.
[OEB | EN | OT | Psalms | Chapter 74 | Verse 7] They have set your temple on fire, to the very ground they have outraged the place where lives your name.
[OEB | EN | OT | Psalms | Chapter 74 | Verse 8] They have said in their heart, ‘Let us utterly crush them.’ They have burned all the houses of God in the land.
[OEB | EN | OT | Psalms | Chapter 74 | Verse 9] No symbol of ours do we see any more: no prophet is there any more, none is with us who knows how long.
[OEB | EN | OT | Psalms | Chapter 74 | Verse 10] How long, O God, is the foe to insult? Shall the enemy spurn your name forever?
[OEB | EN | OT | Psalms | Chapter 74 | Verse 11] Why, O Lord, do you hold back your hand, why keep your right hand in the folds of your robe?
[OEB | EN | OT | Psalms | Chapter 74 | Verse 12] Yet God is our king from the ancient days, in the midst of the earth working deeds of salvation.
[OEB | EN | OT | Psalms | Chapter 74 | Verse 13] It was you who did cleave the sea by your might, and shatter the heads of the ocean monsters.
[OEB | EN | OT | Psalms | Chapter 74 | Verse 14] It was you who did crush many-headed Leviathan, and give him as food to the beasts of the wilderness.
[OEB | EN | OT | Psalms | Chapter 74 | Verse 15] It was you who did cleave the fountains and torrents; it was you who did dry the perennial streams.
[OEB | EN | OT | Psalms | Chapter 74 | Verse 16] Yours is the day; yours, too, is the night, it was you who did establish the sun and the star.
[OEB | EN | OT | Psalms | Chapter 74 | Verse 17] It was you who did fix all the borders of earth: summer and winter it’s you who have made them.
[OEB | EN | OT | Psalms | Chapter 74 | Verse 18] Yet, for all this, the foe has insulted you, Lord, and a nation of fools has reviled your name.
[OEB | EN | OT | Psalms | Chapter 74 | Verse 19] Do not give your dove to the beasts, do not forget your afflicted forever.
[OEB | EN | OT | Psalms | Chapter 74 | Verse 20] Look to the sleek ones – how full they are: the dark places of earth are the dwellings of violence.
[OEB | EN | OT | Psalms | Chapter 74 | Verse 21] O let not the downtrodden turn back ashamed: let the poor and the needy sing praise to your name.
[OEB | EN | OT | Psalms | Chapter 74 | Verse 22] Arise, God, and defend your cause: remember how fools all the day insult you.
[OEB | EN | OT | Psalms | Chapter 74 | Verse 23] Do not forget the uproar of your enemies, the din of your foes that ascends evermore.
