[OEB | EN | OT | Psalms | Chapter 56 | Verse 1] O God, be gracious to me, for people trample upon me, all the day righting and pressing me.
[OEB | EN | OT | Psalms | Chapter 56 | Verse 2] All the day enemies trample me; many there be who contend with me bitterly.
[OEB | EN | OT | Psalms | Chapter 56 | Verse 3] In the day of my terror I trust in you.
[OEB | EN | OT | Psalms | Chapter 56 | Verse 4] In God I maintain my cause, in God I fearlessly trust. What can flesh do to me?
[OEB | EN | OT | Psalms | Chapter 56 | Verse 5] They torture me all the day, they ceaselessly plan to hurt me,
[OEB | EN | OT | Psalms | Chapter 56 | Verse 6] banded together in secret, watching my every step, as those who hope for my death.
[OEB | EN | OT | Psalms | Chapter 56 | Verse 7] Pay them out for their sin, O God, hurl down the strong in your anger.
[OEB | EN | OT | Psalms | Chapter 56 | Verse 8] You yourself count my wanderings. Put in your bottle my tears are they not in your book?
[OEB | EN | OT | Psalms | Chapter 56 | Verse 9] Then shall my foes be turned back in the day that I call. Of this I am sure, because God is for me.
[OEB | EN | OT | Psalms | Chapter 56 | Verse 10] In God I maintain my cause, in the Lord I maintain my cause.
[OEB | EN | OT | Psalms | Chapter 56 | Verse 11] In God I fearlessly trust, what can people do to me?
[OEB | EN | OT | Psalms | Chapter 56 | Verse 12] Your vows are upon me, O God, I will render thank-offerings to you;
[OEB | EN | OT | Psalms | Chapter 56 | Verse 13] because you have saved me from death, my feet from stumbling, to the end that I walk before God in the light of the living.
