[OEB | EN | OT | Psalms | Chapter 48 | Verse 1] Great is the Lord and worthy all praise in the city of our God. His holy mountain,
[OEB | EN | OT | Psalms | Chapter 48 | Verse 2] that rises so fair, is the joy of all the world. Like the mount of the gods is Mount Zion, the city of the great king.
[OEB | EN | OT | Psalms | Chapter 48 | Verse 3] Once God made himself known as the defence of her palaces.
[OEB | EN | OT | Psalms | Chapter 48 | Verse 4] For see! A concert of kings passed over the frontier together.
[OEB | EN | OT | Psalms | Chapter 48 | Verse 5] But one glance, and they were astounded; they hastened away in dismay.
[OEB | EN | OT | Psalms | Chapter 48 | Verse 6] Trembling took hold of them there, like the pains of a woman in labour.
[OEB | EN | OT | Psalms | Chapter 48 | Verse 7] They were shattered, as east wind shatters the giant ships in pieces.
[OEB | EN | OT | Psalms | Chapter 48 | Verse 8] What we heard, we now have seen in the city of the Lord of hosts, the city of our God. God will uphold her forever. Selah
[OEB | EN | OT | Psalms | Chapter 48 | Verse 9] We think, O God, of your love, in the midst of your temple.
[OEB | EN | OT | Psalms | Chapter 48 | Verse 10] Your fame, O God, like your name, shall extend to the ends of the earth. Victory fills your hand.
[OEB | EN | OT | Psalms | Chapter 48 | Verse 11] Let mount Zion be glad; let the daughters of Judah rejoice because of your judgments.
[OEB | EN | OT | Psalms | Chapter 48 | Verse 12] Walk about Zion, go round her; count her towers.
[OEB | EN | OT | Psalms | Chapter 48 | Verse 13] Set your mind on her ramparts, consider her palaces; that you tell to the next generation
[OEB | EN | OT | Psalms | Chapter 48 | Verse 14] That such is God, our God he it is who shall guide us for ever and ever.
