[OEB | EN | OT | Psalms | Chapter 63 | Verse 1] O God, my God, you, you do I seek: my heart thirsts for you, my body faints for you in a parched and waterless land.
[OEB | EN | OT | Psalms | Chapter 63 | Verse 2] As I in the temple have seen you, beholding your power and your glory,
[OEB | EN | OT | Psalms | Chapter 63 | Verse 3] for better than life is your kindness: my lips shall utter your praise.
[OEB | EN | OT | Psalms | Chapter 63 | Verse 4] So, while I live, I will bless you, and lift up my hands in your name.
[OEB | EN | OT | Psalms | Chapter 63 | Verse 5] As with marrow and fat am I feasted; with joyful lips I will praise you.
[OEB | EN | OT | Psalms | Chapter 63 | Verse 6] I call you to mind on my bed, and muse on you in the night watches;
[OEB | EN | OT | Psalms | Chapter 63 | Verse 7] for you have been my help, I joyfully sing in the shadow of your wings.
[OEB | EN | OT | Psalms | Chapter 63 | Verse 8] I cling close after you, your right hand holds me up.
[OEB | EN | OT | Psalms | Chapter 63 | Verse 9] But those who seek after my life shall go down to the depths of the earth,
[OEB | EN | OT | Psalms | Chapter 63 | Verse 10] given o’er to the power of the sword, or as prey for jackals to devour.
[OEB | EN | OT | Psalms | Chapter 63 | Verse 11] But the king shall rejoice in God: all who own his allegiance will glory. For the mouth of the false shall be stopped.
