[OEB | EN | OT | Psalms | Chapter 92 | Verse 1] It is good to give thanks to the Lord, to sing praise to your name, O Most High,
[OEB | EN | OT | Psalms | Chapter 92 | Verse 2] to declare your love in the morning, and your faithfulness in the night,
[OEB | EN | OT | Psalms | Chapter 92 | Verse 3] with voice and a ten-stringed harp, with music that throbs on the lyre.
[OEB | EN | OT | Psalms | Chapter 92 | Verse 4] For you make me glad by your deeds, Lord, at the work of your hands I will ring out my joy.
[OEB | EN | OT | Psalms | Chapter 92 | Verse 5] How great are your works, O Lord; how deep are your thoughts!
[OEB | EN | OT | Psalms | Chapter 92 | Verse 6] The insensitive cannot know, nor can a fool understand,
[OEB | EN | OT | Psalms | Chapter 92 | Verse 7] that, though the wicked flourish like grass, and evildoers all blossom, they will perish forever.
[OEB | EN | OT | Psalms | Chapter 92 | Verse 8] But you are exalted forever.
[OEB | EN | OT | Psalms | Chapter 92 | Verse 9] For see! Your enemies, Lord For see! Your enemies perish, all evildoers are scattered.
[OEB | EN | OT | Psalms | Chapter 92 | Verse 10] But you lift me to honour, and anoint me afresh with oil.
[OEB | EN | OT | Psalms | Chapter 92 | Verse 11] My eyes will feast on my foes, and my ears will hear of the doom of the wicked.
[OEB | EN | OT | Psalms | Chapter 92 | Verse 12] The righteous will sprout like the palm, will grow like a cedar of Lebanon.
[OEB | EN | OT | Psalms | Chapter 92 | Verse 13] In the house of the Lord are they planted, in the courts of our God they will sprout.
[OEB | EN | OT | Psalms | Chapter 92 | Verse 14] They will still bear fruit in old age, all sappy and fresh will they be
[OEB | EN | OT | Psalms | Chapter 92 | Verse 15] So they proclaim the Lord to be just, my rock, in whom is no wrong.
