[OEB | EN | OT | Psalms | Chapter 17 | Verse 1] Listen, O Lord, to my innocence; attend to my piercing cry. Give heed to my prayer out of lips unfeigned.
[OEB | EN | OT | Psalms | Chapter 17 | Verse 2] Let my vindication come from you, your eyes see the truth.
[OEB | EN | OT | Psalms | Chapter 17 | Verse 3] When you test my heart when you visit at night, and assay me like silver – you can find no evil. I am determined that my mouth should not lie.
[OEB | EN | OT | Psalms | Chapter 17 | Verse 4] I gave earnest heed to the words of your lips.
[OEB | EN | OT | Psalms | Chapter 17 | Verse 5] My steps have held fast to the paths of your precepts and in your tracks have my feet never stumbled.
[OEB | EN | OT | Psalms | Chapter 17 | Verse 6] So I call you, O God, with assurance of answer; bend down your ear to me, hear what I say.
[OEB | EN | OT | Psalms | Chapter 17 | Verse 7] Show your marvellous love, you who save from enemies those who take refuge at your right hand.
[OEB | EN | OT | Psalms | Chapter 17 | Verse 8] Keep me as the apple of the eye, hide me in the shelter of your wings.
[OEB | EN | OT | Psalms | Chapter 17 | Verse 9] From wicked people who do me violence, from deadly foes who crowd around me.
[OEB | EN | OT | Psalms | Chapter 17 | Verse 10] They have closed their hearts to pity, the words of their mouths are haughty.
[OEB | EN | OT | Psalms | Chapter 17 | Verse 11] Now they dog us at every step, keenly watching, to hurl us to the ground,
[OEB | EN | OT | Psalms | Chapter 17 | Verse 12] like a lion, longing to tear, like a young lion, lurking in secret.
[OEB | EN | OT | Psalms | Chapter 17 | Verse 13] Arise, Lord, face them and fell them. By your sword set me free from the wicked,
[OEB | EN | OT | Psalms | Chapter 17 | Verse 14] by your hand, O Lord, from those – whose portion of life is but of this world. But let your treasured ones have food in plenty may their children be full and their children satisfied.
[OEB | EN | OT | Psalms | Chapter 17 | Verse 15] In my innocence I will see your face, awake I am filled with a vision of you.
