[OEB | EN | OT | Psalms | Chapter 118 | Verse 1] Give thanks to the Lord for his goodness, his kindness endures forever.
[OEB | EN | OT | Psalms | Chapter 118 | Verse 2] Let the house of Israel now say: his kindness endures forever.
[OEB | EN | OT | Psalms | Chapter 118 | Verse 3] Let the house of Aaron now say: his kindness endures forever.
[OEB | EN | OT | Psalms | Chapter 118 | Verse 4] Let those who fear the Lord now say: his kindness endures forever.
[OEB | EN | OT | Psalms | Chapter 118 | Verse 5] Out of straits I called on the Lord, the Lord answered and gave me room.
[OEB | EN | OT | Psalms | Chapter 118 | Verse 6] The Lord is mine; I am fearless. What can mere people do to me?
[OEB | EN | OT | Psalms | Chapter 118 | Verse 7] The Lord is mine, as my help: I shall feast my eyes on my foes.
[OEB | EN | OT | Psalms | Chapter 118 | Verse 8] It is better to hide in the Lord than to trust in mortals.
[OEB | EN | OT | Psalms | Chapter 118 | Verse 9] It is better to hide in the Lord than to put any trust in princes.
[OEB | EN | OT | Psalms | Chapter 118 | Verse 10] Everywhere heathen swarmed round me; in the name of the Lord I cut them down.
[OEB | EN | OT | Psalms | Chapter 118 | Verse 11] They swarmed, swarmed around me; in the name of the Lord I cut them down,
[OEB | EN | OT | Psalms | Chapter 118 | Verse 12] they swarmed around me like bees, they blazed like a fire of thorns: in the name of the Lord I cut them down.
[OEB | EN | OT | Psalms | Chapter 118 | Verse 13] Sore they pushed me, to make me fall; but the Lord gave me his help.
[OEB | EN | OT | Psalms | Chapter 118 | Verse 14] The Lord is my strength and my song, and he is become my salvation.
[OEB | EN | OT | Psalms | Chapter 118 | Verse 15] Hark! In the tents of the righteous glad cries of victory are ringing. The hand of the Lord has wrought bravely,
[OEB | EN | OT | Psalms | Chapter 118 | Verse 16] the hand of the Lord is exalted, the hand of the Lord has wrought bravely.
[OEB | EN | OT | Psalms | Chapter 118 | Verse 17] I shall not die: nay, I shall live, to declare the works of the Lord.
[OEB | EN | OT | Psalms | Chapter 118 | Verse 18] Though the Lord has chastened me sore, he has not given me over to death. (The Procession arrives at the Temple)
[OEB | EN | OT | Psalms | Chapter 118 | Verse 19] ‘Open to me the gates of victory. I would enter therein and give thanks to the Lord.’ (The Welcome)
[OEB | EN | OT | Psalms | Chapter 118 | Verse 20] ‘This is the gate of the Lord: the righteous may enter therein;’
[OEB | EN | OT | Psalms | Chapter 118 | Verse 21] I thank you because you have heard me, and are become my salvation.
[OEB | EN | OT | Psalms | Chapter 118 | Verse 22] The stone which the builders despised is become the head-stone of the corner.
[OEB | EN | OT | Psalms | Chapter 118 | Verse 23] This has been wrought by the Lord; it is marvellous in our eyes.
[OEB | EN | OT | Psalms | Chapter 118 | Verse 24] This day is the Lord’s own creation: in it let us joy and be glad.
[OEB | EN | OT | Psalms | Chapter 118 | Verse 25] O Lord, save us, we pray, O Lord, prosper, we pray.
[OEB | EN | OT | Psalms | Chapter 118 | Verse 26] Blessed the one who enters in the name of the Lord. From the house of the Lord we bless you.
[OEB | EN | OT | Psalms | Chapter 118 | Verse 27] The Lord is God, he has given us light. Wreathe the dance with boughs, till they touch the horns of the altar.
[OEB | EN | OT | Psalms | Chapter 118 | Verse 28] You are my God, I will thank you; O my God, I will exalt you.
[OEB | EN | OT | Psalms | Chapter 118 | Verse 29] Give thanks to the Lord for his goodness: his kindness endures forever.
