[OEB | EN | OT | Psalms | Chapter 73 | Verse 1] Yes, God is good to the upright, the Lord to the pure in heart.
[OEB | EN | OT | Psalms | Chapter 73 | Verse 2] But my feet were almost gone, my steps had nearly slipped,
[OEB | EN | OT | Psalms | Chapter 73 | Verse 3] through envy of godless braggarts, when I saw how well they fared.
[OEB | EN | OT | Psalms | Chapter 73 | Verse 4] For never a pang have they, their body is sound and sleek.
[OEB | EN | OT | Psalms | Chapter 73 | Verse 5] They have no trouble like mortals, no share in human pain.
[OEB | EN | OT | Psalms | Chapter 73 | Verse 6] So they wear their pride like a necklace, they put on the garment of wrong,
[OEB | EN | OT | Psalms | Chapter 73 | Verse 7] their eyes stand out with fatness, their heart swells with riotous fancies.
[OEB | EN | OT | Psalms | Chapter 73 | Verse 8] Their speech is mocking and evil, condescending and crooked their speech.
[OEB | EN | OT | Psalms | Chapter 73 | Verse 9] They have set their mouth in the heavens, while their tongue struts about on the earth.
[OEB | EN | OT | Psalms | Chapter 73 | Verse 10] Small wonder that people resort to them, and drink deep draughts of their lore.
[OEB | EN | OT | Psalms | Chapter 73 | Verse 11] ‘How does God know?’ they say, ‘And has the Most High any knowledge?’
[OEB | EN | OT | Psalms | Chapter 73 | Verse 12] See! These are the godless, with wealth and ease ever increasing.
[OEB | EN | OT | Psalms | Chapter 73 | Verse 13] Yes, in vain have I kept my heart pure, and washed my hands in innocence;
[OEB | EN | OT | Psalms | Chapter 73 | Verse 14] for all the day long was I plagued not a morning but I was chastised.
[OEB | EN | OT | Psalms | Chapter 73 | Verse 15] But to resolve to speak like they do would be treachery to your children.
[OEB | EN | OT | Psalms | Chapter 73 | Verse 16] So I sought to understand it, but a wearisome task it seemed:
[OEB | EN | OT | Psalms | Chapter 73 | Verse 17] till I entered the holy world of God and saw clearly their destiny.
[OEB | EN | OT | Psalms | Chapter 73 | Verse 18] Yes, you set them on slippery places; down to destruction you hurl them.
[OEB | EN | OT | Psalms | Chapter 73 | Verse 19] One moment and then what a horror of ruin! They are finished and ended in terrors.
[OEB | EN | OT | Psalms | Chapter 73 | Verse 20] Like a dream, when one wakes, shall they be, whose phantoms the waker despises.
[OEB | EN | OT | Psalms | Chapter 73 | Verse 21] So my bitterness of mind and the pain that stabbed my heart
[OEB | EN | OT | Psalms | Chapter 73 | Verse 22] show how dull I was and stupid just like a beast before you.
[OEB | EN | OT | Psalms | Chapter 73 | Verse 23] But I am always with you, you have hold of my right hand.
[OEB | EN | OT | Psalms | Chapter 73 | Verse 24] By a plan of yours you guide me and will afterward take me to glory.
[OEB | EN | OT | Psalms | Chapter 73 | Verse 25] Whom have I in the heavens but you? And on earth there is none I desire beside you.
[OEB | EN | OT | Psalms | Chapter 73 | Verse 26] Though flesh and heart waste away, yet God is the rock of my heart, yet God is my portion forever.
[OEB | EN | OT | Psalms | Chapter 73 | Verse 27] For see! Those who are far from you must perish, you destroy all who are false to you.
[OEB | EN | OT | Psalms | Chapter 73 | Verse 28] But I am happy when close to God; the Lord my God I have made my refuge, that I may recount all the things you have done.
