[OEB | EN | OT | Psalms | Chapter 41 | Verse 1] Happy are those who consider the weak; in the day of misfortune the Lord will deliver them.
[OEB | EN | OT | Psalms | Chapter 41 | Verse 2] He will keep them safe, happy, and long in the land, and not give them up to the rage of their foes.
[OEB | EN | OT | Psalms | Chapter 41 | Verse 3] The Lord will sustain them on bed of languishing; tending their sickness, as long as they lie.
[OEB | EN | OT | Psalms | Chapter 41 | Verse 4] For this cause I say, ‘Lord, show me your favour; heal me, because I have sinned against you.’
[OEB | EN | OT | Psalms | Chapter 41 | Verse 5] My enemies speak of me nothing but evil, ‘When will he die, and his name pass away?’
[OEB | EN | OT | Psalms | Chapter 41 | Verse 6] When one comes to see me, their words ring hollow; their heart keeps gathering mischief the while; and when they go out, they give it speech.
[OEB | EN | OT | Psalms | Chapter 41 | Verse 7] In secret they whisper together against me, all those who hate me plot evil against me.
[OEB | EN | OT | Psalms | Chapter 41 | Verse 8] ‘Some fatal disease has fastened upon him; and now that he lies, he will rise up no more.’
[OEB | EN | OT | Psalms | Chapter 41 | Verse 9] My most trusted friend, on whom I relied, who ate of my bread, has turned against me.
[OEB | EN | OT | Psalms | Chapter 41 | Verse 10] But do you, Lord, graciously raise me up, that I may pay them their due reward.
[OEB | EN | OT | Psalms | Chapter 41 | Verse 11] By this will I know you delight in me: if my foes may not shout over me in triumph.
[OEB | EN | OT | Psalms | Chapter 41 | Verse 12] For my innocence you uphold me, and set me forever before your face.
[OEB | EN | OT | Psalms | Chapter 41 | Verse 13] Blessed be the Lord, the God of Israel, from everlasting to everlasting, Amen and Amen.
