[OEB | EN | OT | Psalms | Chapter 5 | Verse 1] Hear my words, Lord: give heed to my whisper.
[OEB | EN | OT | Psalms | Chapter 5 | Verse 2] Attend to my loud cry for help, my king and my God.
[OEB | EN | OT | Psalms | Chapter 5 | Verse 3] When I pray to you, Lord, in the morning, hear my voice. I make ready for you in the morning, and look for a sign.
[OEB | EN | OT | Psalms | Chapter 5 | Verse 4] For you are no God who takes pleasure in wickedness: no one of evil can be your guest.
[OEB | EN | OT | Psalms | Chapter 5 | Verse 5] No braggarts can stand in your presence, you hate all workers of wrong.
[OEB | EN | OT | Psalms | Chapter 5 | Verse 6] You destroy all speakers of lies, people of blood and deceit you abhor.
[OEB | EN | OT | Psalms | Chapter 5 | Verse 7] But I, through your kindness abundant, may enter your house, and towards the shrine of your temple may reverently bow.
[OEB | EN | OT | Psalms | Chapter 5 | Verse 8] Lead me, Lord, in your righteousness because of my enemies. Make your way level before me.
[OEB | EN | OT | Psalms | Chapter 5 | Verse 9] For their mouth is a stranger to truth, their heart is a pit of destruction. Their throat is a wide open grave, their tongue the smooth tongue of the hypocrite.
[OEB | EN | OT | Psalms | Chapter 5 | Verse 10] Condemn them, God; let their schemes bring them down to the ground. For their numberless crimes thrust them down for playing the rebel against you.
[OEB | EN | OT | Psalms | Chapter 5 | Verse 11] But let all who take refuge in you ring out their gladness forever. Protect those who love your name, so they may exult in you.
[OEB | EN | OT | Psalms | Chapter 5 | Verse 12] For you give your blessing, Lord, to the godly, and the shield of your favour protects them.
