[OEB | EN | OT | Psalms | Chapter 60 | Verse 1] O God, you have spurned and broken us, routing us in your wrath – restore us!
[OEB | EN | OT | Psalms | Chapter 60 | Verse 2] You have shaken the land and cleft it; heal its tottering breaches.
[OEB | EN | OT | Psalms | Chapter 60 | Verse 3] You have made your people drink hardship, and given us wine of reeling.
[OEB | EN | OT | Psalms | Chapter 60 | Verse 4] You have given those who fear you a banner, a rallying-place from the bow, Selah
[OEB | EN | OT | Psalms | Chapter 60 | Verse 5] for the rescue of your beloved. Save by your right hand and answer us.
[OEB | EN | OT | Psalms | Chapter 60 | Verse 6] God did solemnly swear: ‘As victor will I divide Shechem, and mete out the valley of Succoth.
[OEB | EN | OT | Psalms | Chapter 60 | Verse 7] Mine is Gilead, mine is Manasseh, Ephraim is the defence of my head, Judah my sceptre of rule,
[OEB | EN | OT | Psalms | Chapter 60 | Verse 8] Moab the pot that I wash in, Edom – I cast my shoe over it, I shout o’er Philistia in triumph.’
[OEB | EN | OT | Psalms | Chapter 60 | Verse 9] O to be brought to the fortified city! O to be led into Edom!
[OEB | EN | OT | Psalms | Chapter 60 | Verse 10] Have you not spurned us, O God? You do not march forth with our armies.
[OEB | EN | OT | Psalms | Chapter 60 | Verse 11] Grant us help from the foe, for human help is worthless.
[OEB | EN | OT | Psalms | Chapter 60 | Verse 12] With God we shall yet do bravely: he himself will tread down our foes.
