[OEB | EN | OT | Psalms | Chapter 89 | Verse 1] I will sing evermore of the love of the Lord, proclaiming to all generations his faithfulness.
[OEB | EN | OT | Psalms | Chapter 89 | Verse 2] For your love you did promise to build up forever, your faithfulness firm as the heavens themselves.
[OEB | EN | OT | Psalms | Chapter 89 | Verse 3] ‘I have made with my chosen a covenant, and sworn to David my servant,
[OEB | EN | OT | Psalms | Chapter 89 | Verse 4] to establish his seed forever, and to build up his throne to all ages.’ Selah
[OEB | EN | OT | Psalms | Chapter 89 | Verse 5] Then the holy assembly in heaven praised your marvellous faithfulness, Lord.
[OEB | EN | OT | Psalms | Chapter 89 | Verse 6] For who in the skies may compare with the Lord? Who is like the Lord among the gods?
[OEB | EN | OT | Psalms | Chapter 89 | Verse 7] A God to be feared in the holy assembly, awful and great above all who are round him.
[OEB | EN | OT | Psalms | Chapter 89 | Verse 8] O Lord God of hosts, who is mighty as you? Your strength and faithfulness, Lord, surround you.
[OEB | EN | OT | Psalms | Chapter 89 | Verse 9] You are the Lord of the raging sea: when its waves surge, it is you who still them.
[OEB | EN | OT | Psalms | Chapter 89 | Verse 10] It was you who did pierce and crush Rahab in pieces, and scatter your foes by your mighty arm.
[OEB | EN | OT | Psalms | Chapter 89 | Verse 11] Yours are the heavens, yours also the earth, the world and its fulness, it’s you who did found them.
[OEB | EN | OT | Psalms | Chapter 89 | Verse 12] The north and the south, it’s you have created them; Tabor and Hermon shout praise to your name.
[OEB | EN | OT | Psalms | Chapter 89 | Verse 13] You have an arm with the might of a hero; strong is your hand, high uplifted your right hand.
[OEB | EN | OT | Psalms | Chapter 89 | Verse 14] Justice and right are the base of your throne, kindness and faithfulness ever attend you.
[OEB | EN | OT | Psalms | Chapter 89 | Verse 15] Happy the people who know the glad shout, who walk, O Lord, in the light of your face.
[OEB | EN | OT | Psalms | Chapter 89 | Verse 16] They exult in your name all the day, and your righteousness they extol.
[OEB | EN | OT | Psalms | Chapter 89 | Verse 17] For you are our strength and our pride. Your favour will lift us to honour.
[OEB | EN | OT | Psalms | Chapter 89 | Verse 18] For the holy Lord of Israel keeps our defender and king.
[OEB | EN | OT | Psalms | Chapter 89 | Verse 19] In a vision of old you did speak in this way to the one whom you loved: ‘A crown I have set on the hero I chose to be over the people
[OEB | EN | OT | Psalms | Chapter 89 | Verse 20] ‘I found my servant David, and anointed with holy oil.
[OEB | EN | OT | Psalms | Chapter 89 | Verse 21] My hand will be with him forever, my arm will give him strength.
[OEB | EN | OT | Psalms | Chapter 89 | Verse 22] ‘No enemy will dare to assail him, nor the wicked to oppress him;
[OEB | EN | OT | Psalms | Chapter 89 | Verse 23] but his foes I will shatter before him, I will strike down those who hate him.
[OEB | EN | OT | Psalms | Chapter 89 | Verse 24] ‘My loyal love shall attend him, and I will lift him to honour.
[OEB | EN | OT | Psalms | Chapter 89 | Verse 25] I will set his hand on the sea, and his right hand on the rivers.
[OEB | EN | OT | Psalms | Chapter 89 | Verse 26] ‘As for him, he will call me “My father, my God, and my rock of salvation.”
[OEB | EN | OT | Psalms | Chapter 89 | Verse 27] And I will make him my firstborn, highest of kings on the earth.
[OEB | EN | OT | Psalms | Chapter 89 | Verse 28] ‘My love will I keep for him ever, my covenant with him shall stand fast.
[OEB | EN | OT | Psalms | Chapter 89 | Verse 29] His line will I make everlasting, and his throne as the days of the heavens.
[OEB | EN | OT | Psalms | Chapter 89 | Verse 30] ‘If his children forsake my law, and walk not as I have ordained;
[OEB | EN | OT | Psalms | Chapter 89 | Verse 31] if they profane my statutes, and do not keep my commandments;
[OEB | EN | OT | Psalms | Chapter 89 | Verse 32] ‘I will punish their sin with the rod, their iniquity with scourges.
[OEB | EN | OT | Psalms | Chapter 89 | Verse 33] But my love will I not take from him, nor will I belie my faithfulness.
[OEB | EN | OT | Psalms | Chapter 89 | Verse 34] ‘I will not profane my covenant by changing the word that has passed my lips.
[OEB | EN | OT | Psalms | Chapter 89 | Verse 35] Once have I solemnly sworn and I would not lie to David,
[OEB | EN | OT | Psalms | Chapter 89 | Verse 36] ‘that his line should endure forever, and his throne as the sun before me,
[OEB | EN | OT | Psalms | Chapter 89 | Verse 37] firm as the moon which for ever and ever is fixed in the sky.’ Selah
[OEB | EN | OT | Psalms | Chapter 89 | Verse 38] But you have cast off in contempt, and been furious with your anointed.
[OEB | EN | OT | Psalms | Chapter 89 | Verse 39] You have spurned the covenant with your servant, and his sacred crown dashed to the ground.
[OEB | EN | OT | Psalms | Chapter 89 | Verse 40] You have broken down all his walls, and laid his bulwarks in ruins.
[OEB | EN | OT | Psalms | Chapter 89 | Verse 41] All who pass on their way despoil him, the scorn of his neighbours is he now.
[OEB | EN | OT | Psalms | Chapter 89 | Verse 42] You have given his foes the victory, and made all his enemies glad.
[OEB | EN | OT | Psalms | Chapter 89 | Verse 43] You have turned back his sword from the foe, you did not lift him up in the battle.
[OEB | EN | OT | Psalms | Chapter 89 | Verse 44] The sceptre you took from his hand, and his throne you did hurl to the ground.
[OEB | EN | OT | Psalms | Chapter 89 | Verse 45] You have shortened the days of his youth, and covered him with shame. Selah
[OEB | EN | OT | Psalms | Chapter 89 | Verse 46] How long, Lord will you hide you forever? How long are the fires of your wrath to burn?
[OEB | EN | OT | Psalms | Chapter 89 | Verse 47] Remember, Lord, the shortness of life how fleeting you made all people.
[OEB | EN | OT | Psalms | Chapter 89 | Verse 48] Who can live without seeing death? Who can rescue their life from the clutch of Sheol? Selah
[OEB | EN | OT | Psalms | Chapter 89 | Verse 49] Where, Lord, is your kindness of old, which you in your faithfulness swore to David?
[OEB | EN | OT | Psalms | Chapter 89 | Verse 50] Remember, O Lord, how your servants are mocked, how I bear in my heart the scorn of all nations
[OEB | EN | OT | Psalms | Chapter 89 | Verse 51] The scorn which your enemies hurl, O Lord, which they hurl at the footsteps of your anointed.
[OEB | EN | OT | Psalms | Chapter 89 | Verse 52] Blest be the Lord, for ever and ever. Amen and Amen.
