[OEB | EN | OT | Psalms | Chapter 21 | Verse 1] The king rejoices, Lord, in your might, how he exults because of your help!
[OEB | EN | OT | Psalms | Chapter 21 | Verse 2] You have granted to him his heart’s desire, you have not withheld his lips’ request. Selah
[OEB | EN | OT | Psalms | Chapter 21 | Verse 3] You came to meet him with rich blessings, you set on his head a golden crown.
[OEB | EN | OT | Psalms | Chapter 21 | Verse 4] He asked you for life, you gave it – many long days, forever and ever.
[OEB | EN | OT | Psalms | Chapter 21 | Verse 5] Great is his glory because of your help, honour and majesty you lay upon him.
[OEB | EN | OT | Psalms | Chapter 21 | Verse 6] For you make him most blessed forever, you make him glad with the joy of your presence.
[OEB | EN | OT | Psalms | Chapter 21 | Verse 7] For the king puts always his trust in the Lord; the Most High, in his love, will preserve him unshaken.
[OEB | EN | OT | Psalms | Chapter 21 | Verse 8] Your hand will reach all your foes, your right hand, all who hate you.
[OEB | EN | OT | Psalms | Chapter 21 | Verse 9] You will make them like a furnace of fire, when you appear, Lord. The Lord will swallow them up in his wrath. The fire will devour them.
[OEB | EN | OT | Psalms | Chapter 21 | Verse 10] You will sweep their offspring from the earth, their children from humanity.
[OEB | EN | OT | Psalms | Chapter 21 | Verse 11] When they scheme against you and hatch evil plots – they will fail.
[OEB | EN | OT | Psalms | Chapter 21 | Verse 12] For you aim your bow at their faces, make them turn in flight.
[OEB | EN | OT | Psalms | Chapter 21 | Verse 13] Be exalted, Lord, in your strength, to your might we shall sing and make music.
