[OEB | EN | OT | Psalms | Chapter 86 | Verse 1] Incline your ear, Lord, and answer me, for I am afflicted and needy.
[OEB | EN | OT | Psalms | Chapter 86 | Verse 2] Guard me, for I am loyal: save your servant, who trusts in you.
[OEB | EN | OT | Psalms | Chapter 86 | Verse 3] Lord, be gracious to me, for you are my God; I cry to you all the day.
[OEB | EN | OT | Psalms | Chapter 86 | Verse 4] Gladden the heart of your servant; for to you, Lord, I set my hope.
[OEB | EN | OT | Psalms | Chapter 86 | Verse 5] For you, Lord, are good and forgiving, rich in love towards all who call on you.
[OEB | EN | OT | Psalms | Chapter 86 | Verse 6] Listen, O Lord, to my prayer; attend to my plea for mercy.
[OEB | EN | OT | Psalms | Chapter 86 | Verse 7] In the day of my trouble I call on you, with assurance that you will answer me.
[OEB | EN | OT | Psalms | Chapter 86 | Verse 8] None of the gods is like you, Lord, nor are any works like yours.
[OEB | EN | OT | Psalms | Chapter 86 | Verse 9] All the nations you have made will come and bow down before you, giving glory, O Lord, to your name.
[OEB | EN | OT | Psalms | Chapter 86 | Verse 10] For great are you, and a doer of wonders; you alone are God.
[OEB | EN | OT | Psalms | Chapter 86 | Verse 11] Teach me, O Lord, your way, that I may walk in your truth: so my heart shall rejoice in your name.
[OEB | EN | OT | Psalms | Chapter 86 | Verse 12] I will give you thanks, O Lord, with all my heart, my God, I will honour your name forever.
[OEB | EN | OT | Psalms | Chapter 86 | Verse 13] For great is your love towards me, from the depths of Sheol you have saved me.
[OEB | EN | OT | Psalms | Chapter 86 | Verse 14] Haughty men have risen up against me, O God, a band of the violent seeking my life, who think nothing of you.
[OEB | EN | OT | Psalms | Chapter 86 | Verse 15] But you are a God of pity and grace, patient and rich in kindness and faithfulness; turn to me with your grace, O Lord.
[OEB | EN | OT | Psalms | Chapter 86 | Verse 16] Grant your strength to your servant, and save the child of your handmaid.
[OEB | EN | OT | Psalms | Chapter 86 | Verse 17] Show me a sign of your favour, which those who hate me may see with confusion, since you, Lord, are my helper and comforter.
