[OEB | EN | OT | Psalms | Chapter 96 | Verse 1] Sing to the Lord a new song, sing to the Lord, all the earth.
[OEB | EN | OT | Psalms | Chapter 96 | Verse 2] Sing to the Lord, bless his name, from day to day herald his victory.
[OEB | EN | OT | Psalms | Chapter 96 | Verse 3] Tell his glory among the nations, his wonders among all peoples.
[OEB | EN | OT | Psalms | Chapter 96 | Verse 4] For great is the Lord and worthy all praise; held in awe, above all gods:
[OEB | EN | OT | Psalms | Chapter 96 | Verse 5] for all the gods of the nations are idols, but the Lord created the heavens.
[OEB | EN | OT | Psalms | Chapter 96 | Verse 6] Before him are splendour and majesty, beauty and strength in his holy place.
[OEB | EN | OT | Psalms | Chapter 96 | Verse 7] Ascribe to the Lord, you tribes of the nations, ascribe to the Lord glory and strength.
[OEB | EN | OT | Psalms | Chapter 96 | Verse 8] Ascribe to the Lord the glory he manifests: bring you an offering, enter his courts.
[OEB | EN | OT | Psalms | Chapter 96 | Verse 9] Bow to the Lord in holy array: tremble before him, all the earth.
[OEB | EN | OT | Psalms | Chapter 96 | Verse 10] Say to the nations, ‘The Lord is king.’ The world stands firm to be shaken no more. He will judge the peoples with equity.
[OEB | EN | OT | Psalms | Chapter 96 | Verse 11] Let the heavens be glad and the earth rejoice, let the sea and its fulness thunder.
[OEB | EN | OT | Psalms | Chapter 96 | Verse 12] Let the field, and all that is in it, exult; let the trees of the forest ring out their joy
[OEB | EN | OT | Psalms | Chapter 96 | Verse 13] before the Lord: for he comes, he comes to judge the earth. He will judge the world with justice and the nations with faithfulness.
