[OEB | EN | OT | Psalms | Chapter 30 | Verse 1] I will extol you, O Lord, because you have lifted me up, and not suffered my foes to rejoice over me.
[OEB | EN | OT | Psalms | Chapter 30 | Verse 2] I cried to you for help, O Lord my God, and you healed me.
[OEB | EN | OT | Psalms | Chapter 30 | Verse 3] You have brought me up, Lord, from Sheol, from my way to the pit back to life you have called me.
[OEB | EN | OT | Psalms | Chapter 30 | Verse 4] Sing praise to the Lord, faithful people; give thanks to his holy name.
[OEB | EN | OT | Psalms | Chapter 30 | Verse 5] For his anger lasts only a moment, his favour endures for a lifetime. Weeping may lodge for the night, but the morning brings shouts of joy.
[OEB | EN | OT | Psalms | Chapter 30 | Verse 6] When all went well, I imagined that never should I be shaken.
[OEB | EN | OT | Psalms | Chapter 30 | Verse 7] For by your favour, O Lord, you had set me on mountains strong: but you hide your face, and I was confounded.
[OEB | EN | OT | Psalms | Chapter 30 | Verse 8] Then to you, Lord, I cried, to the Lord I begged for mercy,
[OEB | EN | OT | Psalms | Chapter 30 | Verse 9] ‘What profit is there in my blood, if I go down to the pit? Can you be praised by dust? Can it tell of your faithfulness?
[OEB | EN | OT | Psalms | Chapter 30 | Verse 10] Hear, Lord, and show me your favour, Lord be a helper to me.’
[OEB | EN | OT | Psalms | Chapter 30 | Verse 11] You have turned my mourning to dancing; my sackcloth you have unloosed, and clothed me with joy:
[OEB | EN | OT | Psalms | Chapter 30 | Verse 12] that unceasingly I should sing your praise, and give thanks to you, Lord my God, forever.
