[OEB | EN | OT | Psalms | Chapter 94 | Verse 1] Lord, God of vengeance, God of vengeance, shine forth.
[OEB | EN | OT | Psalms | Chapter 94 | Verse 2] Rise up, judge of the earth, pay back the proud what they deserve.
[OEB | EN | OT | Psalms | Chapter 94 | Verse 3] Lord, how long shall the wicked, how long shall the wicked exult,
[OEB | EN | OT | Psalms | Chapter 94 | Verse 4] with their blustering arrogant words, their braggart and wicked speech,
[OEB | EN | OT | Psalms | Chapter 94 | Verse 5] crushing your people, Lord, and afflicting your heritage,
[OEB | EN | OT | Psalms | Chapter 94 | Verse 6] murdering widows and strangers, slaying the fatherless?
[OEB | EN | OT | Psalms | Chapter 94 | Verse 7] They think that the Lord does not see, nor the God of Jacob regard it.
[OEB | EN | OT | Psalms | Chapter 94 | Verse 8] Take heed, you dullest of people; when will you be wise, you fools?
[OEB | EN | OT | Psalms | Chapter 94 | Verse 9] Is he deaf, who shaped the ear? Is he blind, who fashioned the eye?
[OEB | EN | OT | Psalms | Chapter 94 | Verse 10] Can he who trains nations not punish them he who teaches knowledge to people?
[OEB | EN | OT | Psalms | Chapter 94 | Verse 11] The Lord knows the thoughts of people, that only a breath are they.
[OEB | EN | OT | Psalms | Chapter 94 | Verse 12] Happy are those whom you chasten, and teach out of your law,
[OEB | EN | OT | Psalms | Chapter 94 | Verse 13] keeping them calm in the day of misfortune, till a pit be dug for the wicked.
[OEB | EN | OT | Psalms | Chapter 94 | Verse 14] For the Lord will not leave his people, he will not forsake his inheritance.
[OEB | EN | OT | Psalms | Chapter 94 | Verse 15] For the righteous shall come to their rights, and all true-hearted people shall follow them.
[OEB | EN | OT | Psalms | Chapter 94 | Verse 16] Who will rise up for me against those who do evil? Who will stand up for me against workers of wrong?
[OEB | EN | OT | Psalms | Chapter 94 | Verse 17] Were it not for the help of the Lord, I would soon have gone to the silent grave.
[OEB | EN | OT | Psalms | Chapter 94 | Verse 18] When I thought that my foot was slipping, your kindness, Lord, held me up.
[OEB | EN | OT | Psalms | Chapter 94 | Verse 19] When with cares my heart was crowded, your comforts make me glad.
[OEB | EN | OT | Psalms | Chapter 94 | Verse 20] Can corrupt justice be your ally, framing mischief by statute?
[OEB | EN | OT | Psalms | Chapter 94 | Verse 21] They assail the life of the righteous, and innocent blood condemn.
[OEB | EN | OT | Psalms | Chapter 94 | Verse 22] But the Lord is my sure retreat, my God is the rock of my refuge.
[OEB | EN | OT | Psalms | Chapter 94 | Verse 23] He will bring back their sin upon them, for their wickedness he will destroy them; the Lord our God will destroy them.
