[OEB | EN | OT | Psalms | Chapter 25 | Verse 1] To you, O Lord, I lift up my heart: all the day I wait for you.
[OEB | EN | OT | Psalms | Chapter 25 | Verse 2] In you I trust, put me not to shame; let not my foes exult over me.
[OEB | EN | OT | Psalms | Chapter 25 | Verse 3] None will be shamed who wait for you, but shame will fall upon wanton traitors.
[OEB | EN | OT | Psalms | Chapter 25 | Verse 4] Make me, O Lord, to know your ways: teach me your paths.
[OEB | EN | OT | Psalms | Chapter 25 | Verse 5] In your faithfulness guide me and teach me, for you are my God and my saviour.
[OEB | EN | OT | Psalms | Chapter 25 | Verse 6] Remember your pity, O Lord, and your kindness, for they have been ever of old.
[OEB | EN | OT | Psalms | Chapter 25 | Verse 7] Do not remember the sins of my youth; remember me in kindness, because of your goodness, Lord.
[OEB | EN | OT | Psalms | Chapter 25 | Verse 8] Good is the Lord and upright, so he teaches sinners the way.
[OEB | EN | OT | Psalms | Chapter 25 | Verse 9] The humble he guides in the right, he teaches the humble his way.
[OEB | EN | OT | Psalms | Chapter 25 | Verse 10] All his ways are loving and loyal to those who observe his charges and covenant.
[OEB | EN | OT | Psalms | Chapter 25 | Verse 11] Be true to your name Lord, forgive my many sins.
[OEB | EN | OT | Psalms | Chapter 25 | Verse 12] Who then is the person who fears the Lord? He will teach them the way to choose.
[OEB | EN | OT | Psalms | Chapter 25 | Verse 13] They will live in prosperity, their children will inherit the land.
[OEB | EN | OT | Psalms | Chapter 25 | Verse 14] The Lord gives guidance to those who fear him, and with his covenant he makes them acquainted.
[OEB | EN | OT | Psalms | Chapter 25 | Verse 15] My eyes are ever toward the Lord, for out of the net he brings my foot.
[OEB | EN | OT | Psalms | Chapter 25 | Verse 16] Turn to me with your favour, for I am lonely and crushed
[OEB | EN | OT | Psalms | Chapter 25 | Verse 17] In my heart are strain and storm; bring me out of my distresses.
[OEB | EN | OT | Psalms | Chapter 25 | Verse 18] Look on my misery and trouble, and pardon all my sins,
[OEB | EN | OT | Psalms | Chapter 25 | Verse 19] look on my foes oh, so many! And their cruel hatred towards me.
[OEB | EN | OT | Psalms | Chapter 25 | Verse 20] Deliver me, keep me, and shame not one who takes refuge in you.
[OEB | EN | OT | Psalms | Chapter 25 | Verse 21] May integrity and innocence preserve me, for I wait for you, O Lord.
[OEB | EN | OT | Psalms | Chapter 25 | Verse 22] Redeem Israel, O God, from all its distresses.
