[OEB | EN | OT | Psalms | Chapter 107 | Verse 1] Give thanks to the Lord for his goodness for his kindness endures forever.
[OEB | EN | OT | Psalms | Chapter 107 | Verse 2] Let this be the song of the ransomed, whom the Lord has redeemed from distress,
[OEB | EN | OT | Psalms | Chapter 107 | Verse 3] gathering them from all lands, east, west, north, and south.
[OEB | EN | OT | Psalms | Chapter 107 | Verse 4] In the wastes of the desert some wandered, finding no way to a city inhabited.
[OEB | EN | OT | Psalms | Chapter 107 | Verse 5] Full of hunger and thirst, their spirit failed.
[OEB | EN | OT | Psalms | Chapter 107 | Verse 6] Then they cried to the Lord in their trouble, and he saved them from their distresses,
[OEB | EN | OT | Psalms | Chapter 107 | Verse 7] guiding them straight on the way, till they reached an inhabited city.
[OEB | EN | OT | Psalms | Chapter 107 | Verse 8] Let them thank the Lord for his kindness, for his wonderful deeds for people;
[OEB | EN | OT | Psalms | Chapter 107 | Verse 9] for the thirsty he satisfies, and the hungry he fills with good things.
[OEB | EN | OT | Psalms | Chapter 107 | Verse 10] Some sat in darkness and gloom prisoners in irons and misery,
[OEB | EN | OT | Psalms | Chapter 107 | Verse 11] for rebelling against God’s word, and spurning the Most High’s counsel.
[OEB | EN | OT | Psalms | Chapter 107 | Verse 12] Their heart was bowed with toil; there was no one to help when they stumbled.
[OEB | EN | OT | Psalms | Chapter 107 | Verse 13] Then they cried to the Lord in their trouble, and he saved them from their distresses.
[OEB | EN | OT | Psalms | Chapter 107 | Verse 14] Out of darkness and gloom he brought them, and burst their chains.
[OEB | EN | OT | Psalms | Chapter 107 | Verse 15] Let them praise the Lord for his kindness, for his wonderful deeds for people.
[OEB | EN | OT | Psalms | Chapter 107 | Verse 16] For he shattered the gates of bronze, and broke bars of iron.
[OEB | EN | OT | Psalms | Chapter 107 | Verse 17] Some were sick from their wicked ways, and suffering because of their sins.
[OEB | EN | OT | Psalms | Chapter 107 | Verse 18] All manner of food they hated; they had come to the gates of death.
[OEB | EN | OT | Psalms | Chapter 107 | Verse 19] Then they cried to the Lord in their trouble, and he saved them from their distresses.
[OEB | EN | OT | Psalms | Chapter 107 | Verse 20] He sent his word and healed them, and delivered their life from the pit.
[OEB | EN | OT | Psalms | Chapter 107 | Verse 21] Let them praise the Lord for his kindness, for his wonderful deeds for people.
[OEB | EN | OT | Psalms | Chapter 107 | Verse 22] Let them offer to him thankofferings, and with joy tell what things he has done.
[OEB | EN | OT | Psalms | Chapter 107 | Verse 23] Some crossed the sea in ships, doing business in great waters.
[OEB | EN | OT | Psalms | Chapter 107 | Verse 24] They have seen what the Lord can do, and his wonderful deeds on the deep.
[OEB | EN | OT | Psalms | Chapter 107 | Verse 25] At his command rose a tempest, which lifted the waves on high.
[OEB | EN | OT | Psalms | Chapter 107 | Verse 26] Up to heaven they went, down to the depths; their courage failed them.
[OEB | EN | OT | Psalms | Chapter 107 | Verse 27] They staggered and reeled like drunkards; all their skills useless.
[OEB | EN | OT | Psalms | Chapter 107 | Verse 28] Then they cried to the Lord in their trouble, and he saved them from their distresses.
[OEB | EN | OT | Psalms | Chapter 107 | Verse 29] He stilled the storm to a whisper, and the waves of the sea were hushed.
[OEB | EN | OT | Psalms | Chapter 107 | Verse 30] They were glad, because it was quiet; they were led to the haven they longed for.
[OEB | EN | OT | Psalms | Chapter 107 | Verse 31] Let them praise the Lord, for his kindness, for his wonderful deeds for people.
[OEB | EN | OT | Psalms | Chapter 107 | Verse 32] Where the people assemble, extol him, and praise him in council of elders.
[OEB | EN | OT | Psalms | Chapter 107 | Verse 33] He turns streams into a wilderness, springs of water into thirsty land,
[OEB | EN | OT | Psalms | Chapter 107 | Verse 34] fruitful land into a salt waste, because of the sin of the people.
[OEB | EN | OT | Psalms | Chapter 107 | Verse 35] A desert he makes pools of water, a land of drought into springs of water.
[OEB | EN | OT | Psalms | Chapter 107 | Verse 36] He settles the hungry therein, they establish a city to live in.
[OEB | EN | OT | Psalms | Chapter 107 | Verse 37] They sow fields and plant vineyards, which furnish a fruitful yield.
[OEB | EN | OT | Psalms | Chapter 107 | Verse 38] By his blessing they multiply greatly, and he lets not their cattle decrease.
[OEB | EN | OT | Psalms | Chapter 107 | Verse 39] Yet when they are bowed and diminished by oppression, misfortune, or sorrow,
[OEB | EN | OT | Psalms | Chapter 107 | Verse 40] he pours contempt upon princes, and on trackless wastes leads them astray
[OEB | EN | OT | Psalms | Chapter 107 | Verse 41] He lifts the poor out of misery, and makes families fruitful as flocks.
[OEB | EN | OT | Psalms | Chapter 107 | Verse 42] At this sight shall the upright be glad, and all wicked mouths shall be stopped.
[OEB | EN | OT | Psalms | Chapter 107 | Verse 43] Let those who are wise observe this, and consider the love of the Lord
