[OEB | EN | OT | Psalms | Chapter 32 | Verse 1] Happy those whose transgression is pardoned, whose sin is covered.
[OEB | EN | OT | Psalms | Chapter 32 | Verse 2] Happy are those, free from falseness of spirit, to whom the Lord reckons no debt of guilt.
[OEB | EN | OT | Psalms | Chapter 32 | Verse 3] When I held my peace, my bones wore away with my endless groaning;
[OEB | EN | OT | Psalms | Chapter 32 | Verse 4] for day and night did your hand lie heavy upon me. The sap of my life was dried up as with fierce summer-heat. Selah
[OEB | EN | OT | Psalms | Chapter 32 | Verse 5] I began to acknowledge my sin, not concealing my guilt; and the moment I vowed to confess to the Lord my transgression, then you yourself did pardon the guilt of my sin. Selah
[OEB | EN | OT | Psalms | Chapter 32 | Verse 6] For this cause let all who are faithful pray to you in the time of distress; then, when the great waters rush, they will not reach to him.
[OEB | EN | OT | Psalms | Chapter 32 | Verse 7] For you are my shelter, you protect me from trouble, and surround me with deliverance. Selah
[OEB | EN | OT | Psalms | Chapter 32 | Verse 8] ‘With my eye steadfastly upon you, I will instruct and teach you The way you should go.
[OEB | EN | OT | Psalms | Chapter 32 | Verse 9] Do not be like the horse or the mule, that have no understanding, but need bridle and halter to curb them, else they will not come near to you.’
[OEB | EN | OT | Psalms | Chapter 32 | Verse 10] The godless have many sorrows, but those who trust in the Lord will be compassed about by his kindness.
[OEB | EN | OT | Psalms | Chapter 32 | Verse 11] Be glad in the Lord, and rejoice, you righteous; and ring out your joy, all you upright in heart.
