[OEB | EN | OT | Psalms | Chapter 136 | Verse 1] Give thanks to the Lord for his goodness: for his kindness endures forever.
[OEB | EN | OT | Psalms | Chapter 136 | Verse 2] Give thanks to the God of gods: for his kindness endures forever.
[OEB | EN | OT | Psalms | Chapter 136 | Verse 3] Give thanks to the Lord of lords: for his kindness endures forever.
[OEB | EN | OT | Psalms | Chapter 136 | Verse 4] To him who alone does great wonders: for his kindness endures forever.
[OEB | EN | OT | Psalms | Chapter 136 | Verse 5] Whose wisdom created the heavens: for his kindness endures forever.
[OEB | EN | OT | Psalms | Chapter 136 | Verse 6] Who spread forth the earth on the waters: for his kindness endures forever.
[OEB | EN | OT | Psalms | Chapter 136 | Verse 7] Who made great lights: for his kindness endures forever.
[OEB | EN | OT | Psalms | Chapter 136 | Verse 8] The sun to rule over the day: for his kindness endures forever.
[OEB | EN | OT | Psalms | Chapter 136 | Verse 9] Moon and stars to rule over the night: for his kindness endures forever.
[OEB | EN | OT | Psalms | Chapter 136 | Verse 10] Who struck the firstborn of Egypt: for his kindness endures forever.
[OEB | EN | OT | Psalms | Chapter 136 | Verse 11] And brought Israel out from their midst: for his kindness endures forever.
[OEB | EN | OT | Psalms | Chapter 136 | Verse 12] With strong hand and outstretched arm: for his kindness endures forever.
[OEB | EN | OT | Psalms | Chapter 136 | Verse 13] Who cut the Red Sea in pieces: for his kindness endures forever.
[OEB | EN | OT | Psalms | Chapter 136 | Verse 14] And brought Israel right through the midst: for his kindness endures forever.
[OEB | EN | OT | Psalms | Chapter 136 | Verse 15] And shook Pharaoh with all his host into the sea for his kindness endures forever.
[OEB | EN | OT | Psalms | Chapter 136 | Verse 16] Who led his people through the desert: for his kindness endures forever.
[OEB | EN | OT | Psalms | Chapter 136 | Verse 17] Who struck down great kings: for his kindness endures forever.
[OEB | EN | OT | Psalms | Chapter 136 | Verse 18] And slew noble kings: for his kindness endures forever.
[OEB | EN | OT | Psalms | Chapter 136 | Verse 19] Sihon, king of the Amorites: for his kindness endures forever.
[OEB | EN | OT | Psalms | Chapter 136 | Verse 20] And Og, king of Bashan: for his kindness endures forever.
[OEB | EN | OT | Psalms | Chapter 136 | Verse 21] Who gave their land for possession: for his kindness endures forever.
[OEB | EN | OT | Psalms | Chapter 136 | Verse 22] Possession to Israel his servant: for his kindness endures forever.
[OEB | EN | OT | Psalms | Chapter 136 | Verse 23] Who remembered our low estate: for his kindness endures forever.
[OEB | EN | OT | Psalms | Chapter 136 | Verse 24] And rescued us from our foes: for his kindness endures forever.
[OEB | EN | OT | Psalms | Chapter 136 | Verse 25] Who gives to all flesh food: for his kindness endures forever.
[OEB | EN | OT | Psalms | Chapter 136 | Verse 26] Give thanks to the God of heaven: for his kindness endures forever.
