[OEB | EN | OT | Psalms | Chapter 91 | Verse 1] You whose home is the shelter of God Most High, whose abode is the shadow of God Almighty,
[OEB | EN | OT | Psalms | Chapter 91 | Verse 2] can say to the Lord, ‘My refuge, my fortress, my God, in whom I trust.’
[OEB | EN | OT | Psalms | Chapter 91 | Verse 3] For he saves you from fowler’s snare, from deadly plague,
[OEB | EN | OT | Psalms | Chapter 91 | Verse 4] he shelters you with his pinions, and under his wings you can hide. His truth will be a shield and buckler.
[OEB | EN | OT | Psalms | Chapter 91 | Verse 5] You need not fear the terror of night, nor the arrow that flies by day,
[OEB | EN | OT | Psalms | Chapter 91 | Verse 6] nor the plague that stalks in darkness, nor the pestilence raging at noon.
[OEB | EN | OT | Psalms | Chapter 91 | Verse 7] A thousand may fall at your side, ten thousand at your right hand: but it will not draw near to you.
[OEB | EN | OT | Psalms | Chapter 91 | Verse 8] You will only look on with your eyes, and see how the wicked are punished.
[OEB | EN | OT | Psalms | Chapter 91 | Verse 9] You have made the Lord your refuge, you have made the Most High your defence.
[OEB | EN | OT | Psalms | Chapter 91 | Verse 10] You will never be met by misfortune, no plague will come near your tent,
[OEB | EN | OT | Psalms | Chapter 91 | Verse 11] for he orders his angels to guard you, wherever you go.
[OEB | EN | OT | Psalms | Chapter 91 | Verse 12] They will carry you with their hands, so you don’t hurt your foot on a stone.
[OEB | EN | OT | Psalms | Chapter 91 | Verse 13] You will trample down lions and snakes, tread on young lions and cobras.
[OEB | EN | OT | Psalms | Chapter 91 | Verse 14] ‘Because of their love for me, I will deliver them, I will protect those who trust my name.
[OEB | EN | OT | Psalms | Chapter 91 | Verse 15] I will answer their cry and be with them in trouble, bringing them forth into safety and honour.
[OEB | EN | OT | Psalms | Chapter 91 | Verse 16] I will give them a life of many days, I will show them my salvation.’
