[OEB | EN | OT | Psalms | Chapter 78 | Verse 1] My people, attend to my teaching: bend your ears to the words of my mouth,
[OEB | EN | OT | Psalms | Chapter 78 | Verse 2] as I open my mouth in a poem on the riddling story of the past.
[OEB | EN | OT | Psalms | Chapter 78 | Verse 3] What we have heard and known, and what our ancestors have told us,
[OEB | EN | OT | Psalms | Chapter 78 | Verse 4] we will not hide from their children. We will tell to the next generation the praises and might of the Lord, and the wonders that he has done.
[OEB | EN | OT | Psalms | Chapter 78 | Verse 5] He set up a testimony in Jacob, a law he appointed in Israel, which he commanded our ancestors to make known to their children,
[OEB | EN | OT | Psalms | Chapter 78 | Verse 6] that the next generation should know it, that the children yet to be born should arise and tell their children;
[OEB | EN | OT | Psalms | Chapter 78 | Verse 7] that in God they might put their confidence, and not forget God’s works; but that they might keep his commandments,
[OEB | EN | OT | Psalms | Chapter 78 | Verse 8] and not be like their ancestors, a generation defiant and stubborn, a generation with heart unsteady, and spirit unfaithful towards God.
[OEB | EN | OT | Psalms | Chapter 78 | Verse 9] Ephraimites, armed bowmen, turned back in the day of battle.
[OEB | EN | OT | Psalms | Chapter 78 | Verse 10] They did not keep God’s covenant, they refused to walk in his law.
[OEB | EN | OT | Psalms | Chapter 78 | Verse 11] They forgot what he had done, and the wonders he had shown them.
[OEB | EN | OT | Psalms | Chapter 78 | Verse 12] He did wonders before their ancestors in the country of Zoan in Egypt.
[OEB | EN | OT | Psalms | Chapter 78 | Verse 13] Through the sea which he split he brought them, making waters stand up like a heap;
[OEB | EN | OT | Psalms | Chapter 78 | Verse 14] he led them by day with a cloud, all the night with a light of fire.
[OEB | EN | OT | Psalms | Chapter 78 | Verse 15] From the rocks which he split in the wilderness, he gave them to drink as of ocean’s abundance.
[OEB | EN | OT | Psalms | Chapter 78 | Verse 16] He brought streams out of the rock, and made water run down like rivers.
[OEB | EN | OT | Psalms | Chapter 78 | Verse 17] Yet they still went on sinning against him, they defied the Most High in the desert.
[OEB | EN | OT | Psalms | Chapter 78 | Verse 18] They wilfully challenged God, demanding the food that they longed for.
[OEB | EN | OT | Psalms | Chapter 78 | Verse 19] ‘Is God able,’ such was their challenge, ‘to spread in the desert a table?
[OEB | EN | OT | Psalms | Chapter 78 | Verse 20] From the rock that he struck there gushed water, and torrents that overflowed; but can he also give bread, or provide his people with meat?’
[OEB | EN | OT | Psalms | Chapter 78 | Verse 21] When the Lord heard this, he was furious, and fire was kindled on Jacob, anger flared up against Israel.
[OEB | EN | OT | Psalms | Chapter 78 | Verse 22] For they put no trust in God, no confidence in his help.
[OEB | EN | OT | Psalms | Chapter 78 | Verse 23] So he summoned the clouds above; and, opening the doors of heaven,
