[OEB | EN | OT | Psalms | Chapter 33 | Verse 1] Shout for joy in the Lord, you righteous: praise for the upright is seemly.
[OEB | EN | OT | Psalms | Chapter 33 | Verse 2] Give thanks to the Lord on the lyre, play to him on a ten-stringed harp.
[OEB | EN | OT | Psalms | Chapter 33 | Verse 3] Sing to him a new song, play skilfully and shout merrily.
[OEB | EN | OT | Psalms | Chapter 33 | Verse 4] For the Lord is straight in his promise; and all that he does is in faithfulness.
[OEB | EN | OT | Psalms | Chapter 33 | Verse 5] Justice and right he loves; the earth is full of his kindness.
[OEB | EN | OT | Psalms | Chapter 33 | Verse 6] By his word the heavens were made, all their host by the breath of his mouth.
[OEB | EN | OT | Psalms | Chapter 33 | Verse 7] He gathers the sea in a bottle, the ocean he puts into store-houses.
[OEB | EN | OT | Psalms | Chapter 33 | Verse 8] Let the whole world honour the Lord, let all who live on earth be in awe.
[OEB | EN | OT | Psalms | Chapter 33 | Verse 9] For at his word it came into being, at his command it stood forth.
[OEB | EN | OT | Psalms | Chapter 33 | Verse 10] The Lord frustrates the designs of the nations, what the peoples have purposed, he brings to nought,
[OEB | EN | OT | Psalms | Chapter 33 | Verse 11] but the Lord’s own design will stand forever, and what his heart has purposed, through all generations.
[OEB | EN | OT | Psalms | Chapter 33 | Verse 12] Happy the nation whose God is the Lord, the people he chose for himself as his own.
[OEB | EN | OT | Psalms | Chapter 33 | Verse 13] The Lord looks down from heaven, he sees all of humanity;
[OEB | EN | OT | Psalms | Chapter 33 | Verse 14] from where he rules he gazes on all who inhabit the earth.
[OEB | EN | OT | Psalms | Chapter 33 | Verse 15] He fashions the hearts of them all, and gives heed to all that they do.
[OEB | EN | OT | Psalms | Chapter 33 | Verse 16] It is not by great armies that kings are victorious, it is not by great strength that a warrior saves himself;
[OEB | EN | OT | Psalms | Chapter 33 | Verse 17] false hope is the war-horse to usher in victory, for all its great might it can provide no escape.
[OEB | EN | OT | Psalms | Chapter 33 | Verse 18] See! The eye of the Lord is on those who fear him, on those who hope in his kindness;
[OEB | EN | OT | Psalms | Chapter 33 | Verse 19] to deliver their life from death, and to keep them alive in famine.
[OEB | EN | OT | Psalms | Chapter 33 | Verse 20] We wait for the Lord: he is our help and our shield.
[OEB | EN | OT | Psalms | Chapter 33 | Verse 21] For in him our heart is glad, we trust in his holy name.
[OEB | EN | OT | Psalms | Chapter 33 | Verse 22] Let your kindness, O Lord, be upon us, as is our hope in you.
