[OEB | EN | OT | Psalms | Chapter 148 | Verse 1] Praise the Lord from the heavens, praise him in the heights.
[OEB | EN | OT | Psalms | Chapter 148 | Verse 2] Praise him, all his angels; praise him, all his hosts.
[OEB | EN | OT | Psalms | Chapter 148 | Verse 3] Praise him, sun and moon; praise him, all stars of light.
[OEB | EN | OT | Psalms | Chapter 148 | Verse 4] Praise him, you highest heavens, and you waters above the heavens.
[OEB | EN | OT | Psalms | Chapter 148 | Verse 5] Let them praise the name of the Lord, for at his command they were made.
[OEB | EN | OT | Psalms | Chapter 148 | Verse 6] And he fixed them for ever and ever by a law which they dare not transgress.
[OEB | EN | OT | Psalms | Chapter 148 | Verse 7] Praise the Lord from the earth: you depths, with your monsters, all.
[OEB | EN | OT | Psalms | Chapter 148 | Verse 8] Fire, hail, snow and ice, and stormy wind doing his word.
[OEB | EN | OT | Psalms | Chapter 148 | Verse 9] All you mountains and hills, all you fruit trees and cedars,
[OEB | EN | OT | Psalms | Chapter 148 | Verse 10] all you wild beasts and tame, creeping things, birds on the wing.
[OEB | EN | OT | Psalms | Chapter 148 | Verse 11] All you kings and nations of earth; all you princes and judges of earth:
[OEB | EN | OT | Psalms | Chapter 148 | Verse 12] young men and maidens together, old men and children together.
[OEB | EN | OT | Psalms | Chapter 148 | Verse 13] Let them praise the name of the Lord, for his name alone is exalted. Over heaven and earth is his glory.
[OEB | EN | OT | Psalms | Chapter 148 | Verse 14] He has lifted his people to honour. Wherefore this chorus of praise from his saints, from Israel, the people who stand in his fellowship. Hallelujah.
