[OEB | EN | OT | Psalms | Chapter 31 | Verse 1] In you, O Lord, I take refuge; let me never be put to shame. Rescue me in your faithfulness;
[OEB | EN | OT | Psalms | Chapter 31 | Verse 2] incline to me your ear. Deliver me speedily. Be to me a rock of defence, a fortified house, to save me.
[OEB | EN | OT | Psalms | Chapter 31 | Verse 3] For my rock and my fortress are you; lead me and guide me so your name will be honoured.
[OEB | EN | OT | Psalms | Chapter 31 | Verse 4] Draw me out of the net they have hid for me, for you yourself are my refuge.
[OEB | EN | OT | Psalms | Chapter 31 | Verse 5] Into your hand I commend my spirit: you ransom me, Lord, faithful God.
[OEB | EN | OT | Psalms | Chapter 31 | Verse 6] I hate those devoted to worthless idols; I trust in the Lord.
[OEB | EN | OT | Psalms | Chapter 31 | Verse 7] I will rejoice and be glad in your love, because you have looked on my misery, and cared for me in my distress.
[OEB | EN | OT | Psalms | Chapter 31 | Verse 8] You have not given me into the enemy’s hand, you have set my feet in a spacious place.
[OEB | EN | OT | Psalms | Chapter 31 | Verse 9] Be gracious to me, Lord, for I am distressed; my eye is wasted away with sorrow.
[OEB | EN | OT | Psalms | Chapter 31 | Verse 10] For my life is consumed with grief, and my years with sighing. My strength is broken with misery, my bones waste away.
[OEB | EN | OT | Psalms | Chapter 31 | Verse 11] The scorn of all my foes, the butt of my neighbours am I, a terror to my acquaintance. At the sight of me in the street people turn quickly away.
[OEB | EN | OT | Psalms | Chapter 31 | Verse 12] I am clean forgotten like the dead, am become like a ruined vessel.
[OEB | EN | OT | Psalms | Chapter 31 | Verse 13] I hear the whispers of many – terror on every side – scheming together against me, plotting to take my life.
[OEB | EN | OT | Psalms | Chapter 31 | Verse 14] But my trust is in you, Lord. ‘You are my God,’ I say;
[OEB | EN | OT | Psalms | Chapter 31 | Verse 15] my times are in your hand, save me from the hand of the foes who pursue me.
[OEB | EN | OT | Psalms | Chapter 31 | Verse 16] Make your face to shine on your servant, save me in your love.
[OEB | EN | OT | Psalms | Chapter 31 | Verse 17] Put me not, O Lord, to shame, for I have called upon you. Let the wicked be put to shame silent in Sheol.
[OEB | EN | OT | Psalms | Chapter 31 | Verse 18] Strike the false lips dumb, that speak proudly against the righteous with haughtiness and contempt.
[OEB | EN | OT | Psalms | Chapter 31 | Verse 19] How great is the goodness you have treasured for those who fear you, and wrought for those who take refuge in you, in plain sight of all!
[OEB | EN | OT | Psalms | Chapter 31 | Verse 20] In your sheltering wings you hide them from plottings of people, you keep them safe in a bower from the chiding of tongues.
[OEB | EN | OT | Psalms | Chapter 31 | Verse 21] Blest be the Lord for the wonderful love he has shown me in time of distress.
[OEB | EN | OT | Psalms | Chapter 31 | Verse 22] For I had said in panic, ‘I am driven clean out of your sight.’ But you heard my plea, when I cried to you for help.
[OEB | EN | OT | Psalms | Chapter 31 | Verse 23] Love the Lord, all you faithful; the Lord protects the loyal, but repays the haughty in full.
[OEB | EN | OT | Psalms | Chapter 31 | Verse 24] Let your hearts be courageous and strong, all you who wait on the Lord.
