[GNV | EN | OT | Esther | Chapter 5 | Verse 1] And on the third day Ester put on her royal apparel, and stood in the court of the Kings palace within, ouer against the Kings house: and the King sate vpon his royal throne in the Kings palace ouer against the gate of the house.
[GNV | EN | OT | Esther | Chapter 5 | Verse 2] And when the King saw Ester the Queene standing in the court, shee founde fauour in his sight: and the King held out the golden scepter that was in his hand: so Ester drewe neere, and touched the toppe of the scepter.
[GNV | EN | OT | Esther | Chapter 5 | Verse 3] Then saide the King vnto her, What wilt thou, Queene Ester? and what is thy request? it shall be euen giuen thee to the halfe of ye kingdome.
[GNV | EN | OT | Esther | Chapter 5 | Verse 4] Then saide Ester, If it please the King, let the King and Haman come this day vnto the banket, that I haue prepared for him.
[GNV | EN | OT | Esther | Chapter 5 | Verse 5] And the King sayd, Cause Haman to make haste that he may doe as Ester hath sayde. So the King and Haman came to the banket that Ester had prepared.
[GNV | EN | OT | Esther | Chapter 5 | Verse 6] And the King sayd vnto Ester at the banket of wine, What is thy petition, that it may be giuen thee? and what is thy request? it shall euen be performed vnto the halfe of the kingdome.
[GNV | EN | OT | Esther | Chapter 5 | Verse 7] Then answered Ester, and sayd, My petition and my request is,
[GNV | EN | OT | Esther | Chapter 5 | Verse 8] If I haue found fauour in the sight of the King, and if it please the King to giue me my petition, and to perfourme my request, let the King and Haman come to the banket that I shall prepare for them, and I will doe to morowe according to the Kings saying.
[GNV | EN | OT | Esther | Chapter 5 | Verse 9] Then went Haman forth the same day ioyfull and with a glad heart. But when Haman sawe Mordecai in the Kings gate, that he stoode not vp, nor moued for him, then was Haman full of indignation at Mordecai.
[GNV | EN | OT | Esther | Chapter 5 | Verse 10] Neuerthelesse Haman refrayned himselfe: and when he came home, he sent, and called for his friends, and Zeresh his wife.
[GNV | EN | OT | Esther | Chapter 5 | Verse 11] And Haman tolde them of the glory of his riches, and the multitude of his children, and all the things wherein the King had promoted him, and how that he had set him aboue the princes and seruants of the King.
[GNV | EN | OT | Esther | Chapter 5 | Verse 12] Haman sayde moreouer, Yea, Ester the Queene did let no man come in with the King to the banket that she had prepared, saue me: and to morowe am I bidden vnto her also with the King.
[GNV | EN | OT | Esther | Chapter 5 | Verse 13] But al this doth nothing auaile me, as long as I see Mordecai ye Iewe sitting at ye Kings gate.
[GNV | EN | OT | Esther | Chapter 5 | Verse 14] Then sayde Zeresh his wife and all his friends vnto him, Let them make a tree of fiftie cubites hie, and to morowe speake thou vnto the King, that Mordecai may be hanged thereon: then shalt thou goe ioyfully with the King vnto the banket. And the thing pleased Haman, and he caused to make the tree.
