[GNV | EN | OT | Esther | Chapter 9 | Verse 1] So in the twelft moneth, which is the moneth Adar, vpon the thirteenth daye of the same, when the Kings commandement and his decree drew neere to be put in execution, in the day that the enemies of the Iewes hoped to haue power ouer them (but it turned contrary: for the Iewes had rule ouer them that hated them)
[GNV | EN | OT | Esther | Chapter 9 | Verse 2] The Iewes gathered themselues together into their cities throughout all the prouinces of the King Ahashuerosh, to lay hande on such as sought their hurt, and no man coulde withstande them: for the feare of them fel vpon al people.
[GNV | EN | OT | Esther | Chapter 9 | Verse 3] And all the rulers of the prouinces, and the princes and the captaines, and the officers of the King exalted the Iewes: for the feare of Mordecai fell vpon them.
[GNV | EN | OT | Esther | Chapter 9 | Verse 4] For Mordecai was great in the kings house, and the report of him went through all the prouinces: for this man Mordecai waxed greater and greater.
[GNV | EN | OT | Esther | Chapter 9 | Verse 5] Thus the Iewes smote all their enemies with strokes of the sworde and slaughter, and destruction, and did what they woulde vnto those that hated them.
[GNV | EN | OT | Esther | Chapter 9 | Verse 6] And at Shushan the palace slewe the Iewes and destroyed fiue hundreth men,
[GNV | EN | OT | Esther | Chapter 9 | Verse 7] And Parshandatha, and Dalphon, and Aspatha,
[GNV | EN | OT | Esther | Chapter 9 | Verse 8] And Poratha, and Adalia, and Aridatha,
[GNV | EN | OT | Esther | Chapter 9 | Verse 9] And Parmashta, and Arisai, and Aridai, and Vaiezatha,
[GNV | EN | OT | Esther | Chapter 9 | Verse 10] The ten sonnes of Haman, ye sonne of Ammedatha, the aduersarie of the Iewes slewe they: but they layd not their hands on the spoyle.
[GNV | EN | OT | Esther | Chapter 9 | Verse 11] On the same day came ye nomber of those that were slayne, vnto the palace of Shushan before the King.
[GNV | EN | OT | Esther | Chapter 9 | Verse 12] And the King sayd vnto the Queene Ester, The Iewes haue slayne in Shushan the palace and destroyed fiue hundreth men, and the ten sonnes of Haman: what haue they done in the rest of the Kings prouinces? and what is thy petition, that it may be giuen thee? or what is thy request moreouer, that it may be performed?
[GNV | EN | OT | Esther | Chapter 9 | Verse 13] Then sayd Ester, If it please the King, let it be granted also to morow to the Iewes that are in Shushan, to do according vnto this daies decree, that they may hang vpon ye tree Hamans ten sonnes.
[GNV | EN | OT | Esther | Chapter 9 | Verse 14] And the King charged to doe so, and the decree was giuen at Shushan, and they hanged Hamans ten sonnes.
[GNV | EN | OT | Esther | Chapter 9 | Verse 15] So the Iewes that were in Shushan, assembled themselues vpon the fourteenth day of the moneth Adar, and slew three hundreth men in Shushan, but on the spoyle they layd not their hand.
