[ASV | EN | OT | Ezra | Chapter 10 | Verse 1] Now while Ezra prayed and made confession, weeping and casting himself down before the house of God, there was gathered together unto him out of Israel a very great assembly of men and women and children; for the people wept very sore.
[ASV | EN | OT | Ezra | Chapter 10 | Verse 2] And Shecaniah the son of Jehiel, one of the sons of Elam, answered and said unto Ezra, We have trespassed against our God, and have married foreign women of the peoples of the land: yet now there is hope for Israel concerning this thing.
[ASV | EN | OT | Ezra | Chapter 10 | Verse 3] Now therefore let us make a covenant with our God to put away all the wives, and such as are born of them, according to the counsel of my lord, and of those that tremble at the commandment of our God; and let it be done according to the law.
[ASV | EN | OT | Ezra | Chapter 10 | Verse 4] Arise; for the matter belongeth unto thee, and we are with thee: be of good courage, and do it.
[ASV | EN | OT | Ezra | Chapter 10 | Verse 5] Then arose Ezra, and made the chiefs of the priests, the Levites, and all Israel, to swear that they would do according to this word. So they sware.
[ASV | EN | OT | Ezra | Chapter 10 | Verse 6] Then Ezra rose up from before the house of God, and went into the chamber of Jehohanan the son of Eliashib: and when he came thither, he did eat no bread, nor drink water; for he mourned because of the trespass of them of the captivity.
[ASV | EN | OT | Ezra | Chapter 10 | Verse 7] And they made proclamation throughout Judah and Jerusalem unto all the children of the captivity, that they should gather themselves together unto Jerusalem;
[ASV | EN | OT | Ezra | Chapter 10 | Verse 8] and that whosoever came not within three days, according to the counsel of the princes and the elders, all his substance should be forfeited, and himself separated from the assembly of the captivity.
[ASV | EN | OT | Ezra | Chapter 10 | Verse 9] Then all the men of Judah and Benjamin gathered themselves together unto Jerusalem within the three days (it was the ninth month, on the twentieth day of the month); and all the people sat in the broad place before the house of God, trembling because of this matter, and for the great rain.
[ASV | EN | OT | Ezra | Chapter 10 | Verse 10] And Ezra the priest stood up, and said unto them, Ye have trespassed, and have married foreign women, to increase the guilt of Israel.
[ASV | EN | OT | Ezra | Chapter 10 | Verse 11] Now therefore make confession unto Jehovah, the God of your fathers, and do his pleasure; and separate yourselves from the peoples of the land, and from the foreign women.
[ASV | EN | OT | Ezra | Chapter 10 | Verse 12] Then all the assembly answered and said with a loud voice, As thou hast said concerning us, so must we do.
