[ASV | EN | OT | Ezra | Chapter 2 | Verse 1] Now these are the children of the province, that went up out of the captivity of those that had been carried away, whom Nebuchadnezzar the king of Babylon had carried away unto Babylon, and that returned unto Jerusalem and Judah, every one unto his city;
[ASV | EN | OT | Ezra | Chapter 2 | Verse 2] who came with Zerubbabel, Jeshua, Nehemiah, Seraiah, Reelaiah, Mordecai, Bilshan, Mispar, Bigvai, Rehum, Baanah. The number of the men of the people of Israel:
[ASV | EN | OT | Ezra | Chapter 2 | Verse 3] The children of Parosh, two thousand a hundred seventy and two.
[ASV | EN | OT | Ezra | Chapter 2 | Verse 4] The children of Shephatiah, three hundred seventy and two.
[ASV | EN | OT | Ezra | Chapter 2 | Verse 5] The children of Arah, seven hundred seventy and five.
[ASV | EN | OT | Ezra | Chapter 2 | Verse 6] The children of Pahath-moab, of the children of Jeshua and Joab, two thousand eight hundred and twelve.
[ASV | EN | OT | Ezra | Chapter 2 | Verse 7] The children of Elam, a thousand two hundred fifty and four.
[ASV | EN | OT | Ezra | Chapter 2 | Verse 8] The children of Zattu, nine hundred forty and five.
[ASV | EN | OT | Ezra | Chapter 2 | Verse 9] The children of Zaccai, seven hundred and threescore.
[ASV | EN | OT | Ezra | Chapter 2 | Verse 10] The children of Bani, six hundred forty and two.
[ASV | EN | OT | Ezra | Chapter 2 | Verse 11] The children of Bebai, six hundred twenty and three.
[ASV | EN | OT | Ezra | Chapter 2 | Verse 12] The children of Azgad, a thousand two hundred twenty and two.
[ASV | EN | OT | Ezra | Chapter 2 | Verse 13] The children of Adonikam, six hundred sixty and six.
[ASV | EN | OT | Ezra | Chapter 2 | Verse 14] The children of Bigvai, two thousand fifty and six.
[ASV | EN | OT | Ezra | Chapter 2 | Verse 15] The children of Adin, four hundred fifty and four.
[ASV | EN | OT | Ezra | Chapter 2 | Verse 16] The children of Ater, of Hezekiah, ninety and eight.
[ASV | EN | OT | Ezra | Chapter 2 | Verse 17] The children of Bezai, three hundred twenty and three.
[ASV | EN | OT | Ezra | Chapter 2 | Verse 18] The children of Jorah, a hundred and twelve.
[ASV | EN | OT | Ezra | Chapter 2 | Verse 19] The children of Hashum, two hundred twenty and three.
[ASV | EN | OT | Ezra | Chapter 2 | Verse 20] The children of Gibbar, ninety and five.
[ASV | EN | OT | Ezra | Chapter 2 | Verse 21] The children of Beth-lehem, a hundred twenty and three.
[ASV | EN | OT | Ezra | Chapter 2 | Verse 22] The men of Netophah, fifty and six.
[ASV | EN | OT | Ezra | Chapter 2 | Verse 23] The men of Anathoth, a hundred twenty and eight.
[ASV | EN | OT | Ezra | Chapter 2 | Verse 24] The children of Azmaveth, forty and two.
[ASV | EN | OT | Ezra | Chapter 2 | Verse 25] The children of Kiriath-arim, Chephirah, and Beeroth, seven hundred and forty and three.
[ASV | EN | OT | Ezra | Chapter 2 | Verse 26] The children of Ramah and Geba, six hundred twenty and one.
[ASV | EN | OT | Ezra | Chapter 2 | Verse 27] The men of Michmas, a hundred twenty and two.
[ASV | EN | OT | Ezra | Chapter 2 | Verse 28] The men of Beth-el and Ai, two hundred twenty and three.
[ASV | EN | OT | Ezra | Chapter 2 | Verse 29] The children of Nebo, fifty and two.
